open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,253.9,266.8,250.2,266.4,2022-01-01 23:59:59.999,110355.452,,,True
2022-01-02,266.3,269.1,253.1,265.3,2022-01-02 23:59:59.999,122031.041,,,True
2022-01-03,265.3,286.4,262.7,267.2,2022-01-03 23:59:59.999,252013.495,,,True
2022-01-04,267.2,269.5,249.8,252.1,2022-01-04 23:59:59.999,173580.453,,,True
2022-01-05,252.0,259.4,214.9,230.3,2022-01-05 23:59:59.999,189611.084,,,True
2022-01-06,230.1,233.1,214.3,221.0,2022-01-06 23:59:59.999,222989.252,,,True
2022-01-07,221.0,222.1,199.7,211.7,2022-01-07 23:59:59.999,215595.281,,,True
2022-01-08,211.8,231.1,200.5,212.3,2022-01-08 23:59:59.999,244685.024,,,True
2022-01-09,212.3,219.2,207.7,209.5,2022-01-09 23:59:59.999,125345.269,,,True
2022-01-10,209.5,213.7,186.7,199.9,2022-01-10 23:59:59.999,206153.558,,,True
2022-01-11,199.9,216.9,196.6,213.3,2022-01-11 23:59:59.999,108697.979,,,True
2022-01-12,213.2,222.6,210.5,218.5,2022-01-12 23:59:59.999,104713.621,,,True
2022-01-13,218.7,222.1,207.1,209.3,2022-01-13 23:59:59.999,137541.45,,,True
2022-01-14,209.4,227.0,204.0,223.9,2022-01-14 23:59:59.999,145344.439,,,True
2022-01-15,223.8,243.7,222.3,238.4,2022-01-15 23:59:59.999,182510.09,,,True
2022-01-16,238.4,245.5,230.3,242.5,2022-01-16 23:59:59.999,121073.731,,,True
2022-01-17,242.4,244.3,221.3,226.6,2022-01-17 23:59:59.999,152666.481,,,True
2022-01-18,226.6,240.5,222.7,232.4,2022-01-18 23:59:59.999,219683.619,,,True
2022-01-19,232.4,236.9,210.0,210.2,2022-01-19 23:59:59.999,147663.612,,,True
2022-01-20,210.4,221.4,197.0,198.4,2022-01-20 23:59:59.999,104323.143,-5.75,-5.75,True
2022-01-21,198.3,200.6,163.1,171.0,2022-01-21 23:59:59.999,295579.022,-5.75,-5.75,True
2022-01-22,170.9,175.4,135.0,146.9,2022-01-22 23:59:59.999,279002.3329,-5.75,-5.75,True
2022-01-23,147.1,163.3,145.4,158.4,2022-01-23 23:59:59.999,171630.426,-5.75,-5.75,True
2022-01-24,158.5,158.6,131.1,152.5,2022-01-24 23:59:59.999,250523.7116,-5.75,-5.75,True
2022-01-25,152.4,156.3,145.8,151.8,2022-01-25 23:59:59.999,137214.358,-5.75,-5.75,True
2022-01-26,151.8,164.0,142.6,146.5,2022-01-26 23:59:59.999,197539.947,-5.75,-5.75,True
