open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,1.308,1.338,1.306,1.319,2022-01-01 11:59:59.999,30716968.4,,,True
2022-01-01 12:00:00,1.319,1.38,1.318,1.38,2022-01-01 23:59:59.999,38290639.1,,,True
2022-01-02 00:00:00,1.379,1.382,1.342,1.363,2022-01-02 11:59:59.999,32927106.7,,,True
2022-01-02 12:00:00,1.363,1.391,1.354,1.377,2022-01-02 23:59:59.999,48084753.7,,,True
2022-01-03 00:00:00,1.378,1.378,1.344,1.37,2022-01-03 11:59:59.999,31292570.2,,,True
2022-01-03 12:00:00,1.371,1.374,1.31,1.319,2022-01-03 23:59:59.999,55863255.7,,,True
2022-01-04 00:00:00,1.319,1.342,1.295,1.341,2022-01-04 11:59:59.999,42537088.9,,,True
2022-01-04 12:00:00,1.341,1.352,1.301,1.309,2022-01-04 23:59:59.999,51942217.0,,,True
2022-01-05 00:00:00,1.31,1.353,1.303,1.328,2022-01-05 11:59:59.999,37603600.0,,,True
2022-01-05 12:00:00,1.329,1.337,1.193,1.23,2022-01-05 23:59:59.999,121136488.2,,,True
2022-01-06 00:00:00,1.23,1.244,1.192,1.204,2022-01-06 11:59:59.999,85043285.6,,,True
2022-01-06 12:00:00,1.204,1.297,1.186,1.28,2022-01-06 23:59:59.999,90711122.0,,,True
2022-01-07 00:00:00,1.279,1.285,1.189,1.232,2022-01-07 11:59:59.999,124105333.3,,,True
2022-01-07 12:00:00,1.232,1.25,1.19,1.21,2022-01-07 23:59:59.999,85700679.9,,,True
2022-01-08 00:00:00,1.209,1.254,1.207,1.238,2022-01-08 11:59:59.999,41273006.6,,,True
2022-01-08 12:00:00,1.238,1.245,1.124,1.181,2022-01-08 23:59:59.999,128457467.08,,,True
2022-01-09 00:00:00,1.182,1.199,1.152,1.163,2022-01-09 11:59:59.999,52778626.5,,,True
2022-01-09 12:00:00,1.162,1.206,1.147,1.17,2022-01-09 23:59:59.999,61315072.9,,,True
2022-01-10 00:00:00,1.17,1.181,1.147,1.152,2022-01-10 11:59:59.999,41809039.2,,,True
2022-01-10 12:00:00,1.152,1.154,1.069,1.123,2022-01-10 23:59:59.999,147441604.94,0.475,0.475,True
2022-01-11 00:00:00,1.123,1.17,1.122,1.142,2022-01-11 11:59:59.999,53897584.5,0.5015,0.5015,True
2022-01-11 12:00:00,1.143,1.196,1.135,1.187,2022-01-11 23:59:59.999,61369514.2,0.5215,0.5215,True
2022-01-12 00:00:00,1.188,1.258,1.186,1.245,2022-01-12 11:59:59.999,63102893.4,0.562,0.562,True
2022-01-12 12:00:00,1.244,1.314,1.243,1.312,2022-01-12 23:59:59.999,82505699.3,0.6015,0.6015,True
2022-01-13 00:00:00,1.312,1.354,1.273,1.275,2022-01-13 11:59:59.999,86873497.3,0.613,0.613,True
2022-01-13 12:00:00,1.274,1.323,1.227,1.233,2022-01-13 23:59:59.999,92156046.3,0.613,0.613,True
2022-01-14 00:00:00,1.232,1.309,1.223,1.234,2022-01-14 11:59:59.999,83783950.1,0.613,0.613,True
2022-01-14 12:00:00,1.235,1.307,1.22,1.292,2022-01-14 23:59:59.999,59497646.4,0.613,0.613,True
2022-01-15 00:00:00,1.293,1.294,1.258,1.266,2022-01-15 11:59:59.999,30651868.6,0.613,0.613,True
2022-01-15 12:00:00,1.267,1.319,1.251,1.291,2022-01-15 23:59:59.999,49769967.8,0.613,0.613,True
2022-01-16 00:00:00,1.292,1.4,1.286,1.39,2022-01-16 11:59:59.999,126704273.4,0.613,0.613,True
2022-01-16 12:00:00,1.391,1.422,1.382,1.41,2022-01-16 23:59:59.999,121272764.0,0.6975,0.6975,True
2022-01-17 00:00:00,1.411,1.561,1.386,1.516,2022-01-17 11:59:59.999,242309093.4,0.7295,0.7295,True
2022-01-17 12:00:00,1.517,1.607,1.453,1.603,2022-01-17 23:59:59.999,303366315.7,0.739,0.739,True
2022-01-18 00:00:00,1.602,1.638,1.473,1.492,2022-01-18 11:59:59.999,233443030.3,0.739,0.739,True
2022-01-18 12:00:00,1.492,1.509,1.411,1.458,2022-01-18 23:59:59.999,222506078.0,0.739,0.739,True
2022-01-19 00:00:00,1.458,1.534,1.353,1.428,2022-01-19 11:59:59.999,195106872.8,0.739,0.739,True
2022-01-19 12:00:00,1.428,1.443,1.326,1.337,2022-01-19 23:59:59.999,134841843.6,0.739,0.739,True
2022-01-20 00:00:00,1.336,1.373,1.316,1.349,2022-01-20 11:59:59.999,96271992.5,0.739,0.739,True
2022-01-20 12:00:00,1.349,1.427,1.251,1.259,2022-01-20 23:59:59.999,164791314.8,0.739,0.739,True
2022-01-21 00:00:00,1.259,1.282,1.2,1.217,2022-01-21 11:59:59.999,168026627.1,0.739,0.739,True
2022-01-21 12:00:00,1.217,1.223,1.101,1.12,2022-01-21 23:59:59.999,240492895.3,0.739,0.739,True
2022-01-22 00:00:00,1.12,1.155,0.917,1.028,2022-01-22 11:59:59.999,294599105.22,0.739,0.739,True
2022-01-22 12:00:00,1.028,1.145,1.021,1.071,2022-01-22 23:59:59.999,259688603.9,0.739,0.739,True
2022-01-23 00:00:00,1.071,1.17,1.051,1.12,2022-01-23 11:59:59.999,137299398.7,0.739,0.739,True
2022-01-23 12:00:00,1.121,1.14,1.051,1.124,2022-01-23 23:59:59.999,119848532.8,0.739,0.739,True
2022-01-24 00:00:00,1.124,1.125,0.962,0.983,2022-01-24 11:59:59.999,162126187.7,0.739,0.739,True
2022-01-24 12:00:00,0.982,1.11,0.951,1.065,2022-01-24 23:59:59.999,275284132.3,0.739,0.739,True
2022-01-25 00:00:00,1.066,1.069,0.991,1.03,2022-01-25 11:59:59.999,99425124.5,0.739,0.739,True
2022-01-25 12:00:00,1.031,1.074,1.003,1.043,2022-01-25 23:59:59.999,119403208.8,0.739,0.739,True
2022-01-26 00:00:00,1.043,1.072,1.022,1.071,2022-01-26 11:59:59.999,70917496.9,0.739,0.739,True
2022-01-26 12:00:00,1.07,1.157,1.03,1.077,2022-01-26 23:59:59.999,265586458.0,0.739,0.739,True
2022-01-27 00:00:00,1.078,1.08,1.004,1.05,2022-01-27 11:59:59.999,86677075.7,0.739,0.739,True
2022-01-27 12:00:00,1.051,1.078,1.005,1.042,2022-01-27 23:59:59.999,98085386.1,0.739,0.739,True
2022-01-28 00:00:00,1.042,1.059,1.008,1.02,2022-01-28 11:59:59.999,67273418.0,0.739,0.739,True
2022-01-28 12:00:00,1.019,1.059,1.011,1.048,2022-01-28 23:59:59.999,70416655.1,0.739,0.739,True
2022-01-29 00:00:00,1.049,1.076,1.037,1.063,2022-01-29 11:59:59.999,34248554.6,0.739,0.739,True
2022-01-29 12:00:00,1.064,1.084,1.041,1.059,2022-01-29 23:59:59.999,55282723.8,0.739,0.739,True
2022-01-30 00:00:00,1.059,1.077,1.05,1.067,2022-01-30 11:59:59.999,25115475.6,0.739,0.739,True
2022-01-30 12:00:00,1.067,1.069,1.024,1.035,2022-01-30 23:59:59.999,47236684.5,0.739,0.739,True
2022-01-31 00:00:00,1.035,1.038,1.006,1.024,2022-01-31 11:59:59.999,39864158.1,0.739,0.739,True
