open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,1.308,1.38,1.306,1.38,2022-01-01 23:59:59.999,69007607.5,,,True
2022-01-02,1.379,1.391,1.342,1.377,2022-01-02 23:59:59.999,81011860.4,,,True
2022-01-03,1.378,1.378,1.31,1.319,2022-01-03 23:59:59.999,87155825.9,,,True
2022-01-04,1.319,1.352,1.295,1.309,2022-01-04 23:59:59.999,94479305.9,,,True
2022-01-05,1.31,1.353,1.193,1.23,2022-01-05 23:59:59.999,158740088.2,,,True
2022-01-06,1.23,1.297,1.186,1.28,2022-01-06 23:59:59.999,175754407.6,,,True
2022-01-07,1.279,1.285,1.189,1.21,2022-01-07 23:59:59.999,209806013.2,,,True
2022-01-08,1.209,1.254,1.124,1.181,2022-01-08 23:59:59.999,169730473.68,,,True
2022-01-09,1.182,1.206,1.147,1.17,2022-01-09 23:59:59.999,114093699.4,,,True
2022-01-10,1.17,1.181,1.069,1.123,2022-01-10 23:59:59.999,189250644.14,,,True
2022-01-11,1.123,1.196,1.122,1.187,2022-01-11 23:59:59.999,115267098.7,,,True
2022-01-12,1.188,1.314,1.186,1.312,2022-01-12 23:59:59.999,145608592.7,,,True
2022-01-13,1.312,1.354,1.227,1.233,2022-01-13 23:59:59.999,179029543.6,,,True
2022-01-14,1.232,1.309,1.22,1.292,2022-01-14 23:59:59.999,143281596.5,,,True
2022-01-15,1.293,1.319,1.251,1.291,2022-01-15 23:59:59.999,80421836.4,,,True
2022-01-16,1.292,1.422,1.286,1.41,2022-01-16 23:59:59.999,247977037.4,,,True
2022-01-17,1.411,1.607,1.386,1.603,2022-01-17 23:59:59.999,545675409.1,,,True
2022-01-18,1.602,1.638,1.411,1.458,2022-01-18 23:59:59.999,455949108.3,,,True
2022-01-19,1.458,1.534,1.326,1.337,2022-01-19 23:59:59.999,329948716.4,,,True
2022-01-20,1.336,1.427,1.251,1.259,2022-01-20 23:59:59.999,261063307.3,0.154,0.154,True
2022-01-21,1.259,1.282,1.101,1.12,2022-01-21 23:59:59.999,408519522.4,0.154,0.154,True
2022-01-22,1.12,1.155,0.917,1.071,2022-01-22 23:59:59.999,554287709.12,0.154,0.154,True
2022-01-23,1.071,1.17,1.051,1.124,2022-01-23 23:59:59.999,257147931.5,0.154,0.154,True
2022-01-24,1.124,1.125,0.951,1.065,2022-01-24 23:59:59.999,437410320.0,0.154,0.154,True
2022-01-25,1.066,1.074,0.991,1.043,2022-01-25 23:59:59.999,218828333.3,0.154,0.154,True
2022-01-26,1.043,1.157,1.022,1.077,2022-01-26 23:59:59.999,336503954.9,0.154,0.154,True
2022-01-27,1.078,1.08,1.004,1.042,2022-01-27 23:59:59.999,184762461.8,0.154,0.154,True
2022-01-28,1.042,1.059,1.008,1.048,2022-01-28 23:59:59.999,137690073.1,0.154,0.154,True
2022-01-29,1.049,1.084,1.037,1.059,2022-01-29 23:59:59.999,89531278.4,0.154,0.154,True
2022-01-30,1.059,1.077,1.024,1.035,2022-01-30 23:59:59.999,72352160.1,0.154,0.154,True
2022-01-31,1.035,1.06,1.006,1.051,2022-01-31 23:59:59.999,101218950.1,0.154,0.154,True
2022-02-01,1.052,1.096,1.034,1.096,2022-02-01 23:59:59.999,124526330.3,0.154,0.154,True
2022-02-02,1.096,1.103,1.022,1.027,2022-02-02 23:59:59.999,126857788.7,0.154,0.154,True
2022-02-03,1.027,1.062,1.016,1.061,2022-02-03 23:59:59.999,98542208.5,0.154,0.154,True
2022-02-04,1.061,1.139,1.045,1.138,2022-02-04 23:59:59.999,135205051.6,0.154,0.154,True
2022-02-05,1.138,1.178,1.097,1.125,2022-02-05 23:59:59.999,152710784.3,0.154,0.154,True
2022-02-06,1.125,1.15,1.097,1.143,2022-02-06 23:59:59.999,107099317.0,0.154,0.154,True
2022-02-07,1.142,1.209,1.125,1.199,2022-02-07 23:59:59.999,267801841.6,0.154,0.154,True
2022-02-08,1.198,1.263,1.133,1.176,2022-02-08 23:59:59.999,271657090.8,0.189,0.189,True
2022-02-09,1.176,1.215,1.152,1.195,2022-02-09 23:59:59.999,137109784.2,0.231,0.231,True
2022-02-10,1.194,1.225,1.143,1.15,2022-02-10 23:59:59.999,183604520.1,0.281,0.281,True
2022-02-11,1.15,1.164,1.068,1.079,2022-02-11 23:59:59.999,131818725.2,0.284,0.284,True
2022-02-12,1.079,1.092,1.029,1.059,2022-02-12 23:59:59.999,149173437.2,0.284,0.284,True
2022-02-13,1.058,1.076,1.032,1.042,2022-02-13 23:59:59.999,99247994.0,0.315,0.315,True
