open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,12.49,12.63,12.48,12.63,2022-01-01 00:14:59.999,18398.23,,,True
2022-01-01 00:15:00,12.62,12.7,12.59,12.68,2022-01-01 00:29:59.999,15554.56,,,True
2022-01-01 00:30:00,12.68,12.86,12.66,12.84,2022-01-01 00:44:59.999,24778.82,,,True
2022-01-01 00:45:00,12.84,12.98,12.81,12.94,2022-01-01 00:59:59.999,30003.32,,,True
2022-01-01 01:00:00,12.94,13.02,12.88,13.01,2022-01-01 01:14:59.999,33735.64,,,True
2022-01-01 01:15:00,13.01,13.1,12.99,13.09,2022-01-01 01:29:59.999,47180.22,,,True
2022-01-01 01:30:00,13.09,13.16,13.04,13.05,2022-01-01 01:44:59.999,45656.06,,,True
2022-01-01 01:45:00,13.05,13.14,13.0,13.07,2022-01-01 01:59:59.999,28265.74,,,True
2022-01-01 02:00:00,13.08,13.14,13.03,13.06,2022-01-01 02:14:59.999,22362.59,,,True
2022-01-01 02:15:00,13.06,13.08,12.96,12.96,2022-01-01 02:29:59.999,21876.83,,,True
2022-01-01 02:30:00,12.97,12.99,12.92,12.97,2022-01-01 02:44:59.999,15259.23,,,True
2022-01-01 02:45:00,12.97,12.99,12.93,12.94,2022-01-01 02:59:59.999,12266.42,,,True
2022-01-01 03:00:00,12.94,12.95,12.91,12.92,2022-01-01 03:14:59.999,8718.68,,,True
2022-01-01 03:15:00,12.91,12.96,12.89,12.93,2022-01-01 03:29:59.999,18565.26,,,True
2022-01-01 03:30:00,12.93,13.0,12.92,12.98,2022-01-01 03:44:59.999,15344.57,,,True
2022-01-01 03:45:00,12.99,13.02,12.95,13.0,2022-01-01 03:59:59.999,14970.26,,,True
2022-01-01 04:00:00,13.0,13.06,12.84,12.85,2022-01-01 04:14:59.999,31690.18,,,True
2022-01-01 04:15:00,12.85,12.93,12.84,12.89,2022-01-01 04:29:59.999,11275.89,,,True
2022-01-01 04:30:00,12.89,12.93,12.88,12.91,2022-01-01 04:44:59.999,8886.33,,,True
2022-01-01 04:45:00,12.91,12.98,12.89,12.92,2022-01-01 04:59:59.999,16941.08,11.83,11.83,True
2022-01-01 05:00:00,12.92,12.95,12.87,12.9,2022-01-01 05:14:59.999,12834.57,11.84,11.84,True
2022-01-01 05:15:00,12.9,13.08,12.89,13.02,2022-01-01 05:29:59.999,42079.48,11.875,11.875,True
2022-01-01 05:30:00,13.03,13.08,12.92,12.94,2022-01-01 05:44:59.999,23525.23,11.91,11.91,True
2022-01-01 05:45:00,12.94,12.96,12.92,12.94,2022-01-01 05:59:59.999,13555.76,11.915,11.915,True
2022-01-01 06:00:00,12.94,13.0,12.91,12.96,2022-01-01 06:14:59.999,8820.04,11.955,11.955,True
2022-01-01 06:15:00,12.96,12.96,12.91,12.91,2022-01-01 06:29:59.999,7520.47,11.965,11.965,True
2022-01-01 06:30:00,12.92,12.98,12.92,12.95,2022-01-01 06:44:59.999,9929.36,12.005,12.005,True
2022-01-01 06:45:00,12.95,12.98,12.85,12.89,2022-01-01 06:59:59.999,18799.66,12.005,12.005,True
2022-01-01 07:00:00,12.9,12.91,12.84,12.88,2022-01-01 07:14:59.999,18348.09,12.005,12.005,True
2022-01-01 07:15:00,12.89,12.92,12.86,12.87,2022-01-01 07:29:59.999,6669.37,12.005,12.005,True
2022-01-01 07:30:00,12.87,12.98,12.86,12.95,2022-01-01 07:44:59.999,23793.27,12.005,12.005,True
2022-01-01 07:45:00,12.96,12.96,12.91,12.93,2022-01-01 07:59:59.999,12544.12,12.025,12.025,True
2022-01-01 08:00:00,12.94,12.95,12.9,12.94,2022-01-01 08:14:59.999,4803.78,12.025,12.025,True
2022-01-01 08:15:00,12.94,12.98,12.93,12.97,2022-01-01 08:29:59.999,6436.53,12.05,12.05,True
2022-01-01 08:30:00,12.96,12.97,12.92,12.93,2022-01-01 08:44:59.999,3993.79,12.055,12.055,True
2022-01-01 08:45:00,12.94,12.97,12.9,12.93,2022-01-01 08:59:59.999,6716.59,12.055,12.055,True
2022-01-01 09:00:00,12.93,13.07,12.9,13.05,2022-01-01 09:14:59.999,27164.7,12.12,12.12,True
2022-01-01 09:15:00,13.05,13.1,12.92,12.96,2022-01-01 09:29:59.999,28542.25,12.12,12.12,True
2022-01-01 09:30:00,12.96,13.0,12.88,12.91,2022-01-01 09:44:59.999,16490.05,12.12,12.12,True
2022-01-01 09:45:00,12.92,12.96,12.89,12.95,2022-01-01 09:59:59.999,15122.53,12.12,12.12,True
2022-01-01 10:00:00,12.95,13.0,12.92,12.93,2022-01-01 10:14:59.999,10604.17,12.12,12.12,True
2022-01-01 10:15:00,12.91,12.91,12.79,12.8,2022-01-01 10:29:59.999,31765.91,12.12,12.12,True
2022-01-01 10:30:00,12.81,12.92,12.73,12.91,2022-01-01 10:44:59.999,34217.47,12.12,12.12,True
2022-01-01 10:45:00,12.9,12.95,12.82,12.86,2022-01-01 10:59:59.999,15334.93,12.12,12.12,True
2022-01-01 11:00:00,12.86,12.92,12.84,12.88,2022-01-01 11:14:59.999,9068.68,12.12,12.12,True
2022-01-01 11:15:00,12.9,12.92,12.88,12.91,2022-01-01 11:29:59.999,6265.15,12.12,12.12,True
2022-01-01 11:30:00,12.91,12.92,12.85,12.91,2022-01-01 11:44:59.999,7537.91,12.12,12.12,True
2022-01-01 11:45:00,12.9,12.93,12.85,12.85,2022-01-01 11:59:59.999,10274.23,12.12,12.12,True
2022-01-01 12:00:00,12.86,12.97,12.86,12.97,2022-01-01 12:14:59.999,15869.49,12.12,12.12,True
2022-01-01 12:15:00,12.96,13.0,12.94,13.0,2022-01-01 12:29:59.999,14193.41,12.12,12.12,True
2022-01-01 12:30:00,12.99,13.12,12.97,13.06,2022-01-01 12:44:59.999,56199.88,12.12,12.12,True
2022-01-01 12:45:00,13.05,13.13,13.04,13.11,2022-01-01 12:59:59.999,22579.71,12.12,12.12,True
2022-01-01 13:00:00,13.1,13.11,13.04,13.09,2022-01-01 13:14:59.999,18260.99,12.12,12.12,True
2022-01-01 13:15:00,13.09,13.1,13.03,13.05,2022-01-01 13:29:59.999,11434.39,12.12,12.12,True
2022-01-01 13:30:00,13.05,13.12,12.97,13.1,2022-01-01 13:44:59.999,32409.77,12.12,12.12,True
2022-01-01 13:45:00,13.1,13.11,13.02,13.04,2022-01-01 13:59:59.999,21781.09,12.12,12.12,True
2022-01-01 14:00:00,13.03,13.1,13.02,13.07,2022-01-01 14:14:59.999,15194.16,12.12,12.12,True
2022-01-01 14:15:00,13.07,13.09,13.02,13.05,2022-01-01 14:29:59.999,18702.33,12.12,12.12,True
2022-01-01 14:30:00,13.05,13.06,12.95,13.0,2022-01-01 14:44:59.999,24562.63,12.12,12.12,True
2022-01-01 14:45:00,13.0,13.02,12.96,12.99,2022-01-01 14:59:59.999,8521.24,12.12,12.12,True
2022-01-01 15:00:00,12.99,13.28,12.97,13.25,2022-01-01 15:14:59.999,90009.92,12.12,12.12,True
2022-01-01 15:15:00,13.25,13.3,13.14,13.18,2022-01-01 15:29:59.999,57477.58,12.13,12.13,True
2022-01-01 15:30:00,13.17,13.33,13.14,13.29,2022-01-01 15:44:59.999,71532.69,12.145,12.145,True
2022-01-01 15:45:00,13.28,13.32,13.2,13.24,2022-01-01 15:59:59.999,37913.95,12.175,12.175,True
2022-01-01 16:00:00,13.22,13.31,13.22,13.31,2022-01-01 16:14:59.999,19859.23,12.175,12.175,True
2022-01-01 16:15:00,13.31,13.31,13.25,13.25,2022-01-01 16:29:59.999,25643.39,12.18,12.18,True
2022-01-01 16:30:00,13.27,13.27,13.17,13.24,2022-01-01 16:44:59.999,32618.56,12.18,12.18,True
2022-01-01 16:45:00,13.24,13.26,13.16,13.18,2022-01-01 16:59:59.999,24073.32,12.18,12.18,True
2022-01-01 17:00:00,13.18,13.27,13.18,13.23,2022-01-01 17:14:59.999,16991.63,12.18,12.18,True
2022-01-01 17:15:00,13.22,13.27,13.2,13.21,2022-01-01 17:29:59.999,19709.23,12.18,12.18,True
2022-01-01 17:30:00,13.21,13.32,13.21,13.31,2022-01-01 17:44:59.999,35905.08,12.18,12.18,True
2022-01-01 17:45:00,13.3,13.33,13.27,13.3,2022-01-01 17:59:59.999,28243.15,12.22,12.22,True
2022-01-01 18:00:00,13.3,13.32,13.25,13.28,2022-01-01 18:14:59.999,17366.72,12.22,12.22,True
2022-01-01 18:15:00,13.28,13.3,13.19,13.21,2022-01-01 18:29:59.999,43875.02,12.22,12.22,True
2022-01-01 18:30:00,13.21,13.23,13.14,13.2,2022-01-01 18:44:59.999,36273.59,12.22,12.22,True
2022-01-01 18:45:00,13.19,13.24,13.18,13.23,2022-01-01 18:59:59.999,23967.47,12.22,12.22,True
2022-01-01 19:00:00,13.23,13.27,13.2,13.23,2022-01-01 19:14:59.999,25202.93,12.22,12.22,True
2022-01-01 19:15:00,13.23,13.24,13.16,13.19,2022-01-01 19:29:59.999,15332.93,12.22,12.22,True
2022-01-01 19:30:00,13.2,13.22,13.15,13.18,2022-01-01 19:44:59.999,13039.41,12.22,12.22,True
2022-01-01 19:45:00,13.18,13.19,13.15,13.17,2022-01-01 19:59:59.999,15346.69,12.22,12.22,True
2022-01-01 20:00:00,13.18,13.19,13.16,13.16,2022-01-01 20:14:59.999,9822.6,12.29,12.29,True
2022-01-01 20:15:00,13.16,13.2,13.14,13.19,2022-01-01 20:29:59.999,21383.75,12.335,12.335,True
2022-01-01 20:30:00,13.2,13.25,13.19,13.19,2022-01-01 20:44:59.999,17857.94,12.45,12.45,True
2022-01-01 20:45:00,13.2,13.23,13.2,13.2,2022-01-01 20:59:59.999,9475.54,12.485,12.485,True
2022-01-01 21:00:00,13.21,13.25,13.19,13.23,2022-01-01 21:14:59.999,11373.84,12.505,12.505,True
2022-01-01 21:15:00,13.22,13.23,13.19,13.21,2022-01-01 21:29:59.999,8124.43,12.505,12.505,True
2022-01-01 21:30:00,13.21,13.24,13.19,13.19,2022-01-01 21:44:59.999,14683.76,12.535,12.535,True
2022-01-01 21:45:00,13.19,13.2,13.1,13.14,2022-01-01 21:59:59.999,19919.25,12.535,12.535,True
