open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,12.49,13.38,12.48,13.38,2022-01-01 23:59:59.999,2055566.74,,,True
2022-01-02,13.38,13.49,12.81,13.06,2022-01-02 23:59:59.999,1703253.6,,,True
2022-01-03,13.04,13.06,12.33,12.64,2022-01-03 23:59:59.999,2332110.17,,,True
2022-01-04,12.63,14.04,12.24,13.65,2022-01-04 23:59:59.999,4276200.07,,,True
2022-01-05,13.63,14.34,11.5,12.23,2022-01-05 23:59:59.999,6040034.44,,,True
2022-01-06,12.23,12.36,11.6,12.17,2022-01-06 23:59:59.999,3715706.83,,,True
2022-01-07,12.18,12.24,11.08,11.32,2022-01-07 23:59:59.999,3832559.5,,,True
2022-01-08,11.32,11.76,10.37,10.84,2022-01-08 23:59:59.999,2999821.14,,,True
2022-01-09,10.82,11.32,10.66,11.01,2022-01-09 23:59:59.999,1678045.48,,,True
2022-01-10,11.01,11.21,9.8,10.19,2022-01-10 23:59:59.999,3375008.53,,,True
2022-01-11,10.2,10.97,10.08,10.86,2022-01-11 23:59:59.999,2328392.87,,,True
2022-01-12,10.86,11.6,10.81,11.51,2022-01-12 23:59:59.999,2408654.74,,,True
2022-01-13,11.5,11.69,10.61,10.66,2022-01-13 23:59:59.999,2904296.01,,,True
2022-01-14,10.66,11.0,10.32,10.82,2022-01-14 23:59:59.999,1914868.54,,,True
2022-01-15,10.83,11.49,10.73,11.14,2022-01-15 23:59:59.999,1977823.94,,,True
2022-01-16,11.14,11.5,10.94,11.3,2022-01-16 23:59:59.999,1522478.05,,,True
2022-01-17,11.28,11.37,10.33,10.51,2022-01-17 23:59:59.999,2082557.23,,,True
2022-01-18,10.51,10.64,9.94,10.3,2022-01-18 23:59:59.999,2049405.6,,,True
2022-01-19,10.3,11.0,9.73,10.09,2022-01-19 23:59:59.999,2176355.56,,,True
2022-01-20,10.09,10.71,9.52,9.58,2022-01-20 23:59:59.999,2505889.65,-0.53,-0.53,True
2022-01-21,9.57,9.98,7.7,7.95,2022-01-21 23:59:59.999,5553537.28,-0.53,-0.53,True
2022-01-22,7.95,8.16,6.26,6.88,2022-01-22 23:59:59.999,7634158.16,-0.53,-0.53,True
2022-01-23,6.89,7.34,6.44,6.86,2022-01-23 23:59:59.999,4310968.42,-0.53,-0.53,True
2022-01-24,6.85,6.86,5.7,6.51,2022-01-24 23:59:59.999,5997670.49,-0.53,-0.53,True
2022-01-25,6.52,6.77,6.25,6.55,2022-01-25 23:59:59.999,2307271.86,-0.53,-0.53,True
2022-01-26,6.55,7.53,6.5,6.7,2022-01-26 23:59:59.999,5296603.22,-0.53,-0.53,True
2022-01-27,6.71,6.94,6.35,6.61,2022-01-27 23:59:59.999,4320235.06,-0.53,-0.53,True
2022-01-28,6.61,6.89,6.38,6.83,2022-01-28 23:59:59.999,2827602.47,-0.53,-0.53,True
2022-01-29,6.82,7.04,6.76,6.91,2022-01-29 23:59:59.999,2143869.78,-0.53,-0.53,True
2022-01-30,6.91,7.23,6.67,6.73,2022-01-30 23:59:59.999,2774989.86,-0.53,-0.53,True
2022-01-31,6.73,7.0,6.4,6.9,2022-01-31 23:59:59.999,2724555.49,-0.53,-0.53,True
2022-02-01,6.91,7.5,6.86,7.39,2022-02-01 23:59:59.999,3896086.31,-0.53,-0.53,True
2022-02-02,7.39,7.66,6.69,6.86,2022-02-02 23:59:59.999,3378701.83,-0.53,-0.53,True
2022-02-03,6.85,6.9,6.48,6.79,2022-02-03 23:59:59.999,2788492.12,-0.53,-0.53,True
2022-02-04,6.79,7.36,6.66,7.33,2022-02-04 23:59:59.999,3246673.23,-0.53,-0.53,True
2022-02-05,7.34,8.48,7.25,8.22,2022-02-05 23:59:59.999,5273576.73,-0.53,-0.53,True
2022-02-06,8.22,9.18,8.07,8.96,2022-02-06 23:59:59.999,7511482.72,-0.53,-0.53,True
2022-02-07,8.97,9.9,8.72,9.59,2022-02-07 23:59:59.999,6840266.61,-0.21,-0.21,True
