open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,26.67,27.52,26.66,27.03,2022-01-01 11:59:59.999,2181837.68,,,True
2022-01-01 12:00:00,27.04,28.65,26.89,28.6,2022-01-01 23:59:59.999,3045392.77,,,True
2022-01-02 00:00:00,28.6,28.94,27.82,28.91,2022-01-02 11:59:59.999,3012163.98,,,True
2022-01-02 12:00:00,28.9,30.62,28.68,29.69,2022-01-02 23:59:59.999,5930766.94,,,True
2022-01-03 00:00:00,29.69,30.3,28.62,30.01,2022-01-03 11:59:59.999,4503426.1,,,True
2022-01-03 12:00:00,30.01,30.88,29.16,30.11,2022-01-03 23:59:59.999,7387064.91,,,True
2022-01-04 00:00:00,30.1,30.58,29.26,30.02,2022-01-04 11:59:59.999,5215175.87,,,True
2022-01-04 12:00:00,30.03,30.31,28.66,28.69,2022-01-04 23:59:59.999,5934709.21,,,True
2022-01-05 00:00:00,28.69,30.39,28.37,29.79,2022-01-05 11:59:59.999,4081663.44,,,True
2022-01-05 12:00:00,29.78,30.3,25.05,26.72,2022-01-05 23:59:59.999,10053347.57,,,True
2022-01-06 00:00:00,26.73,26.97,25.5,25.94,2022-01-06 11:59:59.999,6464649.83,,,True
2022-01-06 12:00:00,25.93,27.36,25.58,26.72,2022-01-06 23:59:59.999,4948125.41,,,True
2022-01-07 00:00:00,26.72,26.86,24.24,25.51,2022-01-07 11:59:59.999,7830668.92,,,True
2022-01-07 12:00:00,25.51,26.02,24.46,24.9,2022-01-07 23:59:59.999,6503205.51,,,True
2022-01-08 00:00:00,24.9,25.54,24.77,25.24,2022-01-08 11:59:59.999,3806323.44,,,True
2022-01-08 12:00:00,25.23,25.28,23.12,23.99,2022-01-08 23:59:59.999,6159549.79,,,True
2022-01-09 00:00:00,23.98,24.87,23.67,24.71,2022-01-09 11:59:59.999,3685904.19,,,True
2022-01-09 12:00:00,24.71,25.32,24.07,24.63,2022-01-09 23:59:59.999,3838091.07,,,True
2022-01-10 00:00:00,24.63,25.22,24.24,24.34,2022-01-10 11:59:59.999,2782903.08,,,True
2022-01-10 12:00:00,24.34,24.41,22.43,23.72,2022-01-10 23:59:59.999,8884226.47,5.875,5.875,True
2022-01-11 00:00:00,23.73,24.5,23.48,23.91,2022-01-11 11:59:59.999,3266641.23,6.365,6.365,True
2022-01-11 12:00:00,23.91,26.0,23.83,25.56,2022-01-11 23:59:59.999,6207033.45,7.085,7.085,True
2022-01-12 00:00:00,25.56,26.39,25.45,26.15,2022-01-12 11:59:59.999,3102795.72,8.18,8.18,True
2022-01-12 12:00:00,26.15,27.58,26.12,27.32,2022-01-12 23:59:59.999,4463423.78,9.35,9.35,True
2022-01-13 00:00:00,27.33,27.68,26.46,26.68,2022-01-13 11:59:59.999,3138752.81,9.8,9.8,True
2022-01-13 12:00:00,26.68,27.5,25.71,25.79,2022-01-13 23:59:59.999,4517929.12,9.8,9.8,True
2022-01-14 00:00:00,25.79,27.71,25.53,26.34,2022-01-14 11:59:59.999,5496924.34,9.8,9.8,True
