open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,26.67,28.65,26.66,28.6,2022-01-01 23:59:59.999,5227230.45,,,True
2022-01-02,28.6,30.62,27.82,29.69,2022-01-02 23:59:59.999,8942930.92,,,True
2022-01-03,29.69,30.88,28.62,30.11,2022-01-03 23:59:59.999,11890491.01,,,True
2022-01-04,30.1,30.58,28.66,28.69,2022-01-04 23:59:59.999,11149885.08,,,True
2022-01-05,28.69,30.39,25.05,26.72,2022-01-05 23:59:59.999,14135011.01,,,True
2022-01-06,26.73,27.36,25.5,26.72,2022-01-06 23:59:59.999,11412775.24,,,True
2022-01-07,26.72,26.86,24.24,24.9,2022-01-07 23:59:59.999,14333874.43,,,True
2022-01-08,24.9,25.54,23.12,23.99,2022-01-08 23:59:59.999,9965873.23,,,True
2022-01-09,23.98,25.32,23.67,24.63,2022-01-09 23:59:59.999,7523995.26,,,True
2022-01-10,24.63,25.22,22.43,23.72,2022-01-10 23:59:59.999,11667129.55,,,True
2022-01-11,23.73,26.0,23.48,25.56,2022-01-11 23:59:59.999,9473674.68,,,True
2022-01-12,25.56,27.58,25.45,27.32,2022-01-12 23:59:59.999,7566219.5,,,True
2022-01-13,27.33,27.68,25.71,25.79,2022-01-13 23:59:59.999,7656681.93,,,True
2022-01-14,25.79,27.88,25.53,27.75,2022-01-14 23:59:59.999,9449831.9,,,True
2022-01-15,27.75,28.41,26.83,27.6,2022-01-15 23:59:59.999,5575781.94,,,True
2022-01-16,27.6,28.47,27.26,27.7,2022-01-16 23:59:59.999,7073389.72,,,True
2022-01-17,27.7,27.76,25.1,25.69,2022-01-17 23:59:59.999,8233269.46,,,True
2022-01-18,25.69,26.07,24.24,25.15,2022-01-18 23:59:59.999,7145666.21,,,True
2022-01-19,25.15,25.3,23.68,24.05,2022-01-19 23:59:59.999,6462252.41,,,True
2022-01-20,24.06,25.62,22.84,23.01,2022-01-20 23:59:59.999,6578668.82,1.08,1.08,True
2022-01-21,23.01,23.48,19.04,19.67,2022-01-21 23:59:59.999,17269209.912,1.08,1.08,True
2022-01-22,19.66,20.16,16.17,18.27,2022-01-22 23:59:59.999,23239217.068,1.08,1.08,True
2022-01-23,18.27,19.2,17.73,18.81,2022-01-23 23:59:59.999,11483380.21,1.08,1.08,True
