open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,3.033,3.105,3.033,3.054,2022-01-01 11:59:59.999,3601799.2,,,True
2022-01-01 12:00:00,3.054,3.16,3.048,3.157,2022-01-01 23:59:59.999,3368264.1,,,True
2022-01-02 00:00:00,3.157,3.201,3.133,3.199,2022-01-02 11:59:59.999,5652228.3,,,True
2022-01-02 12:00:00,3.199,3.274,3.18,3.251,2022-01-02 23:59:59.999,6074384.5,,,True
2022-01-03 00:00:00,3.251,3.252,3.181,3.217,2022-01-03 11:59:59.999,5339850.5,,,True
2022-01-03 12:00:00,3.218,3.225,3.134,3.195,2022-01-03 23:59:59.999,5307622.0,,,True
2022-01-04 00:00:00,3.195,3.249,3.142,3.24,2022-01-04 11:59:59.999,5177704.8,,,True
2022-01-04 12:00:00,3.24,3.26,3.149,3.168,2022-01-04 23:59:59.999,5864379.2,,,True
2022-01-05 00:00:00,3.168,3.233,3.157,3.184,2022-01-05 11:59:59.999,5349586.1,,,True
2022-01-05 12:00:00,3.183,3.217,2.777,2.896,2022-01-05 23:59:59.999,16360173.5,,,True
2022-01-06 00:00:00,2.897,2.915,2.81,2.853,2022-01-06 11:59:59.999,10005966.6,,,True
2022-01-06 12:00:00,2.853,2.938,2.831,2.922,2022-01-06 23:59:59.999,5396305.4,,,True
2022-01-07 00:00:00,2.922,2.93,2.703,2.853,2022-01-07 11:59:59.999,14540155.8,,,True
2022-01-07 12:00:00,2.853,2.92,2.742,2.839,2022-01-07 23:59:59.999,11963039.9,,,True
2022-01-08 00:00:00,2.84,2.899,2.831,2.871,2022-01-08 11:59:59.999,4681082.0,,,True
2022-01-08 12:00:00,2.871,2.877,2.663,2.751,2022-01-08 23:59:59.999,10639181.7,,,True
2022-01-09 00:00:00,2.752,2.82,2.738,2.796,2022-01-09 11:59:59.999,5087882.8,,,True
2022-01-09 12:00:00,2.795,2.842,2.741,2.793,2022-01-09 23:59:59.999,4352269.1,,,True
2022-01-10 00:00:00,2.793,2.827,2.746,2.755,2022-01-10 11:59:59.999,3543617.6,,,True
2022-01-10 12:00:00,2.755,2.759,2.576,2.702,2022-01-10 23:59:59.999,14758043.9,1.3735,1.3735,True
