open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,2.2496,2.5983,2.2481,2.5838,2022-01-01 23:59:59.999,113188005.0,,,True
2022-01-02,2.584,2.6,2.4444,2.4836,2022-01-02 23:59:59.999,84920918.0,,,True
2022-01-03,2.4837,2.869,2.37,2.8677,2022-01-03 23:59:59.999,175755937.0,,,True
2022-01-04,2.8677,3.0675,2.8072,2.8777,2022-01-04 23:59:59.999,171100513.0,,,True
2022-01-05,2.8784,3.1599,2.5945,2.9307,2022-01-05 23:59:59.999,285990507.0,,,True
2022-01-06,2.9338,3.0297,2.6398,2.8908,2022-01-06 23:59:59.999,237894459.0,,,True
2022-01-07,2.8908,2.8982,2.5632,2.6031,2022-01-07 23:59:59.999,220131804.0,,,True
2022-01-08,2.603,2.69,2.1762,2.2837,2022-01-08 23:59:59.999,223372687.0,,,True
2022-01-09,2.2845,2.5265,2.232,2.3919,2022-01-09 23:59:59.999,153812869.0,,,True
2022-01-10,2.3903,2.4792,2.1,2.2238,2022-01-10 23:59:59.999,173949101.0,,,True
2022-01-11,2.2245,2.6,2.1886,2.5896,2022-01-11 23:59:59.999,179831429.0,,,True
2022-01-12,2.5896,3.0219,2.5888,2.9435,2022-01-12 23:59:59.999,208372998.0,,,True
2022-01-13,2.9423,3.15,2.7887,3.0081,2022-01-13 23:59:59.999,237162843.0,,,True
2022-01-14,3.0077,3.0676,2.81,2.9576,2022-01-14 23:59:59.999,161835492.0,,,True
2022-01-15,2.9582,3.04,2.8342,3.0015,2022-01-15 23:59:59.999,83017115.0,,,True
2022-01-16,3.0026,3.32,2.9345,3.3092,2022-01-16 23:59:59.999,172922214.0,,,True
2022-01-17,3.3088,3.3788,2.8801,2.9221,2022-01-17 23:59:59.999,169973821.0,,,True
2022-01-18,2.9222,3.0151,2.7071,2.9525,2022-01-18 23:59:59.999,169822884.0,,,True
2022-01-19,2.9527,3.0418,2.755,2.7698,2022-01-19 23:59:59.999,157944087.0,,,True
2022-01-20,2.7687,3.0405,2.6744,2.688,2022-01-20 23:59:59.999,139291308.0,-0.77115,-0.77115,True
2022-01-21,2.6867,2.7807,2.12,2.273,2022-01-21 23:59:59.999,277266352.0,-0.77115,-0.77115,True
2022-01-22,2.2726,2.3869,1.77,1.9664,2022-01-22 23:59:59.999,372136337.0,-0.77115,-0.77115,True
2022-01-23,1.9671,2.4153,1.9476,2.2768,2022-01-23 23:59:59.999,289900941.0,-0.77115,-0.77115,True
2022-01-24,2.2766,2.3283,1.902,2.2567,2022-01-24 23:59:59.999,336808857.0,-0.77115,-0.77115,True
2022-01-25,2.2558,2.4726,2.1557,2.3828,2022-01-25 23:59:59.999,236040395.0,-0.77115,-0.77115,True
2022-01-26,2.3821,2.5812,2.1744,2.2457,2022-01-26 23:59:59.999,264591185.0,-0.77115,-0.77115,True
2022-01-27,2.2459,2.2771,1.9928,2.0812,2022-01-27 23:59:59.999,189614725.0,-0.77115,-0.77115,True
2022-01-28,2.0812,2.1594,1.9833,2.1259,2022-01-28 23:59:59.999,137621161.0,-0.77115,-0.77115,True
2022-01-29,2.125,2.193,2.0718,2.0975,2022-01-29 23:59:59.999,90633860.0,-0.77115,-0.77115,True
2022-01-30,2.0977,2.1644,2.003,2.0268,2022-01-30 23:59:59.999,77202008.0,-0.77115,-0.77115,True
2022-01-31,2.0267,2.0979,1.9075,2.043,2022-01-31 23:59:59.999,115866599.0,-0.77115,-0.77115,True
2022-02-01,2.0435,2.15,2.0201,2.0706,2022-02-01 23:59:59.999,105196307.0,-0.77115,-0.77115,True
2022-02-02,2.0698,2.1099,1.9057,1.9213,2022-02-02 23:59:59.999,93172244.0,-0.77115,-0.77115,True
2022-02-03,1.9214,1.9654,1.8646,1.9583,2022-02-03 23:59:59.999,84422288.0,-0.77115,-0.77115,True
2022-02-04,1.958,2.13,1.9272,2.1251,2022-02-04 23:59:59.999,118581793.0,-0.77115,-0.77115,True
2022-02-05,2.1248,2.2,2.066,2.0886,2022-02-05 23:59:59.999,97520170.0,-0.77115,-0.77115,True
2022-02-06,2.0886,2.1721,2.0386,2.1603,2022-02-06 23:59:59.999,71940363.0,-0.74205,-0.74205,True
2022-02-07,2.16,2.3876,2.115,2.3155,2022-02-07 23:59:59.999,160363696.0,-0.5784,-0.5784,True
2022-02-08,2.3153,2.4038,2.1572,2.2023,2022-02-08 23:59:59.999,111502832.0,-0.5291,-0.5291,True
2022-02-09,2.2038,2.29,2.1357,2.255,2022-02-09 23:59:59.999,64843798.0,-0.49085,-0.49085,True
2022-02-10,2.2544,2.2639,2.085,2.1006,2022-02-10 23:59:59.999,91078569.0,-0.28835,-0.28835,True
2022-02-11,2.101,2.1776,1.9103,1.9395,2022-02-11 23:59:59.999,78813731.0,-0.24405,-0.24405,True
2022-02-12,1.9395,1.9967,1.878,1.9509,2022-02-12 23:59:59.999,68028767.0,-0.17615,-0.17615,True
2022-02-13,1.9503,1.9894,1.8842,1.8911,2022-02-13 23:59:59.999,44495575.0,-0.01615,-0.01615,True
2022-02-14,1.8914,1.9661,1.8152,1.9244,2022-02-14 23:59:59.999,73826579.0,0.0207,0.0207,True
2022-02-15,1.925,2.1025,1.9149,2.0895,2022-02-15 23:59:59.999,74764476.0,0.24835,0.24835,True
2022-02-16,2.0895,2.1156,2.0042,2.0678,2022-02-16 23:59:59.999,56884760.0,0.386,0.386,True
2022-02-17,2.0675,2.148,1.8734,1.8971,2022-02-17 23:59:59.999,85159162.0,0.386,0.386,True
2022-02-18,1.8978,1.97,1.8425,1.8627,2022-02-18 23:59:59.999,60071930.0,0.386,0.386,True
2022-02-19,1.8626,1.9107,1.809,1.874,2022-02-19 23:59:59.999,34263002.0,0.386,0.386,True
2022-02-20,1.874,1.878,1.6756,1.7253,2022-02-20 23:59:59.999,77620866.0,0.386,0.386,True
2022-02-21,1.7248,1.8096,1.5267,1.5384,2022-02-21 23:59:59.999,126903573.0,0.386,0.386,True
2022-02-22,1.5387,1.6176,1.4746,1.6131,2022-02-22 23:59:59.999,115939067.0,0.386,0.386,True
2022-02-23,1.6132,1.7313,1.5688,1.5725,2022-02-23 23:59:59.999,95799180.0,0.386,0.386,True
2022-02-24,1.5731,1.5863,1.2969,1.4878,2022-02-24 23:59:59.999,262838543.0,0.386,0.386,True
2022-02-25,1.4878,1.7254,1.4659,1.7225,2022-02-25 23:59:59.999,148786828.0,0.386,0.386,True
2022-02-26,1.7222,1.8263,1.6565,1.7707,2022-02-26 23:59:59.999,111447606.0,0.386,0.386,True
2022-02-27,1.771,1.82,1.565,1.5841,2022-02-27 23:59:59.999,140753600.0,0.386,0.386,True
2022-02-28,1.5844,1.7969,1.5426,1.7812,2022-02-28 23:59:59.999,130320920.0,0.386,0.386,True
2022-03-01,1.7812,1.95,1.7759,1.8297,2022-03-01 23:59:59.999,159287557.0,0.386,0.386,True
2022-03-02,1.8292,2.0794,1.7742,2.0145,2022-03-02 23:59:59.999,200360165.0,0.386,0.386,True
2022-03-03,2.0146,2.0158,1.81,1.8724,2022-03-03 23:59:59.999,161390497.0,0.386,0.386,True
2022-03-04,1.8725,1.882,1.6358,1.6627,2022-03-04 23:59:59.999,151867392.0,0.386,0.386,True
2022-03-05,1.6636,1.705,1.6084,1.6884,2022-03-05 23:59:59.999,94617882.0,0.386,0.386,True
2022-03-06,1.6883,1.7121,1.3836,1.4119,2022-03-06 23:59:59.999,314665417.0,0.386,0.386,True
2022-03-07,1.4119,1.4708,1.2916,1.3147,2022-03-07 23:59:59.999,297423548.0,0.386,0.386,True
2022-03-08,1.3147,1.3898,1.302,1.3249,2022-03-08 23:59:59.999,167714856.0,0.386,0.386,True
2022-03-09,1.3249,1.4396,1.321,1.3702,2022-03-09 23:59:59.999,205398156.0,0.386,0.386,True
2022-03-10,1.3703,1.3743,1.222,1.2392,2022-03-10 23:59:59.999,175227292.0,0.386,0.386,True
2022-03-11,1.2387,1.2671,1.1426,1.2008,2022-03-11 23:59:59.999,220763250.0,0.386,0.386,True
2022-03-12,1.2008,1.2738,1.182,1.1844,2022-03-12 23:59:59.999,93239341.0,0.386,0.386,True
2022-03-13,1.1845,1.2055,1.1122,1.1153,2022-03-13 23:59:59.999,89154971.0,0.386,0.386,True
2022-03-14,1.1155,1.1246,1.0345,1.0849,2022-03-14 23:59:59.999,171515155.0,0.386,0.386,True
2022-03-15,1.0846,1.2459,1.0364,1.1967,2022-03-15 23:59:59.999,230312768.0,0.386,0.386,True
2022-03-16,1.1967,1.2824,1.1374,1.2693,2022-03-16 23:59:59.999,251102409.0,0.386,0.386,True
2022-03-17,1.2696,1.2753,1.1937,1.2045,2022-03-17 23:59:59.999,104483007.0,0.386,0.386,True
2022-03-18,1.2044,1.2786,1.1711,1.2454,2022-03-18 23:59:59.999,112760206.0,0.386,0.386,True
2022-03-19,1.2459,1.346,1.2426,1.3157,2022-03-19 23:59:59.999,124553296.0,0.386,0.386,True
2022-03-20,1.3152,1.3443,1.2452,1.2522,2022-03-20 23:59:59.999,81365530.0,0.386,0.386,True
2022-03-21,1.252,1.3065,1.2003,1.2581,2022-03-21 23:59:59.999,108392112.0,0.386,0.386,True
2022-03-22,1.2581,1.329,1.25,1.2724,2022-03-22 23:59:59.999,98505761.0,0.386,0.386,True
2022-03-23,1.2723,1.3143,1.255,1.3047,2022-03-23 23:59:59.999,74318077.0,0.386,0.386,True
2022-03-24,1.3047,1.3466,1.2938,1.3161,2022-03-24 23:59:59.999,97382513.0,0.386,0.386,True
2022-03-25,1.3162,1.4327,1.3002,1.3512,2022-03-25 23:59:59.999,152043537.0,0.386,0.386,True
2022-03-26,1.3511,1.4095,1.3352,1.3973,2022-03-26 23:59:59.999,75546053.0,0.386,0.386,True
2022-03-27,1.3973,1.4366,1.3473,1.4357,2022-03-27 23:59:59.999,84787946.0,0.386,0.386,True
2022-03-28,1.4357,1.4887,1.3781,1.4002,2022-03-28 23:59:59.999,135042630.0,0.386,0.386,True
2022-03-29,1.4007,1.485,1.3819,1.4146,2022-03-29 23:59:59.999,102902958.0,0.386,0.386,True
2022-03-30,1.4148,1.455,1.366,1.4089,2022-03-30 23:59:59.999,81437696.0,0.38955,0.38955,True
2022-03-31,1.4093,1.5307,1.4033,1.4304,2022-03-31 23:59:59.999,216350895.0,0.4446,0.4446,True
2022-04-01,1.43,1.6087,1.4137,1.5901,2022-04-01 23:59:59.999,245811769.0,0.4446,0.4446,True
2022-04-02,1.5901,1.6817,1.524,1.5356,2022-04-02 23:59:59.999,159055700.0,0.49665,0.49665,True
2022-04-03,1.5355,1.65,1.5126,1.6267,2022-04-03 23:59:59.999,104804770.0,0.49665,0.49665,True
2022-04-04,1.6261,1.6457,1.4804,1.5484,2022-04-04 23:59:59.999,105417099.0,0.49665,0.49665,True
2022-04-05,1.5484,1.5815,1.4405,1.448,2022-04-05 23:59:59.999,88526759.0,0.49665,0.49665,True
2022-04-06,1.4479,1.4616,1.2938,1.3057,2022-04-06 23:59:59.999,139510851.0,0.49665,0.49665,True
2022-04-07,1.3055,1.3808,1.2816,1.3477,2022-04-07 23:59:59.999,83311512.0,0.49665,0.49665,True
2022-04-08,1.3476,1.3778,1.2356,1.2476,2022-04-08 23:59:59.999,75961021.0,0.49665,0.49665,True
2022-04-09,1.2473,1.3033,1.2438,1.3009,2022-04-09 23:59:59.999,43555254.0,0.49665,0.49665,True
2022-04-10,1.301,1.3263,1.251,1.2564,2022-04-10 23:59:59.999,54666261.0,0.49665,0.49665,True
2022-04-11,1.2564,1.2609,1.1018,1.1205,2022-04-11 23:59:59.999,122039785.0,0.49665,0.49665,True
2022-04-12,1.1203,1.1884,1.1117,1.1635,2022-04-12 23:59:59.999,73730529.0,0.49665,0.49665,True
2022-04-13,1.1635,1.2067,1.1414,1.193,2022-04-13 23:59:59.999,60866578.0,0.49665,0.49665,True
2022-04-14,1.1932,1.2246,1.1342,1.1535,2022-04-14 23:59:59.999,55473859.0,0.49665,0.49665,True
