open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,24.42,24.66,24.4,24.61,2022-01-01 00:14:59.999,17749.45,,,True
2022-01-01 00:15:00,24.6,24.67,24.54,24.65,2022-01-01 00:29:59.999,11793.06,,,True
2022-01-01 00:30:00,24.65,24.85,24.61,24.8,2022-01-01 00:44:59.999,17350.34,,,True
2022-01-01 00:45:00,24.8,25.05,24.78,25.02,2022-01-01 00:59:59.999,32295.8,,,True
2022-01-01 01:00:00,25.03,25.15,24.9,25.14,2022-01-01 01:14:59.999,17867.66,,,True
2022-01-01 01:15:00,25.15,25.24,25.09,25.13,2022-01-01 01:29:59.999,22667.25,,,True
2022-01-01 01:30:00,25.12,25.21,25.03,25.04,2022-01-01 01:44:59.999,13254.46,,,True
2022-01-01 01:45:00,25.03,25.1,24.96,24.99,2022-01-01 01:59:59.999,8702.57,,,True
2022-01-01 02:00:00,24.97,25.14,24.97,25.11,2022-01-01 02:14:59.999,12274.43,,,True
2022-01-01 02:15:00,25.12,25.19,25.05,25.09,2022-01-01 02:29:59.999,10622.03,,,True
2022-01-01 02:30:00,25.08,25.12,25.04,25.09,2022-01-01 02:44:59.999,10750.43,,,True
2022-01-01 02:45:00,25.09,25.16,25.06,25.08,2022-01-01 02:59:59.999,10285.42,,,True
2022-01-01 03:00:00,25.07,25.1,25.02,25.09,2022-01-01 03:14:59.999,7480.32,,,True
2022-01-01 03:15:00,25.09,25.15,25.03,25.04,2022-01-01 03:29:59.999,5924.5,,,True
2022-01-01 03:30:00,25.02,25.1,25.02,25.09,2022-01-01 03:44:59.999,7048.61,,,True
2022-01-01 03:45:00,25.07,25.12,25.0,25.02,2022-01-01 03:59:59.999,12349.73,,,True
2022-01-01 04:00:00,25.03,25.08,24.74,24.82,2022-01-01 04:14:59.999,16617.31,,,True
2022-01-01 04:15:00,24.82,24.89,24.8,24.84,2022-01-01 04:29:59.999,15792.24,,,True
2022-01-01 04:30:00,24.85,24.87,24.77,24.82,2022-01-01 04:44:59.999,8037.3,,,True
2022-01-01 04:45:00,24.82,24.93,24.78,24.8,2022-01-01 04:59:59.999,12120.52,23.26,23.26,True
2022-01-01 05:00:00,24.8,24.95,24.78,24.87,2022-01-01 05:14:59.999,18713.46,23.315,23.315,True
2022-01-01 05:15:00,24.87,25.29,24.77,25.21,2022-01-01 05:29:59.999,35421.47,23.315,23.315,True
2022-01-01 05:30:00,25.22,25.35,25.11,25.18,2022-01-01 05:44:59.999,27089.45,23.485,23.485,True
2022-01-01 05:45:00,25.17,25.17,25.03,25.09,2022-01-01 05:59:59.999,13112.47,23.485,23.485,True
2022-01-01 06:00:00,25.09,25.23,25.03,25.18,2022-01-01 06:14:59.999,10697.33,23.485,23.485,True
2022-01-01 06:15:00,25.19,25.19,25.07,25.13,2022-01-01 06:29:59.999,15340.0,23.485,23.485,True
2022-01-01 06:30:00,25.11,25.19,25.07,25.18,2022-01-01 06:44:59.999,4537.45,23.515,23.515,True
2022-01-01 06:45:00,25.17,25.28,25.11,25.16,2022-01-01 06:59:59.999,23101.63,23.565,23.565,True
2022-01-01 07:00:00,25.17,25.18,24.98,25.05,2022-01-01 07:14:59.999,24754.88,23.565,23.565,True
2022-01-01 07:15:00,25.05,25.12,25.03,25.08,2022-01-01 07:29:59.999,9591.29,23.565,23.565,True
2022-01-01 07:30:00,25.08,25.26,25.02,25.24,2022-01-01 07:44:59.999,30414.76,23.565,23.565,True
2022-01-01 07:45:00,25.22,25.35,25.19,25.24,2022-01-01 07:59:59.999,24720.1,23.565,23.565,True
2022-01-01 08:00:00,25.23,25.26,25.13,25.26,2022-01-01 08:14:59.999,15772.92,23.565,23.565,True
2022-01-01 08:15:00,25.27,25.38,25.26,25.35,2022-01-01 08:29:59.999,14324.72,23.565,23.565,True
2022-01-01 08:30:00,25.35,25.36,25.28,25.31,2022-01-01 08:44:59.999,10205.78,23.565,23.565,True
