open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,24.42,26.0,24.4,25.62,2022-01-01 23:59:59.999,1450347.58,,,True
2022-01-02,25.62,28.57,25.38,27.31,2022-01-02 23:59:59.999,3745022.06,,,True
2022-01-03,27.31,29.46,26.5,29.26,2022-01-03 23:59:59.999,3919002.06,,,True
2022-01-04,29.26,35.56,27.81,33.79,2022-01-04 23:59:59.999,8471538.89,,,True
2022-01-05,33.79,38.02,29.0,30.64,2022-01-05 23:59:59.999,10608704.84,,,True
2022-01-06,30.63,32.63,28.56,30.59,2022-01-06 23:59:59.999,7215531.19,,,True
2022-01-07,30.59,32.58,27.01,30.23,2022-01-07 23:59:59.999,6610521.36,,,True
2022-01-08,30.23,33.93,30.1,32.92,2022-01-08 23:59:59.999,6486311.4,,,True
2022-01-09,32.93,37.34,32.79,36.15,2022-01-09 23:59:59.999,7465611.75,,,True
2022-01-10,36.15,37.79,32.18,34.31,2022-01-10 23:59:59.999,7633781.26,,,True
2022-01-11,34.31,37.04,33.59,34.43,2022-01-11 23:59:59.999,4669598.51,,,True
2022-01-12,34.44,35.93,32.61,34.99,2022-01-12 23:59:59.999,4020960.88,,,True
2022-01-13,35.01,35.1,31.21,31.38,2022-01-13 23:59:59.999,3412062.5,,,True
2022-01-14,31.37,33.1,31.05,32.51,2022-01-14 23:59:59.999,2738731.62,,,True
2022-01-15,32.52,33.98,31.75,32.55,2022-01-15 23:59:59.999,1793177.97,,,True
2022-01-16,32.54,33.12,30.5,31.15,2022-01-16 23:59:59.999,2280546.3,,,True
2022-01-17,31.15,31.33,28.62,29.64,2022-01-17 23:59:59.999,2128974.21,,,True
2022-01-18,29.64,31.72,28.17,29.37,2022-01-18 23:59:59.999,2650416.27,,,True
2022-01-19,29.36,29.61,26.15,26.52,2022-01-19 23:59:59.999,3169788.58,,,True
2022-01-20,26.52,28.6,24.73,24.98,2022-01-20 23:59:59.999,3457397.27,-12.985,-12.985,True
2022-01-21,24.97,25.51,22.33,24.2,2022-01-21 23:59:59.999,5637216.13,-12.985,-12.985,True
2022-01-22,24.19,25.32,18.06,20.55,2022-01-22 23:59:59.999,7004823.96,-12.985,-12.985,True
2022-01-23,20.55,22.15,20.06,21.28,2022-01-23 23:59:59.999,2884048.69,-12.985,-12.985,True
2022-01-24,21.27,21.93,18.41,20.72,2022-01-24 23:59:59.999,5239948.01,-12.985,-12.985,True
2022-01-25,20.71,21.38,19.64,20.05,2022-01-25 23:59:59.999,3125636.66,-12.985,-12.985,True
2022-01-26,20.05,21.83,19.64,19.81,2022-01-26 23:59:59.999,4685235.32,-12.985,-12.985,True
2022-01-27,19.81,20.06,18.49,19.59,2022-01-27 23:59:59.999,4156184.15,-12.985,-12.985,True
2022-01-28,19.58,20.68,18.92,20.3,2022-01-28 23:59:59.999,2661238.53,-12.51,-12.51,True
2022-01-29,20.29,21.36,20.02,20.17,2022-01-29 23:59:59.999,2626370.87,-10.015,-10.015,True
2022-01-30,20.17,20.47,18.85,19.23,2022-01-30 23:59:59.999,3487582.59,-9.05,-9.05,True
2022-01-31,19.25,20.05,18.51,19.8,2022-01-31 23:59:59.999,2481805.31,-8.475,-8.475,True
2022-02-01,19.82,20.54,19.66,20.16,2022-02-01 23:59:59.999,2040984.79,-6.435,-6.435,True
2022-02-02,20.15,22.33,19.92,21.59,2022-02-02 23:59:59.999,4903533.26,-4.67,-4.67,True
2022-02-03,21.59,22.09,20.02,20.79,2022-02-03 23:59:59.999,3142538.7,-4.67,-4.67,True
2022-02-04,20.78,22.39,20.42,22.26,2022-02-04 23:59:59.999,2992379.58,-4.27,-4.27,True
