open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,19.52,20.79,19.5,20.76,2022-01-01 23:59:59.999,3459474.38,,,True
2022-01-02,20.75,22.2,20.57,21.87,2022-01-02 23:59:59.999,5108786.84,,,True
2022-01-03,21.86,23.75,21.25,23.72,2022-01-03 23:59:59.999,7982877.02,,,True
2022-01-04,23.72,24.49,22.71,23.42,2022-01-04 23:59:59.999,10784755.22,,,True
2022-01-05,23.43,27.48,22.29,25.24,2022-01-05 23:59:59.999,24289357.8,,,True
2022-01-06,25.24,25.98,23.34,25.38,2022-01-06 23:59:59.999,17086946.69,,,True
2022-01-07,25.39,27.33,22.65,25.98,2022-01-07 23:59:59.999,22033325.64,,,True
2022-01-08,25.98,27.33,23.51,25.32,2022-01-08 23:59:59.999,15635153.07,,,True
2022-01-09,25.31,28.68,25.08,27.54,2022-01-09 23:59:59.999,18630446.63,,,True
2022-01-10,27.54,28.51,25.07,27.98,2022-01-10 23:59:59.999,18516507.58,,,True
2022-01-11,27.98,28.71,25.84,26.59,2022-01-11 23:59:59.999,13498246.97,,,True
2022-01-12,26.6,27.25,25.61,26.75,2022-01-12 23:59:59.999,10319762.43,,,True
2022-01-13,26.76,26.76,24.43,24.86,2022-01-13 23:59:59.999,7890385.69,,,True
2022-01-14,24.86,25.89,23.91,25.72,2022-01-14 23:59:59.999,6488595.95,,,True
2022-01-15,25.72,26.22,25.11,25.17,2022-01-15 23:59:59.999,4141482.21,,,True
2022-01-16,25.17,26.34,24.65,25.5,2022-01-16 23:59:59.999,4415951.38,,,True
2022-01-17,25.51,25.62,23.27,23.79,2022-01-17 23:59:59.999,4471877.32,,,True
2022-01-18,23.79,24.34,22.04,22.96,2022-01-18 23:59:59.999,4910863.58,,,True
2022-01-19,22.96,23.15,21.22,21.55,2022-01-19 23:59:59.999,5688676.47,,,True
2022-01-20,21.54,22.98,20.04,20.17,2022-01-20 23:59:59.999,5603272.17,-4.345,-4.345,True
2022-01-21,20.18,20.51,17.1,17.42,2022-01-21 23:59:59.999,14621190.27,-4.345,-4.345,True
2022-01-22,17.41,17.82,14.24,15.85,2022-01-22 23:59:59.999,18934134.953,-4.345,-4.345,True
2022-01-23,15.86,16.88,15.15,16.64,2022-01-23 23:59:59.999,9533639.18,-4.345,-4.345,True
2022-01-24,16.63,16.65,13.48,15.58,2022-01-24 23:59:59.999,14743580.999,-4.345,-4.345,True
2022-01-25,15.58,16.03,14.59,15.49,2022-01-25 23:59:59.999,7694012.53,-4.345,-4.345,True
2022-01-26,15.5,16.8,14.68,15.23,2022-01-26 23:59:59.999,9794747.0,-4.345,-4.345,True
2022-01-27,15.23,15.71,14.29,15.22,2022-01-27 23:59:59.999,8536301.47,-4.345,-4.345,True
2022-01-28,15.22,16.28,14.74,16.15,2022-01-28 23:59:59.999,6246161.02,-4.345,-4.345,True
2022-01-29,16.14,16.75,15.96,16.23,2022-01-29 23:59:59.999,3920458.64,-4.345,-4.345,True
2022-01-30,16.23,18.1,16.01,17.77,2022-01-30 23:59:59.999,7593446.41,-4.16,-4.16,True
2022-01-31,17.76,17.88,16.45,17.15,2022-01-31 23:59:59.999,7695443.58,-3.33,-3.33,True
2022-02-01,17.15,17.91,16.8,16.98,2022-02-01 23:59:59.999,5923564.6,-2.875,-2.875,True
2022-02-02,16.98,17.38,15.56,15.78,2022-02-02 23:59:59.999,4741039.26,-2.875,-2.875,True
2022-02-03,15.78,16.33,15.26,16.3,2022-02-03 23:59:59.999,5327213.34,-2.875,-2.875,True
2022-02-04,16.31,17.55,16.0,17.5,2022-02-04 23:59:59.999,5829149.36,-2.875,-2.875,True
2022-02-05,17.5,18.32,17.42,17.76,2022-02-05 23:59:59.999,5007027.59,-1.475,-1.475,True
2022-02-06,17.75,18.17,17.17,18.07,2022-02-06 23:59:59.999,3114467.57,-1.0,-1.0,True
2022-02-07,18.06,19.4,17.65,18.88,2022-02-07 23:59:59.999,6242937.28,0.13,0.13,True
2022-02-08,18.89,19.54,17.72,18.38,2022-02-08 23:59:59.999,6603587.99,0.29,0.29,True
2022-02-09,18.38,18.75,17.75,18.67,2022-02-09 23:59:59.999,3742482.7,0.88,0.88,True
2022-02-10,18.67,18.75,17.35,17.5,2022-02-10 23:59:59.999,5796638.84,1.685,1.685,True
2022-02-11,17.51,17.81,15.89,16.21,2022-02-11 23:59:59.999,4468507.35,1.685,1.685,True
2022-02-12,16.2,16.38,15.56,15.95,2022-02-12 23:59:59.999,4161869.44,1.685,1.685,True
2022-02-13,15.96,16.33,15.52,15.6,2022-02-13 23:59:59.999,2671296.28,2.025,2.025,True
2022-02-14,15.61,16.12,15.2,15.9,2022-02-14 23:59:59.999,3638626.12,2.025,2.025,True
2022-02-15,15.91,17.45,15.81,17.34,2022-02-15 23:59:59.999,4132749.5,3.23,3.23,True
2022-02-16,17.34,17.41,16.49,17.12,2022-02-16 23:59:59.999,3608928.92,3.8,3.8,True
2022-02-17,17.13,17.45,15.45,15.59,2022-02-17 23:59:59.999,4927491.83,3.8,3.8,True
2022-02-18,15.6,16.06,15.03,15.19,2022-02-18 23:59:59.999,3855947.82,3.8,3.8,True
