open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,19.52,19.67,19.5,19.65,2022-01-01 00:29:59.999,75671.91,,,True
2022-01-01 00:30:00,19.66,20.06,19.64,19.97,2022-01-01 00:59:59.999,150584.73,,,True
2022-01-01 01:00:00,19.97,20.21,19.9,20.16,2022-01-01 01:29:59.999,123444.04,,,True
2022-01-01 01:30:00,20.17,20.2,19.97,19.98,2022-01-01 01:59:59.999,70887.82,,,True
2022-01-01 02:00:00,19.99,20.12,19.99,20.06,2022-01-01 02:29:59.999,54991.78,,,True
2022-01-01 02:30:00,20.06,20.07,19.85,19.89,2022-01-01 02:59:59.999,56760.16,,,True
2022-01-01 03:00:00,19.89,19.92,19.75,19.79,2022-01-01 03:29:59.999,75863.5,,,True
2022-01-01 03:30:00,19.78,19.81,19.74,19.77,2022-01-01 03:59:59.999,71639.55,,,True
2022-01-01 04:00:00,19.76,19.82,19.59,19.68,2022-01-01 04:29:59.999,119186.56,,,True
2022-01-01 04:30:00,19.68,19.7,19.55,19.55,2022-01-01 04:59:59.999,54713.37,,,True
2022-01-01 05:00:00,19.56,19.95,19.55,19.9,2022-01-01 05:29:59.999,128864.22,,,True
2022-01-01 05:30:00,19.9,20.0,19.75,19.8,2022-01-01 05:59:59.999,82406.64,,,True
2022-01-01 06:00:00,19.81,19.88,19.76,19.77,2022-01-01 06:29:59.999,40282.0,,,True
2022-01-01 06:30:00,19.77,19.83,19.67,19.69,2022-01-01 06:59:59.999,51824.76,,,True
2022-01-01 07:00:00,19.69,19.75,19.63,19.73,2022-01-01 07:29:59.999,58827.71,,,True
2022-01-01 07:30:00,19.74,19.89,19.72,19.8,2022-01-01 07:59:59.999,56260.59,,,True
2022-01-01 08:00:00,19.79,19.9,19.78,19.86,2022-01-01 08:29:59.999,56317.16,,,True
2022-01-01 08:30:00,19.87,19.9,19.79,19.82,2022-01-01 08:59:59.999,57923.82,,,True
2022-01-01 09:00:00,19.83,19.94,19.8,19.88,2022-01-01 09:29:59.999,69718.88,,,True
2022-01-01 09:30:00,19.88,19.91,19.72,19.78,2022-01-01 09:59:59.999,47948.1,17.87,17.87,True
2022-01-01 10:00:00,19.77,19.88,19.62,19.65,2022-01-01 10:29:59.999,75655.31,17.87,17.87,True
2022-01-01 10:30:00,19.65,19.79,19.54,19.65,2022-01-01 10:59:59.999,106052.96,17.87,17.87,True
