open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,146.2,151.0,146.1,150.8,2022-01-01 23:59:59.999,225155.54,,,True
2022-01-02,150.8,153.4,147.8,151.2,2022-01-02 23:59:59.999,228350.087,,,True
2022-01-03,151.1,151.2,146.0,148.5,2022-01-03 23:59:59.999,291038.873,,,True
2022-01-04,148.4,151.7,145.2,146.5,2022-01-04 23:59:59.999,331705.663,,,True
2022-01-05,146.5,150.0,129.8,135.4,2022-01-05 23:59:59.999,601964.057,,,True
2022-01-06,135.3,138.1,132.4,135.9,2022-01-06 23:59:59.999,531427.357,,,True
2022-01-07,135.9,136.5,125.9,131.4,2022-01-07 23:59:59.999,733975.31191,,,True
2022-01-08,131.4,134.8,124.8,129.4,2022-01-08 23:59:59.999,450291.35478,,,True
2022-01-09,129.4,132.6,127.7,130.9,2022-01-09 23:59:59.999,321828.343,,,True
2022-01-10,130.8,131.5,120.7,126.5,2022-01-10 23:59:59.999,621002.30603,,,True
2022-01-11,126.6,133.5,125.7,131.6,2022-01-11 23:59:59.999,396300.22,,,True
2022-01-12,131.6,142.3,130.8,141.9,2022-01-12 23:59:59.999,387745.567,,,True
2022-01-13,142.0,142.4,134.6,136.7,2022-01-13 23:59:59.999,462389.154,,,True
2022-01-14,136.7,146.7,135.8,144.7,2022-01-14 23:59:59.999,588107.752,,,True
2022-01-15,144.7,150.7,144.0,147.7,2022-01-15 23:59:59.999,461786.036,,,True
2022-01-16,147.6,149.0,143.2,146.4,2022-01-16 23:59:59.999,323952.665,,,True
2022-01-17,146.4,153.9,144.1,151.2,2022-01-17 23:59:59.999,809014.895,,,True
2022-01-18,151.1,153.4,138.6,141.5,2022-01-18 23:59:59.999,605404.359,,,True
2022-01-19,141.4,143.0,133.2,136.2,2022-01-19 23:59:59.999,437642.165,,,True
2022-01-20,136.2,142.9,128.8,129.7,2022-01-20 23:59:59.999,404805.365,44.15,44.15,True
2022-01-21,129.6,131.1,109.8,114.5,2022-01-21 23:59:59.999,1024703.15234,44.15,44.15,True
2022-01-22,114.5,117.0,96.3,108.4,2022-01-22 23:59:59.999,1345786.1907,44.15,44.15,True
2022-01-23,108.4,112.8,105.6,112.3,2022-01-23 23:59:59.999,588082.317,44.15,44.15,True
2022-01-24,112.3,112.3,97.5,109.5,2022-01-24 23:59:59.999,1098206.519,44.15,44.15,True
2022-01-25,109.6,109.9,105.1,107.8,2022-01-25 23:59:59.999,589373.563,44.15,44.15,True
2022-01-26,107.9,116.5,104.6,106.9,2022-01-26 23:59:59.999,774954.382,44.15,44.15,True
2022-01-27,107.0,110.0,102.8,106.9,2022-01-27 23:59:59.999,563991.766,44.15,44.15,True
2022-01-28,106.8,110.0,105.2,109.4,2022-01-28 23:59:59.999,463842.238,44.15,44.15,True
2022-01-29,109.5,112.4,107.5,110.8,2022-01-29 23:59:59.999,345775.899,44.15,44.15,True
2022-01-30,110.9,112.2,107.0,108.6,2022-01-30 23:59:59.999,276376.291,44.15,44.15,True
2022-01-31,108.5,111.3,104.3,109.5,2022-01-31 23:59:59.999,447814.467,44.15,44.15,True
2022-02-01,109.4,116.9,108.2,115.0,2022-02-01 23:59:59.999,597661.679,44.15,44.15,True
2022-02-02,115.1,116.0,107.3,108.3,2022-02-02 23:59:59.999,512026.267,44.15,44.15,True
2022-02-03,108.3,111.1,105.4,111.0,2022-02-03 23:59:59.999,380748.903,44.15,44.15,True
2022-02-04,110.9,121.5,108.7,121.3,2022-02-04 23:59:59.999,649501.138,44.15,44.15,True
2022-02-05,121.3,123.8,118.8,121.7,2022-02-05 23:59:59.999,442597.015,44.15,44.15,True
2022-02-06,121.8,128.0,120.5,127.6,2022-02-06 23:59:59.999,415141.018,44.15,44.15,True
2022-02-07,127.5,139.9,125.0,137.4,2022-02-07 23:59:59.999,694509.795,44.15,44.15,True
2022-02-08,137.4,142.9,130.4,133.7,2022-02-08 23:59:59.999,974024.21,44.15,44.15,True
2022-02-09,133.6,141.0,132.0,140.1,2022-02-09 23:59:59.999,615072.437,44.15,44.15,True
2022-02-10,140.0,143.8,134.0,134.6,2022-02-10 23:59:59.999,722895.221,47.35,47.35,True
2022-02-11,134.5,134.8,124.8,125.6,2022-02-11 23:59:59.999,536508.563,47.35,47.35,True
2022-02-12,125.6,127.6,120.8,126.7,2022-02-12 23:59:59.999,328295.304,47.35,47.35,True
2022-02-13,126.7,128.9,123.5,125.6,2022-02-13 23:59:59.999,261891.161,47.35,47.35,True
2022-02-14,125.6,127.0,121.4,124.6,2022-02-14 23:59:59.999,311463.001,47.35,47.35,True
2022-02-15,124.6,132.6,123.9,131.5,2022-02-15 23:59:59.999,372015.055,48.15,48.15,True
2022-02-16,131.6,131.8,125.4,127.7,2022-02-16 23:59:59.999,325088.116,48.9,48.9,True
2022-02-17,127.8,129.0,114.8,116.3,2022-02-17 23:59:59.999,535445.236,48.9,48.9,True
2022-02-18,116.3,123.6,114.1,114.9,2022-02-18 23:59:59.999,686552.347,48.9,48.9,True
2022-02-19,114.9,117.2,113.0,115.5,2022-02-19 23:59:59.999,361933.434,48.9,48.9,True
2022-02-20,115.5,115.8,108.4,110.6,2022-02-20 23:59:59.999,468241.931,48.9,48.9,True
2022-02-21,110.6,114.5,102.0,102.8,2022-02-21 23:59:59.999,631230.777,48.9,48.9,True
2022-02-22,102.7,107.9,100.2,107.4,2022-02-22 23:59:59.999,537388.743,48.9,48.9,True
2022-02-23,107.4,111.5,104.9,105.4,2022-02-23 23:59:59.999,432495.97,48.9,48.9,True
2022-02-24,105.3,111.0,90.0,104.1,2022-02-24 23:59:59.999,1288797.47718,48.9,48.9,True
2022-02-25,104.2,110.7,101.5,109.2,2022-02-25 23:59:59.999,604602.878,48.9,48.9,True
2022-02-26,109.2,115.0,106.6,108.2,2022-02-26 23:59:59.999,456598.44,48.9,48.9,True
2022-02-27,108.1,110.2,101.1,102.9,2022-02-27 23:59:59.999,417924.626,48.9,48.9,True
2022-02-28,102.9,113.9,101.2,113.7,2022-02-28 23:59:59.999,574622.74,48.9,48.9,True
2022-03-01,113.7,116.0,109.4,112.5,2022-03-01 23:59:59.999,601477.274,48.9,48.9,True
2022-03-02,112.5,114.7,109.1,110.3,2022-03-02 23:59:59.999,513465.217,48.9,48.9,True
2022-03-03,110.3,113.0,107.9,111.7,2022-03-03 23:59:59.999,638112.361,48.9,48.9,True
2022-03-04,111.7,112.7,99.0,101.0,2022-03-04 23:59:59.999,635993.785,48.9,48.9,True
2022-03-05,101.0,105.4,99.4,104.9,2022-03-05 23:59:59.999,298763.798,48.9,48.9,True
2022-03-06,104.9,106.0,100.6,101.1,2022-03-06 23:59:59.999,312844.282,48.9,48.9,True
2022-03-07,101.1,103.9,96.2,98.4,2022-03-07 23:59:59.999,518690.842,48.9,48.9,True
2022-03-08,98.3,102.6,97.8,100.7,2022-03-08 23:59:59.999,489539.231,48.9,48.9,True
2022-03-09,100.8,109.3,100.4,106.9,2022-03-09 23:59:59.999,548748.759,48.9,48.9,True
2022-03-10,106.9,107.1,99.5,102.5,2022-03-10 23:59:59.999,544448.846,48.9,48.9,True
2022-03-11,102.6,107.0,99.6,104.6,2022-03-11 23:59:59.999,462322.473,48.9,48.9,True
2022-03-12,104.6,108.0,104.5,105.6,2022-03-12 23:59:59.999,273690.902,48.9,48.9,True
2022-03-13,105.5,107.4,101.0,101.7,2022-03-13 23:59:59.999,267778.849,48.9,48.9,True
2022-03-14,101.7,106.4,100.8,105.6,2022-03-14 23:59:59.999,461259.961,48.9,48.9,True
2022-03-15,105.5,108.6,102.4,106.8,2022-03-15 23:59:59.999,455884.752,48.9,48.9,True
2022-03-16,106.9,112.2,105.6,111.4,2022-03-16 23:59:59.999,627565.504,48.9,48.9,True
2022-03-17,111.3,111.7,108.5,110.2,2022-03-17 23:59:59.999,315598.565,48.9,48.9,True
2022-03-18,110.2,113.0,107.7,111.9,2022-03-18 23:59:59.999,362061.811,48.9,48.9,True
2022-03-19,111.8,117.3,111.4,116.8,2022-03-19 23:59:59.999,455077.798,48.9,48.9,True
2022-03-20,116.8,118.5,111.3,114.9,2022-03-20 23:59:59.999,456736.029,50.55,50.55,True
2022-03-21,114.9,116.8,113.1,116.0,2022-03-21 23:59:59.999,414783.622,52.05,52.05,True
2022-03-22,116.1,123.7,115.6,122.7,2022-03-22 23:59:59.999,613158.765,55.5,55.5,True
2022-03-23,122.7,124.5,118.5,122.4,2022-03-23 23:59:59.999,404116.575,56.9,56.9,True
2022-03-24,122.5,127.7,120.0,126.5,2022-03-24 23:59:59.999,494673.517,62.25,62.25,True
2022-03-25,126.4,127.3,121.5,123.9,2022-03-25 23:59:59.999,388911.114,62.9,62.9,True
2022-03-26,124.0,125.6,121.9,124.8,2022-03-26 23:59:59.999,222339.521,63.1,63.1,True
2022-03-27,124.8,129.8,123.2,129.7,2022-03-27 23:59:59.999,360946.115,66.4,66.4,True
2022-03-28,129.7,132.6,126.7,127.6,2022-03-28 23:59:59.999,485087.181,69.0,69.0,True
2022-03-29,127.6,132.0,127.0,130.1,2022-03-29 23:59:59.999,402240.888,70.8,70.8,True
2022-03-30,130.0,134.1,125.8,131.1,2022-03-30 23:59:59.999,469285.075,70.9,70.9,True
2022-03-31,131.1,132.9,121.1,123.8,2022-03-31 23:59:59.999,925439.976,70.9,70.9,True
2022-04-01,123.9,126.4,119.1,124.8,2022-04-01 23:59:59.999,459214.201,70.9,70.9,True
2022-04-02,124.8,128.3,123.5,124.8,2022-04-02 23:59:59.999,446188.67,70.9,70.9,True
2022-04-03,124.9,129.5,123.6,128.7,2022-04-03 23:59:59.999,304078.019,70.9,70.9,True
2022-04-04,128.8,128.9,121.2,124.8,2022-04-04 23:59:59.999,459946.591,70.9,70.9,True
2022-04-05,124.8,127.3,122.5,122.7,2022-04-05 23:59:59.999,266800.707,70.9,70.9,True
2022-04-06,122.8,123.2,111.4,111.7,2022-04-06 23:59:59.999,609814.446,70.9,70.9,True
2022-04-07,111.6,115.0,110.1,114.1,2022-04-07 23:59:59.999,302722.598,70.9,70.9,True
2022-04-08,114.0,115.3,109.6,110.7,2022-04-08 23:59:59.999,361955.502,70.9,70.9,True
2022-04-09,110.7,113.0,110.0,112.7,2022-04-09 23:59:59.999,192659.628,70.9,70.9,True
2022-04-10,112.7,114.5,110.0,110.3,2022-04-10 23:59:59.999,201089.865,70.9,70.9,True
2022-04-11,110.3,110.7,101.8,102.4,2022-04-11 23:59:59.999,440456.851,70.9,70.9,True
2022-04-12,102.5,105.8,101.7,104.8,2022-04-12 23:59:59.999,298962.751,70.9,70.9,True
2022-04-13,104.9,110.8,103.9,110.5,2022-04-13 23:59:59.999,389766.945,70.9,70.9,True
2022-04-14,110.6,112.4,105.9,107.3,2022-04-14 23:59:59.999,323593.487,70.9,70.9,True
2022-04-15,107.3,112.9,107.0,111.0,2022-04-15 23:59:59.999,303062.025,70.9,70.9,True
2022-04-16,111.0,114.9,110.1,114.3,2022-04-16 23:59:59.999,256441.818,70.9,70.9,True
2022-04-17,114.3,115.1,108.2,108.8,2022-04-17 23:59:59.999,275657.857,70.9,70.9,True
2022-04-18,108.8,111.5,105.2,111.3,2022-04-18 23:59:59.999,433957.577,70.9,70.9,True
2022-04-19,111.3,114.2,110.6,113.8,2022-04-19 23:59:59.999,267982.503,70.9,70.9,True
2022-04-20,113.8,114.2,110.7,111.9,2022-04-20 23:59:59.999,317572.869,70.9,70.9,True
2022-04-21,111.9,114.5,105.4,106.8,2022-04-21 23:59:59.999,374445.22,70.9,70.9,True
2022-04-22,106.8,108.7,104.7,105.4,2022-04-22 23:59:59.999,307003.595,70.9,70.9,True
2022-04-23,105.4,107.2,104.4,105.1,2022-04-23 23:59:59.999,151820.201,70.9,70.9,True
2022-04-24,105.2,105.9,103.5,104.6,2022-04-24 23:59:59.999,188484.103,70.9,70.9,True
2022-04-25,104.6,104.9,98.3,104.6,2022-04-25 23:59:59.999,464513.108,70.9,70.9,True
2022-04-26,104.6,105.4,96.3,98.6,2022-04-26 23:59:59.999,370089.57,70.9,70.9,True
2022-04-27,98.6,102.0,97.7,100.5,2022-04-27 23:59:59.999,295862.61,70.9,70.9,True
2022-04-28,100.6,105.8,99.7,103.3,2022-04-28 23:59:59.999,543891.391,70.9,70.9,True
2022-04-29,103.3,104.5,98.4,100.4,2022-04-29 23:59:59.999,394065.385,70.9,70.9,True
2022-04-30,100.3,101.6,93.5,95.8,2022-04-30 23:59:59.999,343937.913,70.9,70.9,True
2022-05-01,95.9,100.0,94.4,99.3,2022-05-01 23:59:59.999,295463.925,70.9,70.9,True
2022-05-02,99.3,101.9,98.3,100.7,2022-05-02 23:59:59.999,330388.68,70.9,70.9,True
2022-05-03,100.7,101.4,97.4,99.4,2022-05-03 23:59:59.999,307980.668,70.9,70.9,True
2022-05-04,99.3,107.1,99.0,106.3,2022-05-04 23:59:59.999,475753.421,70.9,70.9,True
2022-05-05,106.3,106.9,94.8,96.8,2022-05-05 23:59:59.999,586614.195,70.9,70.9,True
2022-05-06,96.8,98.4,92.9,96.7,2022-05-06 23:59:59.999,494007.711,70.9,70.9,True
2022-05-07,96.7,97.4,92.6,94.3,2022-05-07 23:59:59.999,298037.215,70.9,70.9,True
2022-05-08,94.3,95.8,91.5,93.9,2022-05-08 23:59:59.999,441180.21,70.9,70.9,True
2022-05-09,93.8,94.9,75.2,76.2,2022-05-09 23:59:59.999,1075917.38183,70.9,70.9,True
2022-05-10,76.2,85.0,73.3,80.2,2022-05-10 23:59:59.999,1335840.74274,70.9,70.9,True
2022-05-11,80.1,82.8,64.2,66.6,2022-05-11 23:59:59.999,2156656.19047,-0.25,-0.25,False
2022-05-12,66.7,69.9,54.4,64.5,2022-05-12 23:59:59.999,2076325.53921,-17.35,-17.35,False
2022-05-13,64.4,73.2,63.2,67.9,2022-05-13 23:59:59.999,1132719.666,-14.9,-14.9,False
2022-05-14,67.8,70.3,64.2,68.9,2022-05-14 23:59:59.999,556982.007,-17.7,-17.7,False
2022-05-15,68.8,71.8,65.9,71.6,2022-05-15 23:59:59.999,508046.555,-15.75,-15.75,False
2022-05-16,71.5,71.6,64.9,67.3,2022-05-16 23:59:59.999,577142.751,-15.15,-15.15,False
2022-05-17,67.2,73.9,67.1,73.2,2022-05-17 23:59:59.999,639716.3,-14.15,-14.15,False
2022-05-18,73.1,74.4,65.7,66.0,2022-05-18 23:59:59.999,701726.501,-15.9,-15.9,False
2022-05-19,65.9,72.7,64.6,72.1,2022-05-19 23:59:59.999,690029.823,-18.3,-18.3,False
2022-05-20,72.1,73.5,66.7,68.6,2022-05-20 23:59:59.999,755303.038,-16.2,-16.2,False
2022-05-21,68.6,70.7,67.9,69.8,2022-05-21 23:59:59.999,274675.04,-15.6,-15.6,False
2022-05-22,69.8,72.6,69.4,71.7,2022-05-22 23:59:59.999,290794.185,-13.7,-13.7,False
2022-05-23,71.6,74.0,68.3,69.1,2022-05-23 23:59:59.999,613835.768,-14.4,-14.4,False
2022-05-24,69.0,70.8,67.0,70.2,2022-05-24 23:59:59.999,492877.962,-14.5,-14.5,False
2022-05-25,70.3,71.7,67.9,68.2,2022-05-25 23:59:59.999,414049.811,-9.45,-9.45,False
2022-05-26,68.2,68.9,60.4,63.5,2022-05-26 23:59:59.999,730443.128,-16.1,-16.1,False
2022-05-27,63.4,64.1,60.9,61.6,2022-05-27 23:59:59.999,739704.085,-17.45,-17.45,False
2022-05-28,61.6,64.0,61.3,63.0,2022-05-28 23:59:59.999,336506.622,-16.5,-16.5,False
2022-05-29,63.1,64.4,61.8,63.6,2022-05-29 23:59:59.999,315852.358,-7.5,-7.5,False
