open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,85.51,91.72,85.46,91.69,2022-01-01 23:59:59.999,2283952.54,,,True
2022-01-02,91.69,92.54,87.88,89.45,2022-01-02 23:59:59.999,1657501.37,,,True
2022-01-03,89.43,93.96,88.43,88.85,2022-01-03 23:59:59.999,3044039.44,,,True
2022-01-04,88.84,89.5,84.34,84.53,2022-01-04 23:59:59.999,2917262.06,,,True
2022-01-05,84.53,87.41,73.28,78.47,2022-01-05 23:59:59.999,4095970.46,,,True
2022-01-06,78.45,80.35,74.0,78.41,2022-01-06 23:59:59.999,4263502.51,,,True
2022-01-07,78.42,78.69,67.93,68.8,2022-01-07 23:59:59.999,6781595.86,,,True
2022-01-08,68.8,71.7,62.46,66.96,2022-01-08 23:59:59.999,5301187.23,,,True
2022-01-09,66.95,75.67,65.61,74.47,2022-01-09 23:59:59.999,5298915.12,,,True
2022-01-10,74.46,74.7,65.1,69.44,2022-01-10 23:59:59.999,6682838.66,,,True
2022-01-11,69.44,74.99,68.33,73.48,2022-01-11 23:59:59.999,4259230.02,,,True
2022-01-12,73.48,82.97,72.46,81.88,2022-01-12 23:59:59.999,5040378.35,,,True
2022-01-13,81.87,83.86,77.77,78.34,2022-01-13 23:59:59.999,4840737.79,,,True
2022-01-14,78.34,83.06,76.35,81.49,2022-01-14 23:59:59.999,3258489.38,,,True
2022-01-15,81.48,87.9,80.38,87.19,2022-01-15 23:59:59.999,2611522.92,,,True
2022-01-16,87.19,87.59,84.32,87.1,2022-01-16 23:59:59.999,2387141.6,,,True
2022-01-17,87.09,87.23,75.94,77.09,2022-01-17 23:59:59.999,3918824.27,,,True
2022-01-18,77.1,81.39,73.95,80.71,2022-01-18 23:59:59.999,4406118.5,,,True
2022-01-19,80.7,82.08,75.74,81.1,2022-01-19 23:59:59.999,4229941.9,,,True
2022-01-20,81.09,84.95,76.24,77.33,2022-01-20 23:59:59.999,4115722.22,2.45,2.45,True
2022-01-21,77.31,80.83,61.66,64.73,2022-01-21 23:59:59.999,11813040.21,2.45,2.45,True
2022-01-22,64.72,65.98,53.03,62.87,2022-01-22 23:59:59.999,13915696.02,2.45,2.45,True
2022-01-23,62.89,70.44,62.76,69.75,2022-01-23 23:59:59.999,7698221.13,2.45,2.45,True
2022-01-24,69.75,69.81,59.13,66.0,2022-01-24 23:59:59.999,11454255.53,2.45,2.45,True
2022-01-25,65.99,67.2,61.65,62.87,2022-01-25 23:59:59.999,6101561.77,2.45,2.45,True
2022-01-26,62.87,66.76,57.55,58.75,2022-01-26 23:59:59.999,7565436.07,2.45,2.45,True
2022-01-27,58.76,61.7,50.64,54.15,2022-01-27 23:59:59.999,7972043.99,2.45,2.45,True
2022-01-28,54.15,55.62,47.44,50.39,2022-01-28 23:59:59.999,12376951.82,2.45,2.45,True
2022-01-29,50.35,53.68,50.05,50.94,2022-01-29 23:59:59.999,6976347.37,2.45,2.45,True
2022-01-30,50.92,51.42,45.51,46.29,2022-01-30 23:59:59.999,5214306.23,2.45,2.45,True
2022-01-31,46.29,52.62,43.44,52.16,2022-01-31 23:59:59.999,9143537.66,2.45,2.45,True
2022-02-01,52.15,54.2,50.41,52.18,2022-02-01 23:59:59.999,5975648.22,2.45,2.45,True
2022-02-02,52.17,53.45,47.25,47.56,2022-02-02 23:59:59.999,5613387.93,2.45,2.45,True
2022-02-03,47.55,51.5,46.5,51.16,2022-02-03 23:59:59.999,5596942.59,2.45,2.45,True
2022-02-04,51.14,54.06,48.99,53.93,2022-02-04 23:59:59.999,7313927.63,2.45,2.45,True
2022-02-05,53.93,58.15,53.42,55.36,2022-02-05 23:59:59.999,5717585.39,2.45,2.45,True
2022-02-06,55.36,57.21,53.08,56.08,2022-02-06 23:59:59.999,3685761.85,2.45,2.45,True
2022-02-07,56.09,60.64,54.34,59.41,2022-02-07 23:59:59.999,6282786.47,2.45,2.45,True
2022-02-08,59.4,59.89,54.79,57.26,2022-02-08 23:59:59.999,5410233.47,2.45,2.45,True
2022-02-09,57.26,57.96,54.26,57.52,2022-02-09 23:59:59.999,3836282.21,2.45,2.45,True
2022-02-10,57.51,57.58,51.84,52.18,2022-02-10 23:59:59.999,5313652.8,2.45,2.45,True
2022-02-11,52.22,54.8,49.79,50.35,2022-02-11 23:59:59.999,4385944.27,2.45,2.45,True
2022-02-12,50.34,53.68,49.39,52.15,2022-02-12 23:59:59.999,3414907.74,2.45,2.45,True
2022-02-13,52.14,53.77,51.02,51.65,2022-02-13 23:59:59.999,2278930.44,2.45,2.45,True
2022-02-14,51.66,54.6,51.41,53.8,2022-02-14 23:59:59.999,2983010.65,2.45,2.45,True
2022-02-15,53.8,57.1,53.76,56.82,2022-02-15 23:59:59.999,2817207.29,2.45,2.45,True
2022-02-16,56.84,58.28,55.12,56.04,2022-02-16 23:59:59.999,2445821.58,7.5,7.5,True
2022-02-17,56.05,57.16,50.09,50.28,2022-02-17 23:59:59.999,3034057.42,7.5,7.5,True
2022-02-18,50.29,51.85,48.86,50.59,2022-02-18 23:59:59.999,3684907.93,7.5,7.5,True
2022-02-19,50.59,52.87,49.89,50.48,2022-02-19 23:59:59.999,2388301.35,7.5,7.5,True
2022-02-20,50.48,50.7,47.29,49.34,2022-02-20 23:59:59.999,3187659.69,7.5,7.5,True
2022-02-21,49.32,53.95,48.95,50.12,2022-02-21 23:59:59.999,5984234.19,7.5,7.5,True
2022-02-22,50.11,56.05,48.43,54.74,2022-02-22 23:59:59.999,6944791.71,7.5,7.5,True
2022-02-23,54.74,65.21,54.54,59.58,2022-02-23 23:59:59.999,8683554.96,11.75,11.75,True
2022-02-24,59.59,66.07,50.25,65.15,2022-02-24 23:59:59.999,17905166.95,11.75,11.75,True
2022-02-25,65.15,73.83,63.84,73.13,2022-02-25 23:59:59.999,9926669.56,12.705,12.705,True
2022-02-26,73.12,79.6,72.16,78.13,2022-02-26 23:59:59.999,6362000.36,18.095,18.095,True
2022-02-27,78.14,79.0,71.21,72.57,2022-02-27 23:59:59.999,6577089.93,18.095,18.095,True
2022-02-28,72.57,95.38,70.44,91.35,2022-02-28 23:59:59.999,9843336.91,18.095,18.095,True
2022-03-01,91.35,94.96,86.11,89.7,2022-03-01 23:59:59.999,9042288.79,19.51,19.51,True
2022-03-02,89.69,97.29,88.12,92.29,2022-03-02 23:59:59.999,8629130.94,19.965,19.965,True
2022-03-03,92.3,94.26,86.78,90.52,2022-03-03 23:59:59.999,6006618.13,19.965,19.965,True
2022-03-04,90.52,93.51,82.76,83.44,2022-03-04 23:59:59.999,7234521.75,19.965,19.965,True
2022-03-05,83.44,88.63,80.28,87.56,2022-03-05 23:59:59.999,5341807.62,19.965,19.965,True
2022-03-06,87.55,88.38,78.5,79.2,2022-03-06 23:59:59.999,5303792.4,19.965,19.965,True
2022-03-07,79.25,83.9,75.58,77.8,2022-03-07 23:59:59.999,6096450.93,19.965,19.965,True
2022-03-08,77.78,86.97,77.28,85.28,2022-03-08 23:59:59.999,5813319.13,19.965,19.965,True
2022-03-09,85.31,104.83,84.87,99.21,2022-03-09 23:59:59.999,10598816.09,19.965,19.965,True
2022-03-10,99.22,104.59,92.02,101.16,2022-03-10 23:59:59.999,10144007.25,19.965,19.965,True
2022-03-11,101.19,101.78,87.83,88.42,2022-03-11 23:59:59.999,7889590.53,19.965,19.965,True
2022-03-12,88.41,92.54,85.76,86.05,2022-03-12 23:59:59.999,3269128.37,19.965,19.965,True
