open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,5.8424,5.8868,5.8401,5.8708,2022-01-01 00:14:59.999,437721.0,,,True
2022-01-01 00:15:00,5.8703,5.887,5.8563,5.8817,2022-01-01 00:29:59.999,251806.0,,,True
2022-01-01 00:30:00,5.8819,5.9498,5.872,5.9306,2022-01-01 00:44:59.999,811975.0,,,True
2022-01-01 00:45:00,5.9313,5.9979,5.9254,5.9918,2022-01-01 00:59:59.999,879818.0,,,True
2022-01-01 01:00:00,5.9922,5.9943,5.9636,5.9893,2022-01-01 01:14:59.999,373237.0,,,True
2022-01-01 01:15:00,5.9881,6.0074,5.9719,5.9754,2022-01-01 01:29:59.999,529938.0,,,True
2022-01-01 01:30:00,5.9755,5.9939,5.9669,5.9717,2022-01-01 01:44:59.999,267744.0,,,True
2022-01-01 01:45:00,5.9716,5.98,5.952,5.9698,2022-01-01 01:59:59.999,346481.0,,,True
2022-01-01 02:00:00,5.9695,5.9898,5.9651,5.9827,2022-01-01 02:14:59.999,319963.0,,,True
2022-01-01 02:15:00,5.9822,6.016,5.9822,5.9877,2022-01-01 02:29:59.999,358815.0,,,True
2022-01-01 02:30:00,5.9877,5.9877,5.9475,5.959,2022-01-01 02:44:59.999,503630.0,,,True
2022-01-01 02:45:00,5.959,5.9602,5.93,5.9358,2022-01-01 02:59:59.999,767976.0,,,True
2022-01-01 03:00:00,5.9357,5.9408,5.9163,5.9343,2022-01-01 03:14:59.999,377974.0,,,True
2022-01-01 03:15:00,5.9336,5.9609,5.9298,5.9492,2022-01-01 03:29:59.999,273447.0,,,True
2022-01-01 03:30:00,5.9496,5.9675,5.9461,5.9558,2022-01-01 03:44:59.999,223827.0,,,True
2022-01-01 03:45:00,5.9549,5.9679,5.949,5.9543,2022-01-01 03:59:59.999,198814.0,,,True
2022-01-01 04:00:00,5.9548,5.9777,5.9252,5.9269,2022-01-01 04:14:59.999,253889.0,,,True
2022-01-01 04:15:00,5.9252,5.9467,5.9112,5.9363,2022-01-01 04:29:59.999,342594.0,,,True
2022-01-01 04:30:00,5.9367,5.945,5.9212,5.935,2022-01-01 04:44:59.999,235006.0,,,True
2022-01-01 04:45:00,5.9344,5.9574,5.9317,5.934,2022-01-01 04:59:59.999,237394.0,5.58895,5.58895,True
2022-01-01 05:00:00,5.934,5.9479,5.922,5.9458,2022-01-01 05:14:59.999,212109.0,5.58975,5.58975,True
2022-01-01 05:15:00,5.9487,6.0274,5.94,6.0076,2022-01-01 05:29:59.999,656085.0,5.61015,5.61015,True
2022-01-01 05:30:00,6.0072,6.0333,5.9693,5.9769,2022-01-01 05:44:59.999,459625.0,5.63465,5.63465,True
2022-01-01 05:45:00,5.9767,5.985,5.96,5.9659,2022-01-01 05:59:59.999,314166.0,5.63465,5.63465,True
2022-01-01 06:00:00,5.9662,5.9926,5.9584,5.9804,2022-01-01 06:14:59.999,264696.0,5.63465,5.63465,True
2022-01-01 06:15:00,5.9805,5.9819,5.9557,5.9621,2022-01-01 06:29:59.999,177214.0,5.63465,5.63465,True
2022-01-01 06:30:00,5.9621,5.992,5.9587,5.9633,2022-01-01 06:44:59.999,188839.0,5.63465,5.63465,True
2022-01-01 06:45:00,5.9632,5.9718,5.9411,5.9487,2022-01-01 06:59:59.999,290420.0,5.63465,5.63465,True
2022-01-01 07:00:00,5.9485,5.955,5.9263,5.9421,2022-01-01 07:14:59.999,271326.0,5.63465,5.63465,True
2022-01-01 07:15:00,5.9421,5.9475,5.9302,5.934,2022-01-01 07:29:59.999,359391.0,5.63465,5.63465,True
2022-01-01 07:30:00,5.9336,5.9688,5.9331,5.9634,2022-01-01 07:44:59.999,129672.0,5.63465,5.63465,True
