open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,170.01,179.2,169.93,179.06,2022-01-01 23:59:59.999,634599.39,,,True
2022-01-02,179.06,179.53,174.31,176.35,2022-01-02 23:59:59.999,620087.38,,,True
2022-01-03,176.34,176.49,166.59,170.15,2022-01-03 23:59:59.999,1031316.43,,,True
2022-01-04,170.14,173.93,166.47,167.72,2022-01-04 23:59:59.999,1041332.63,,,True
2022-01-05,167.74,171.32,144.92,154.52,2022-01-05 23:59:59.999,1659848.17,,,True
2022-01-06,154.48,154.8,145.98,150.26,2022-01-06 23:59:59.999,1575071.3,,,True
2022-01-07,150.28,150.72,133.08,136.45,2022-01-07 23:59:59.999,2719397.3,,,True
2022-01-08,136.43,148.11,133.0,142.14,2022-01-08 23:59:59.999,2695415.51,,,True
2022-01-09,142.1,145.71,137.83,140.82,2022-01-09 23:59:59.999,1435153.15,,,True
2022-01-10,140.82,143.86,130.0,135.86,2022-01-10 23:59:59.999,1894512.51,,,True
2022-01-11,135.84,143.5,133.58,140.2,2022-01-11 23:59:59.999,1328579.57,,,True
2022-01-12,140.19,153.39,138.22,151.51,2022-01-12 23:59:59.999,1946788.76,,,True
2022-01-13,151.5,157.8,145.41,146.14,2022-01-13 23:59:59.999,1984121.59,,,True
2022-01-14,146.13,150.56,141.84,146.17,2022-01-14 23:59:59.999,1428145.3,,,True
2022-01-15,146.18,149.49,143.9,147.64,2022-01-15 23:59:59.999,865014.75,,,True
2022-01-16,147.61,151.96,146.09,147.98,2022-01-16 23:59:59.999,964270.14,,,True
2022-01-17,147.98,148.29,137.02,139.8,2022-01-17 23:59:59.999,1297654.14,,,True
2022-01-18,139.81,142.77,134.39,141.22,2022-01-18 23:59:59.999,1254337.17,,,True
2022-01-19,141.32,142.7,132.77,135.25,2022-01-19 23:59:59.999,1175171.39,,,True
2022-01-20,135.23,143.83,126.01,127.54,2022-01-20 23:59:59.999,1464593.98,21.61,21.61,True
2022-01-21,127.54,128.73,106.11,112.27,2022-01-21 23:59:59.999,4523020.69,21.61,21.61,True
2022-01-22,112.24,114.89,87.73,94.54,2022-01-22 23:59:59.999,6455608.98,21.61,21.61,True
2022-01-23,94.57,104.82,93.25,99.78,2022-01-23 23:59:59.999,3561751.04,21.61,21.61,True
2022-01-24,99.74,99.83,80.83,91.93,2022-01-24 23:59:59.999,6990036.71,21.61,21.61,True
2022-01-25,91.94,99.95,87.41,94.67,2022-01-25 23:59:59.999,3482711.32,21.61,21.61,True
2022-01-26,94.65,104.43,89.19,92.12,2022-01-26 23:59:59.999,4501340.69,21.61,21.61,True
2022-01-27,92.11,94.6,85.71,89.51,2022-01-27 23:59:59.999,3530017.76,21.61,21.61,True
2022-01-28,89.51,93.55,87.21,91.34,2022-01-28 23:59:59.999,2647317.17,21.61,21.61,True
2022-01-29,91.35,98.93,90.5,96.13,2022-01-29 23:59:59.999,2050891.76,21.61,21.61,True
2022-01-30,96.15,97.6,91.38,93.29,2022-01-30 23:59:59.999,1258037.51,21.61,21.61,True
2022-01-31,93.26,101.4,89.18,99.49,2022-01-31 23:59:59.999,2414101.55,21.61,21.61,True
2022-02-01,99.5,113.66,99.02,110.02,2022-02-01 23:59:59.999,4190507.65,21.61,21.61,True
