open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,4.709,4.956,4.704,4.942,2022-01-01 23:59:59.999,6538253.6,,,True
2022-01-02,4.941,4.947,4.783,4.883,2022-01-02 23:59:59.999,6273552.0,,,True
2022-01-03,4.882,4.883,4.616,4.703,2022-01-03 23:59:59.999,7149579.1,,,True
2022-01-04,4.704,4.95,4.585,4.724,2022-01-04 23:59:59.999,9180817.4,,,True
2022-01-05,4.725,5.244,4.138,4.411,2022-01-05 23:59:59.999,23220583.6,,,True
2022-01-06,4.412,4.448,4.149,4.384,2022-01-06 23:59:59.999,13758007.5,,,True
2022-01-07,4.383,4.402,4.004,4.189,2022-01-07 23:59:59.999,15563076.0,,,True
2022-01-08,4.19,4.34,3.8,3.972,2022-01-08 23:59:59.999,12768000.0,,,True
2022-01-09,3.973,4.146,3.925,4.036,2022-01-09 23:59:59.999,8504243.8,,,True
2022-01-10,4.036,4.128,3.678,3.84,2022-01-10 23:59:59.999,12237788.4,,,True
2022-01-11,3.84,4.161,3.799,4.096,2022-01-11 23:59:59.999,7857056.8,,,True
2022-01-12,4.096,4.364,4.093,4.272,2022-01-12 23:59:59.999,8058006.3,,,True
2022-01-13,4.274,4.296,3.957,3.979,2022-01-13 23:59:59.999,10207566.7,,,True
2022-01-14,3.979,4.15,3.875,4.136,2022-01-14 23:59:59.999,8185141.2,,,True
2022-01-15,4.136,4.159,4.045,4.092,2022-01-15 23:59:59.999,4966242.8,,,True
2022-01-16,4.093,4.295,4.041,4.205,2022-01-16 23:59:59.999,6150340.9,,,True
2022-01-17,4.206,4.221,3.887,3.957,2022-01-17 23:59:59.999,8350453.2,,,True
2022-01-18,3.958,4.252,3.833,4.214,2022-01-18 23:59:59.999,15711005.8,,,True
2022-01-19,4.213,4.479,4.126,4.334,2022-01-19 23:59:59.999,22545956.2,,,True
2022-01-20,4.333,4.665,4.076,4.093,2022-01-20 23:59:59.999,18892912.7,0.6845,0.6845,True
2022-01-21,4.094,4.356,3.28,3.411,2022-01-21 23:59:59.999,37245510.253,0.6845,0.6845,True
2022-01-22,3.409,3.472,2.336,2.758,2022-01-22 23:59:59.999,69853984.647,0.6845,0.6845,True
2022-01-23,2.759,2.941,2.614,2.784,2022-01-23 23:59:59.999,25576634.5,0.6845,0.6845,True
2022-01-24,2.784,2.784,2.274,2.597,2022-01-24 23:59:59.999,36458577.172,0.6845,0.6845,True
