open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01 00:00:00,17.01,17.16,17.0,17.11,2022-01-01 00:14:59.999,18302.96,,,True
2022-01-01 00:15:00,17.1,17.12,17.03,17.04,2022-01-01 00:29:59.999,24345.57,,,True
2022-01-01 00:30:00,17.04,17.22,17.02,17.18,2022-01-01 00:44:59.999,23246.5,,,True
2022-01-01 00:45:00,17.17,17.24,17.15,17.21,2022-01-01 00:59:59.999,20828.25,,,True
2022-01-01 01:00:00,17.2,17.31,17.12,17.31,2022-01-01 01:14:59.999,22238.01,,,True
2022-01-01 01:15:00,17.29,17.37,17.28,17.33,2022-01-01 01:29:59.999,18773.92,,,True
2022-01-01 01:30:00,17.33,17.35,17.3,17.33,2022-01-01 01:44:59.999,8831.59,,,True
2022-01-01 01:45:00,17.33,17.34,17.26,17.27,2022-01-01 01:59:59.999,10040.91,,,True
2022-01-01 02:00:00,17.26,17.34,17.25,17.32,2022-01-01 02:14:59.999,6028.04,,,True
2022-01-01 02:15:00,17.32,17.37,17.32,17.33,2022-01-01 02:29:59.999,3721.12,,,True
2022-01-01 02:30:00,17.33,17.34,17.26,17.28,2022-01-01 02:44:59.999,6497.63,,,True
2022-01-01 02:45:00,17.28,17.32,17.25,17.25,2022-01-01 02:59:59.999,5691.46,,,True
2022-01-01 03:00:00,17.26,17.28,17.21,17.23,2022-01-01 03:14:59.999,5125.32,,,True
2022-01-01 03:15:00,17.23,17.26,17.19,17.19,2022-01-01 03:29:59.999,5663.16,,,True
2022-01-01 03:30:00,17.2,17.23,17.19,17.21,2022-01-01 03:44:59.999,5102.42,,,True
2022-01-01 03:45:00,17.21,17.22,17.15,17.16,2022-01-01 03:59:59.999,6490.39,,,True
2022-01-01 04:00:00,17.16,17.21,17.07,17.09,2022-01-01 04:14:59.999,11503.6,,,True
2022-01-01 04:15:00,17.1,17.15,17.08,17.15,2022-01-01 04:29:59.999,9813.23,,,True
2022-01-01 04:30:00,17.14,17.23,17.14,17.23,2022-01-01 04:44:59.999,7023.38,,,True
2022-01-01 04:45:00,17.23,17.26,17.17,17.19,2022-01-01 04:59:59.999,8847.83,16.275,16.275,True
2022-01-01 05:00:00,17.19,17.23,17.17,17.21,2022-01-01 05:14:59.999,3970.52,16.31,16.31,True
2022-01-01 05:15:00,17.23,17.48,17.19,17.45,2022-01-01 05:29:59.999,30247.52,16.345,16.345,True
2022-01-01 05:30:00,17.46,17.57,17.33,17.38,2022-01-01 05:44:59.999,59130.53,16.44,16.44,True
2022-01-01 05:45:00,17.37,17.37,17.28,17.3,2022-01-01 05:59:59.999,12420.11,16.44,16.44,True
2022-01-01 06:00:00,17.29,17.35,17.27,17.33,2022-01-01 06:14:59.999,5990.65,16.44,16.44,True
2022-01-01 06:15:00,17.32,17.33,17.22,17.24,2022-01-01 06:29:59.999,8564.22,16.44,16.44,True
2022-01-01 06:30:00,17.24,17.26,17.16,17.19,2022-01-01 06:44:59.999,14992.79,16.44,16.44,True
2022-01-01 06:45:00,17.2,17.24,17.11,17.14,2022-01-01 06:59:59.999,14474.41,16.44,16.44,True
2022-01-01 07:00:00,17.14,17.19,17.11,17.15,2022-01-01 07:14:59.999,14198.41,16.44,16.44,True
2022-01-01 07:15:00,17.15,17.18,17.12,17.18,2022-01-01 07:29:59.999,4742.95,16.44,16.44,True
2022-01-01 07:30:00,17.18,17.26,17.15,17.24,2022-01-01 07:44:59.999,5040.2,16.44,16.44,True
2022-01-01 07:45:00,17.25,17.3,17.21,17.26,2022-01-01 07:59:59.999,14172.97,16.44,16.44,True
2022-01-01 08:00:00,17.25,17.27,17.19,17.22,2022-01-01 08:14:59.999,8564.98,16.44,16.44,True
2022-01-01 08:15:00,17.23,17.29,17.22,17.26,2022-01-01 08:29:59.999,7454.11,16.44,16.44,True
2022-01-01 08:30:00,17.26,17.27,17.19,17.22,2022-01-01 08:44:59.999,5650.34,16.44,16.44,True
2022-01-01 08:45:00,17.22,17.24,17.17,17.17,2022-01-01 08:59:59.999,5320.82,16.44,16.44,True
2022-01-01 09:00:00,17.18,17.25,17.15,17.24,2022-01-01 09:14:59.999,12492.86,16.44,16.44,True
2022-01-01 09:15:00,17.24,17.24,17.17,17.19,2022-01-01 09:29:59.999,6511.15,16.44,16.44,True
2022-01-01 09:30:00,17.19,17.2,17.06,17.08,2022-01-01 09:44:59.999,17425.81,16.44,16.44,True
2022-01-01 09:45:00,17.09,17.14,17.06,17.12,2022-01-01 09:59:59.999,5511.95,16.44,16.44,True
2022-01-01 10:00:00,17.12,17.42,17.11,17.21,2022-01-01 10:14:59.999,72924.39,16.44,16.44,True
2022-01-01 10:15:00,17.21,17.22,17.0,17.03,2022-01-01 10:29:59.999,46277.99,16.44,16.44,True
2022-01-01 10:30:00,17.01,17.09,16.79,17.09,2022-01-01 10:44:59.999,139022.42,16.44,16.44,True
2022-01-01 10:45:00,17.09,17.13,17.0,17.02,2022-01-01 10:59:59.999,11952.82,16.44,16.44,True
2022-01-01 11:00:00,17.02,17.09,17.01,17.08,2022-01-01 11:14:59.999,8436.78,16.44,16.44,True
2022-01-01 11:15:00,17.08,17.12,17.03,17.08,2022-01-01 11:29:59.999,8367.51,16.44,16.44,True
2022-01-01 11:30:00,17.07,17.08,17.0,17.06,2022-01-01 11:44:59.999,15583.61,16.44,16.44,True
2022-01-01 11:45:00,17.07,17.08,16.97,16.98,2022-01-01 11:59:59.999,18025.54,16.44,16.44,True
2022-01-01 12:00:00,16.98,17.06,16.98,17.06,2022-01-01 12:14:59.999,10940.43,16.44,16.44,True
2022-01-01 12:15:00,17.06,17.08,17.04,17.05,2022-01-01 12:29:59.999,5721.11,16.44,16.44,True
2022-01-01 12:30:00,17.05,17.11,17.04,17.07,2022-01-01 12:44:59.999,7057.9,16.44,16.44,True
2022-01-01 12:45:00,17.07,17.11,17.06,17.09,2022-01-01 12:59:59.999,4915.34,16.44,16.44,True
