open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,17.01,17.57,16.79,17.48,2022-01-01 23:59:59.999,1236062.74,,,True
2022-01-02,17.48,18.5,17.04,18.4,2022-01-02 23:59:59.999,1239824.76,,,True
2022-01-03,18.39,19.18,17.84,18.46,2022-01-03 23:59:59.999,2377836.01,,,True
2022-01-04,18.47,19.15,17.68,18.21,2022-01-04 23:59:59.999,2349174.13,,,True
2022-01-05,18.21,19.87,16.31,17.11,2022-01-05 23:59:59.999,4464972.53,,,True
2022-01-06,17.12,17.26,16.08,17.06,2022-01-06 23:59:59.999,2682869.44,,,True
2022-01-07,17.07,17.16,15.23,15.76,2022-01-07 23:59:59.999,2769810.35,,,True
2022-01-08,15.77,16.2,14.53,14.92,2022-01-08 23:59:59.999,1535850.86,,,True
2022-01-09,14.93,16.3,14.81,15.8,2022-01-09 23:59:59.999,1329527.16,,,True
2022-01-10,15.8,16.46,14.64,15.11,2022-01-10 23:59:59.999,2523686.14,,,True
2022-01-11,15.12,16.32,14.98,15.96,2022-01-11 23:59:59.999,1710488.91,,,True
2022-01-12,15.97,16.61,15.95,16.28,2022-01-12 23:59:59.999,1250210.31,,,True
2022-01-13,16.29,16.59,15.39,15.45,2022-01-13 23:59:59.999,1407495.12,,,True
2022-01-14,15.46,15.96,15.13,15.86,2022-01-14 23:59:59.999,959028.98,,,True
2022-01-15,15.85,16.72,15.7,16.47,2022-01-15 23:59:59.999,1097913.21,,,True
2022-01-16,16.47,18.19,16.29,17.83,2022-01-16 23:59:59.999,1883856.29,,,True
2022-01-17,17.83,17.96,16.23,16.63,2022-01-17 23:59:59.999,1629800.43,,,True
2022-01-18,16.64,17.72,15.62,15.98,2022-01-18 23:59:59.999,2159779.56,,,True
2022-01-19,15.97,16.23,15.1,15.11,2022-01-19 23:59:59.999,1148456.18,,,True
2022-01-20,15.12,16.19,14.37,14.46,2022-01-20 23:59:59.999,1317288.83,0.065,0.065,True
2022-01-21,14.45,14.67,12.31,12.64,2022-01-21 23:59:59.999,2858141.448,0.065,0.065,True
2022-01-22,12.64,13.01,10.35,11.15,2022-01-22 23:59:59.999,4555381.496,0.065,0.065,True
2022-01-23,11.14,11.93,10.82,11.42,2022-01-23 23:59:59.999,2354356.17,0.065,0.065,True
2022-01-24,11.42,11.43,9.53,10.68,2022-01-24 23:59:59.999,3978296.27,0.065,0.065,True
2022-01-25,10.69,10.94,10.32,10.58,2022-01-25 23:59:59.999,1480467.38,0.065,0.065,True
2022-01-26,10.59,11.77,10.35,10.58,2022-01-26 23:59:59.999,2025241.33,0.065,0.065,True
2022-01-27,10.59,10.92,9.89,10.32,2022-01-27 23:59:59.999,2548189.29,0.065,0.065,True
2022-01-28,10.32,10.74,9.85,10.67,2022-01-28 23:59:59.999,1332611.38,0.065,0.065,True
2022-01-29,10.66,11.24,10.57,11.16,2022-01-29 23:59:59.999,1363190.07,0.065,0.065,True
2022-01-30,11.15,11.45,10.64,10.79,2022-01-30 23:59:59.999,1062723.27,0.065,0.065,True
2022-01-31,10.79,11.9,10.29,11.77,2022-01-31 23:59:59.999,1671188.24,0.065,0.065,True
2022-02-01,11.77,11.87,11.01,11.11,2022-02-01 23:59:59.999,1723172.05,0.065,0.065,True
2022-02-02,11.11,11.36,10.39,10.52,2022-02-02 23:59:59.999,1659977.39,0.065,0.065,True
2022-02-03,10.51,10.59,9.97,10.41,2022-02-03 23:59:59.999,1348397.8,0.065,0.065,True
2022-02-04,10.4,11.5,10.32,11.18,2022-02-04 23:59:59.999,2241922.29,0.065,0.065,True
2022-02-05,11.18,12.04,11.11,11.25,2022-02-05 23:59:59.999,2268387.76,0.065,0.065,True
2022-02-06,11.25,11.73,11.01,11.67,2022-02-06 23:59:59.999,1414908.03,0.065,0.065,True
2022-02-07,11.67,12.6,11.38,12.37,2022-02-07 23:59:59.999,3428495.34,0.065,0.065,True
2022-02-08,12.37,13.0,11.5,11.94,2022-02-08 23:59:59.999,3071005.14,0.065,0.065,True
2022-02-09,11.94,12.65,11.6,12.32,2022-02-09 23:59:59.999,1725896.49,0.065,0.065,True
2022-02-10,12.32,12.35,11.33,11.41,2022-02-10 23:59:59.999,2443921.95,0.445,0.445,True
2022-02-11,11.41,11.66,10.38,10.64,2022-02-11 23:59:59.999,1308177.72,0.445,0.445,True
2022-02-12,10.65,10.98,10.4,10.65,2022-02-12 23:59:59.999,1005286.41,0.445,0.445,True
2022-02-13,10.64,10.86,10.25,10.33,2022-02-13 23:59:59.999,758608.08,0.76,0.76,True
2022-02-14,10.33,10.72,10.1,10.61,2022-02-14 23:59:59.999,861079.98,0.76,0.76,True
2022-02-15,10.61,11.53,10.6,11.47,2022-02-15 23:59:59.999,1419334.1,1.515,1.515,True
2022-02-16,11.47,11.53,10.78,11.22,2022-02-16 23:59:59.999,1491829.1,1.745,1.745,True
2022-02-17,11.23,11.38,10.22,10.4,2022-02-17 23:59:59.999,1492563.74,1.745,1.745,True
2022-02-18,10.41,10.7,10.04,10.16,2022-02-18 23:59:59.999,1370733.24,1.745,1.745,True
2022-02-19,10.16,10.42,9.75,10.03,2022-02-19 23:59:59.999,1056382.64,1.745,1.745,True
2022-02-20,10.02,10.05,9.18,9.35,2022-02-20 23:59:59.999,1500266.051,1.745,1.745,True
2022-02-21,9.35,9.76,8.5,8.53,2022-02-21 23:59:59.999,2516924.768,1.745,1.745,True
2022-02-22,8.52,8.97,8.13,8.86,2022-02-22 23:59:59.999,2363257.731,1.745,1.745,True
2022-02-23,8.87,9.46,8.71,8.74,2022-02-23 23:59:59.999,1870091.15,1.745,1.745,True
2022-02-24,8.74,9.06,7.51,8.82,2022-02-24 23:59:59.999,5800166.655,1.745,1.745,True
2022-02-25,8.82,9.43,8.45,9.25,2022-02-25 23:59:59.999,1958327.84,1.745,1.745,True
2022-02-26,9.25,9.55,8.93,9.05,2022-02-26 23:59:59.999,1434761.9,1.745,1.745,True
2022-02-27,9.06,10.15,8.64,9.77,2022-02-27 23:59:59.999,5227479.72,1.745,1.745,True
2022-02-28,9.78,10.55,9.36,10.53,2022-02-28 23:59:59.999,4566984.09,1.745,1.745,True
2022-03-01,10.54,10.83,10.02,10.35,2022-03-01 23:59:59.999,3684418.62,1.745,1.745,True
2022-03-02,10.36,10.59,9.95,10.04,2022-03-02 23:59:59.999,2734874.01,1.745,1.745,True
2022-03-03,10.05,10.12,9.42,9.55,2022-03-03 23:59:59.999,1792211.69,1.745,1.745,True
2022-03-04,9.56,9.57,8.65,8.8,2022-03-04 23:59:59.999,2100224.3,1.745,1.745,True
2022-03-05,8.8,9.14,8.66,9.01,2022-03-05 23:59:59.999,1293852.52,1.745,1.745,True
2022-03-06,9.02,9.08,8.44,8.48,2022-03-06 23:59:59.999,1828590.34,1.745,1.745,True
2022-03-07,8.48,8.8,8.1,8.3,2022-03-07 23:59:59.999,2469944.16,1.745,1.745,True
2022-03-08,8.31,8.87,8.24,8.81,2022-03-08 23:59:59.999,2274200.81,1.745,1.745,True
2022-03-09,8.82,9.46,8.74,9.21,2022-03-09 23:59:59.999,2637766.42,1.745,1.745,True
2022-03-10,9.22,9.3,8.49,8.68,2022-03-10 23:59:59.999,2081355.46,1.745,1.745,True
2022-03-11,8.68,9.05,8.36,8.51,2022-03-11 23:59:59.999,2280471.78,1.745,1.745,True
2022-03-12,8.51,8.87,8.44,8.46,2022-03-12 23:59:59.999,1336697.32,1.745,1.745,True
