open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,0.2665,0.2771,0.266,0.2765,2022-01-01 23:59:59.999,55085186.0,,,True
2022-01-02,0.2767,0.2923,0.2755,0.2921,2022-01-02 23:59:59.999,70471416.0,,,True
2022-01-03,0.292,0.2976,0.2854,0.2902,2022-01-03 23:59:59.999,101089932.0,,,True
2022-01-04,0.2904,0.2913,0.2784,0.2791,2022-01-04 23:59:59.999,79908609.0,,,True
2022-01-05,0.2793,0.295,0.2543,0.2661,2022-01-05 23:59:59.999,128664074.0,,,True
2022-01-06,0.2662,0.2724,0.258,0.2676,2022-01-06 23:59:59.999,100323451.0,,,True
2022-01-07,0.2675,0.2684,0.251,0.2569,2022-01-07 23:59:59.999,108784242.0,,,True
2022-01-08,0.2571,0.2646,0.2466,0.255,2022-01-08 23:59:59.999,85233125.0,,,True
2022-01-09,0.2551,0.264,0.2529,0.2609,2022-01-09 23:59:59.999,59541431.0,,,True
2022-01-10,0.261,0.2641,0.2349,0.2529,2022-01-10 23:59:59.999,112088262.0,,,True
2022-01-11,0.2528,0.2636,0.248,0.263,2022-01-11 23:59:59.999,68869759.0,,,True
2022-01-12,0.263,0.2917,0.2628,0.2822,2022-01-12 23:59:59.999,150003817.0,,,True
2022-01-13,0.2823,0.2901,0.2685,0.2693,2022-01-13 23:59:59.999,100679548.0,,,True
2022-01-14,0.2692,0.2863,0.2614,0.2644,2022-01-14 23:59:59.999,154090982.0,,,True
2022-01-15,0.2644,0.2697,0.2559,0.2588,2022-01-15 23:59:59.999,131814740.0,,,True
2022-01-16,0.259,0.2625,0.2543,0.2589,2022-01-16 23:59:59.999,63917652.0,,,True
2022-01-17,0.2588,0.2598,0.2497,0.2559,2022-01-17 23:59:59.999,67572565.0,,,True
2022-01-18,0.256,0.2576,0.2487,0.2541,2022-01-18 23:59:59.999,80656534.0,,,True
2022-01-19,0.254,0.2558,0.2434,0.2454,2022-01-19 23:59:59.999,67306243.0,,,True
