open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,4.341,4.784,4.338,4.746,2022-01-01 23:59:59.999,8479661.4,,,True
2022-01-02,4.747,4.787,4.583,4.654,2022-01-02 23:59:59.999,3501746.0,,,True
2022-01-03,4.654,5.045,4.513,4.803,2022-01-03 23:59:59.999,9831425.7,,,True
2022-01-04,4.804,5.365,4.581,5.043,2022-01-04 23:59:59.999,19157201.2,,,True
2022-01-05,5.044,5.305,4.276,4.509,2022-01-05 23:59:59.999,13471583.4,,,True
2022-01-06,4.507,4.545,4.214,4.452,2022-01-06 23:59:59.999,9656885.8,,,True
2022-01-07,4.455,4.485,4.05,4.253,2022-01-07 23:59:59.999,7526890.4,,,True
2022-01-08,4.26,4.371,3.859,4.005,2022-01-08 23:59:59.999,5133283.7,,,True
2022-01-09,4.006,4.346,3.968,4.217,2022-01-09 23:59:59.999,4970468.7,,,True
2022-01-10,4.215,4.264,3.782,4.026,2022-01-10 23:59:59.999,5556379.3,,,True
2022-01-11,4.027,4.224,3.936,4.168,2022-01-11 23:59:59.999,3526449.3,,,True
2022-01-12,4.168,4.461,4.146,4.383,2022-01-12 23:59:59.999,5728197.0,,,True
2022-01-13,4.39,4.424,4.091,4.12,2022-01-13 23:59:59.999,4485916.0,,,True
2022-01-14,4.119,4.319,4.074,4.287,2022-01-14 23:59:59.999,2880680.3,,,True
2022-01-15,4.289,4.361,4.226,4.277,2022-01-15 23:59:59.999,2369667.3,,,True
2022-01-16,4.274,4.343,4.195,4.29,2022-01-16 23:59:59.999,2184902.2,,,True
2022-01-17,4.288,4.313,3.994,4.05,2022-01-17 23:59:59.999,2444311.2,,,True
2022-01-18,4.052,4.21,3.925,4.112,2022-01-18 23:59:59.999,4303191.7,,,True
2022-01-19,4.112,4.143,3.807,3.878,2022-01-19 23:59:59.999,4202824.9,,,True
2022-01-20,3.876,4.085,3.678,3.702,2022-01-20 23:59:59.999,3173761.4,-0.0905,-0.0905,True
2022-01-21,3.702,3.77,3.258,3.335,2022-01-21 23:59:59.999,9546749.9,-0.0905,-0.0905,True
2022-01-22,3.334,3.436,2.697,2.958,2022-01-22 23:59:59.999,9362771.72,-0.0905,-0.0905,True
2022-01-23,2.953,3.159,2.836,3.079,2022-01-23 23:59:59.999,4255344.8,-0.0905,-0.0905,True
2022-01-24,3.079,3.08,2.539,2.968,2022-01-24 23:59:59.999,7196637.86,-0.0905,-0.0905,True
2022-01-25,2.971,3.019,2.841,2.92,2022-01-25 23:59:59.999,4356762.9,-0.0905,-0.0905,True
2022-01-26,2.922,3.229,2.853,2.948,2022-01-26 23:59:59.999,4396701.2,-0.0905,-0.0905,True
2022-01-27,2.945,3.054,2.736,2.904,2022-01-27 23:59:59.999,3618839.4,-0.0905,-0.0905,True
2022-01-28,2.906,3.047,2.83,3.026,2022-01-28 23:59:59.999,3668043.7,-0.0905,-0.0905,True
2022-01-29,3.027,3.136,3.004,3.094,2022-01-29 23:59:59.999,2315822.8,-0.0905,-0.0905,True
2022-01-30,3.094,3.505,3.088,3.27,2022-01-30 23:59:59.999,7549789.0,0.0145,0.0145,True
2022-01-31,3.27,3.53,3.098,3.488,2022-01-31 23:59:59.999,5897089.2,0.0145,0.0145,True
2022-02-01,3.488,3.769,3.474,3.74,2022-02-01 23:59:59.999,5710100.1,0.2775,0.2775,True
2022-02-02,3.739,3.9,3.57,3.751,2022-02-02 23:59:59.999,11277713.0,0.3925,0.3925,True
2022-02-03,3.754,3.972,3.607,3.838,2022-02-03 23:59:59.999,11357951.9,0.3925,0.3925,True
2022-02-04,3.835,4.032,3.673,4.011,2022-02-04 23:59:59.999,7506024.4,0.3925,0.3925,True
2022-02-05,4.009,4.08,3.856,3.933,2022-02-05 23:59:59.999,5256336.6,0.4155,0.4155,True
2022-02-06,3.934,3.999,3.768,3.922,2022-02-06 23:59:59.999,4378283.4,0.4155,0.4155,True
2022-02-07,3.924,4.194,3.835,4.144,2022-02-07 23:59:59.999,5489045.2,0.469,0.469,True
2022-02-08,4.144,4.46,4.003,4.394,2022-02-08 23:59:59.999,11811170.1,0.6255,0.6255,True
2022-02-09,4.396,4.606,4.322,4.441,2022-02-09 23:59:59.999,8846617.0,0.9195,0.9195,True
2022-02-10,4.438,4.58,4.105,4.12,2022-02-10 23:59:59.999,9091162.4,0.9195,0.9195,True
2022-02-11,4.12,4.468,4.017,4.307,2022-02-11 23:59:59.999,9095067.4,0.9195,0.9195,True
2022-02-12,4.305,4.431,4.045,4.108,2022-02-12 23:59:59.999,8172179.5,0.9195,0.9195,True
2022-02-13,4.107,4.13,3.813,3.847,2022-02-13 23:59:59.999,2753043.5,0.9195,0.9195,True
2022-02-14,3.847,3.998,3.732,3.944,2022-02-14 23:59:59.999,3379738.8,0.9195,0.9195,True
2022-02-15,3.944,4.188,3.898,4.15,2022-02-15 23:59:59.999,3178835.2,0.9195,0.9195,True
2022-02-16,4.15,4.192,3.945,4.042,2022-02-16 23:59:59.999,3029680.4,0.9195,0.9195,True
2022-02-17,4.042,4.055,3.614,3.673,2022-02-17 23:59:59.999,4329456.6,0.9195,0.9195,True
2022-02-18,3.672,3.862,3.588,3.622,2022-02-18 23:59:59.999,3568824.2,0.9195,0.9195,True
2022-02-19,3.621,3.699,3.472,3.6,2022-02-19 23:59:59.999,2691956.8,0.9195,0.9195,True
2022-02-20,3.601,3.604,3.218,3.27,2022-02-20 23:59:59.999,4335365.2,0.9195,0.9195,True
2022-02-21,3.27,3.475,2.943,2.971,2022-02-21 23:59:59.999,7941883.3,0.9195,0.9195,True
2022-02-22,2.972,3.078,2.815,3.065,2022-02-22 23:59:59.999,10809216.5,0.9195,0.9195,True
2022-02-23,3.065,3.226,2.928,2.935,2022-02-23 23:59:59.999,6445969.2,0.9195,0.9195,True
2022-02-24,2.937,3.072,2.56,3.032,2022-02-24 23:59:59.999,13725765.0,0.9195,0.9195,True
2022-02-25,3.032,3.255,2.959,3.21,2022-02-25 23:59:59.999,6790056.9,0.9195,0.9195,True
2022-02-26,3.21,3.49,3.198,3.427,2022-02-26 23:59:59.999,6094442.4,0.9195,0.9195,True
2022-02-27,3.427,3.452,3.055,3.114,2022-02-27 23:59:59.999,6217967.8,0.9195,0.9195,True
2022-02-28,3.114,3.566,3.036,3.535,2022-02-28 23:59:59.999,5683679.3,0.9195,0.9195,True
2022-03-01,3.535,3.668,3.422,3.494,2022-03-01 23:59:59.999,4375349.7,0.9195,0.9195,True
2022-03-02,3.496,3.65,3.37,3.492,2022-03-02 23:59:59.999,4801827.4,0.9195,0.9195,True
2022-03-03,3.493,3.522,3.301,3.393,2022-03-03 23:59:59.999,3040303.5,0.9195,0.9195,True
2022-03-04,3.391,3.401,3.04,3.082,2022-03-04 23:59:59.999,3489185.5,0.9195,0.9195,True
2022-03-05,3.081,3.167,2.976,3.146,2022-03-05 23:59:59.999,2469771.0,0.9195,0.9195,True
2022-03-06,3.146,3.176,2.96,2.973,2022-03-06 23:59:59.999,2190627.4,0.9195,0.9195,True
2022-03-07,2.973,3.078,2.839,2.92,2022-03-07 23:59:59.999,4636404.0,0.9195,0.9195,True
2022-03-08,2.92,3.043,2.906,3.01,2022-03-08 23:59:59.999,3110985.1,0.9195,0.9195,True
2022-03-09,3.01,3.19,3.008,3.174,2022-03-09 23:59:59.999,2746015.2,0.9195,0.9195,True
2022-03-10,3.174,3.242,2.956,3.053,2022-03-10 23:59:59.999,3590455.9,0.9195,0.9195,True
2022-03-11,3.053,3.109,2.959,2.985,2022-03-11 23:59:59.999,2875080.0,0.9195,0.9195,True
2022-03-12,2.985,3.083,2.981,3.024,2022-03-12 23:59:59.999,1656113.2,0.9195,0.9195,True
2022-03-13,3.024,3.084,2.904,2.905,2022-03-13 23:59:59.999,1748364.4,0.9195,0.9195,True
2022-03-14,2.906,3.017,2.857,2.997,2022-03-14 23:59:59.999,2281548.2,0.9195,0.9195,True
2022-03-15,2.995,3.012,2.882,2.969,2022-03-15 23:59:59.999,2233416.9,0.9195,0.9195,True
2022-03-16,2.969,3.105,2.922,3.099,2022-03-16 23:59:59.999,4380211.0,0.9195,0.9195,True
2022-03-17,3.098,3.156,3.063,3.081,2022-03-17 23:59:59.999,2314243.2,0.9195,0.9195,True
2022-03-18,3.081,3.174,3.016,3.151,2022-03-18 23:59:59.999,2750014.3,0.9195,0.9195,True
2022-03-19,3.151,3.293,3.15,3.259,2022-03-19 23:59:59.999,2683435.2,1.1275,1.1275,True
2022-03-20,3.258,3.433,3.203,3.335,2022-03-20 23:59:59.999,6172047.6,1.374,1.374,True
2022-03-21,3.334,3.338,3.193,3.239,2022-03-21 23:59:59.999,3274820.7,1.374,1.374,True
2022-03-22,3.239,3.391,3.223,3.3,2022-03-22 23:59:59.999,3760063.9,1.4695,1.4695,True
2022-03-23,3.299,3.57,3.292,3.456,2022-03-23 23:59:59.999,5256448.4,1.565,1.565,True
2022-03-24,3.456,3.569,3.413,3.534,2022-03-24 23:59:59.999,3149479.6,1.7275,1.7275,True
2022-03-25,3.534,3.585,3.432,3.515,2022-03-25 23:59:59.999,3331678.5,1.764,1.764,True
2022-03-26,3.514,3.789,3.478,3.658,2022-03-26 23:59:59.999,4950399.0,1.8415,1.8415,True
2022-03-27,3.658,3.866,3.636,3.862,2022-03-27 23:59:59.999,3526877.8,1.9635,1.9635,True
2022-03-28,3.861,3.985,3.68,3.714,2022-03-28 23:59:59.999,4405030.1,1.9635,1.9635,True
2022-03-29,3.713,3.927,3.7,3.793,2022-03-29 23:59:59.999,4472232.5,1.9635,1.9635,True
2022-03-30,3.792,3.883,3.651,3.832,2022-03-30 23:59:59.999,3637426.9,1.9635,1.9635,True
2022-03-31,3.832,4.025,3.66,3.722,2022-03-31 23:59:59.999,7414861.2,1.9635,1.9635,True
2022-04-01,3.722,3.98,3.54,3.904,2022-04-01 23:59:59.999,5319246.5,1.9635,1.9635,True
2022-04-02,3.904,4.133,3.884,3.914,2022-04-02 23:59:59.999,5857894.3,1.9635,1.9635,True
2022-04-03,3.915,4.067,3.885,4.042,2022-04-03 23:59:59.999,3525949.3,1.9635,1.9635,True
2022-04-04,4.041,4.042,3.715,3.898,2022-04-04 23:59:59.999,3340828.0,1.9635,1.9635,True
2022-04-05,3.898,3.93,3.656,3.674,2022-04-05 23:59:59.999,2827962.7,1.9635,1.9635,True
2022-04-06,3.674,3.674,3.234,3.288,2022-04-06 23:59:59.999,4376194.9,1.9635,1.9635,True
2022-04-07,3.287,3.431,3.238,3.387,2022-04-07 23:59:59.999,2643621.2,1.9635,1.9635,True
