open_time,open,high,low,close,close_time,volume,BLB,BUB,isUpTrend
2022-01-01,146.5,151.0,145.6,150.3,2022-01-01 23:59:59.999,84406.953,,,True
2022-01-02,150.3,155.6,147.2,153.0,2022-01-02 23:59:59.999,113366.198,,,True
2022-01-03,153.0,154.2,146.8,150.5,2022-01-03 23:59:59.999,82365.793,,,True
2022-01-04,150.5,156.2,147.2,147.3,2022-01-04 23:59:59.999,172926.138,,,True
2022-01-05,147.3,151.3,127.5,136.8,2022-01-05 23:59:59.999,250219.675,,,True
2022-01-06,136.9,138.8,129.7,137.4,2022-01-06 23:59:59.999,280815.018,,,True
2022-01-07,137.3,143.5,130.6,139.6,2022-01-07 23:59:59.999,446165.964,,,True
2022-01-08,139.6,156.1,136.0,143.6,2022-01-08 23:59:59.999,497296.566,,,True
2022-01-09,143.5,147.0,133.3,144.1,2022-01-09 23:59:59.999,447964.64,,,True
2022-01-10,144.2,148.9,136.3,141.3,2022-01-10 23:59:59.999,478153.144,,,True
2022-01-11,141.3,145.6,137.8,141.3,2022-01-11 23:59:59.999,250264.331,,,True
2022-01-12,141.3,147.8,140.7,144.5,2022-01-12 23:59:59.999,184369.802,,,True
2022-01-13,144.4,149.9,140.5,143.3,2022-01-13 23:59:59.999,229378.042,,,True
2022-01-14,143.2,144.9,136.7,142.4,2022-01-14 23:59:59.999,201280.793,,,True
2022-01-15,142.5,146.7,141.0,144.4,2022-01-15 23:59:59.999,120500.258,,,True
2022-01-16,144.4,145.9,140.2,141.2,2022-01-16 23:59:59.999,71880.783,,,True
2022-01-17,141.2,143.0,134.6,138.9,2022-01-17 23:59:59.999,139791.217,,,True
2022-01-18,138.8,140.7,128.5,131.8,2022-01-18 23:59:59.999,204500.722,,,True
2022-01-19,131.7,132.3,125.6,125.9,2022-01-19 23:59:59.999,168679.521,,,True
2022-01-20,125.8,131.9,118.7,118.8,2022-01-20 23:59:59.999,197818.901,21.9,21.9,True
2022-01-21,118.8,120.5,100.2,102.3,2022-01-21 23:59:59.999,403601.323,21.9,21.9,True
2022-01-22,102.2,104.5,82.8,94.6,2022-01-22 23:59:59.999,583258.53642,21.9,21.9,True
2022-01-23,94.5,98.1,90.7,97.5,2022-01-23 23:59:59.999,242882.344,21.9,21.9,True
2022-01-24,97.4,97.9,81.4,94.4,2022-01-24 23:59:59.999,407214.07575,21.9,21.9,True
2022-01-25,94.4,96.6,88.9,90.3,2022-01-25 23:59:59.999,261013.712,21.9,21.9,True
2022-01-26,90.4,100.3,86.4,89.8,2022-01-26 23:59:59.999,368688.616,21.9,21.9,True
2022-01-27,89.8,90.6,82.5,88.7,2022-01-27 23:59:59.999,272315.641,21.9,21.9,True
2022-01-28,88.8,91.8,86.2,91.2,2022-01-28 23:59:59.999,180751.086,21.9,21.9,True
2022-01-29,91.2,97.1,90.6,96.3,2022-01-29 23:59:59.999,169779.932,21.9,21.9,True
2022-01-30,96.2,98.0,91.4,93.1,2022-01-30 23:59:59.999,121625.621,21.9,21.9,True
2022-01-31,93.0,94.9,88.2,94.5,2022-01-31 23:59:59.999,118543.862,21.9,21.9,True
2022-02-01,94.5,99.7,94.0,98.9,2022-02-01 23:59:59.999,107061.597,21.9,21.9,True
2022-02-02,98.9,103.8,97.4,98.3,2022-02-02 23:59:59.999,211910.404,21.9,21.9,True
2022-02-03,98.3,102.3,94.9,100.9,2022-02-03 23:59:59.999,214374.847,21.9,21.9,True
2022-02-04,100.8,107.6,99.5,107.1,2022-02-04 23:59:59.999,164853.269,21.9,21.9,True
2022-02-05,107.1,122.9,106.1,116.0,2022-02-05 23:59:59.999,295072.577,21.9,21.9,True
2022-02-06,115.9,126.1,115.9,124.3,2022-02-06 23:59:59.999,235861.597,21.9,21.9,True
