number,id,type,size,opendate,openprice,closeprice,closedate,isclosed,closetype,p/l,AccPL,qty,executions
1.0,DOTUSDT-2022-01-03 03:35:00,Sell,1000.0,2022-01-03 03:35:00,28.87,29.17,2022-01-03 09:54:59.999000,True,sl,-11.89,-11.89,34.638,open->sl
2.0,DOTUSDT-2022-01-03 11:00:00,Buy,1000.0,2022-01-03 11:00:00,29.7,30.1,2022-01-03 11:28:59.999000,True,tp,11.97,0.08,33.67,open->tp
3.0,DOTUSDT-2022-01-04 23:10:00,Sell,1000.0,2022-01-04 23:10:00,28.91,28.6,2022-01-05 00:04:59.999000,True,tp,9.22,9.3,34.59,open->tp
4.0,DOTUSDT-2022-01-05 06:50:00,Buy,1000.0,2022-01-05 06:50:00,29.9,29.6,2022-01-05 08:01:59.999000,True,sl,-11.53,-2.23,33.445,open->sl
5.0,DOTUSDT-2022-01-05 18:00:00,Sell,1000.0,2022-01-05 18:00:00,28.88,29.25,2022-01-05 18:31:59.999000,True,sl,-14.31,-16.54,34.626,open->sl
6.0,DOTUSDT-2022-01-06 19:25:00,Buy,1000.0,2022-01-06 19:25:00,27.27,26.96,2022-01-06 20:16:59.999000,True,sl,-12.87,-29.41,36.67,open->sl
7.0,DOTUSDT-2022-01-07 03:20:00,Sell,1000.0,2022-01-07 03:20:00,25.65,25.33,2022-01-07 03:38:59.999000,True,tp,10.98,-18.43,38.986,open->tp
8.0,DOTUSDT-2022-01-09 16:50:00,Buy,1000.0,2022-01-09 16:50:00,24.9,25.15,2022-01-09 17:00:59.999000,True,tp,8.54,-9.89,40.161,open->tp
9.0,DOTUSDT-2022-01-10 12:00:00,Sell,1000.0,2022-01-10 12:00:00,24.21,23.94,2022-01-10 12:44:59.999000,True,tp,9.65,-0.24,41.305,open->tp
10.0,DOTUSDT-2022-01-11 12:45:00,Buy,1000.0,2022-01-11 12:45:00,24.49,24.23,2022-01-11 13:37:59.999000,True,sl,-12.12,-12.36,40.833,open->sl
11.0,DOTUSDT-2022-01-13 03:10:00,Sell,1000.0,2022-01-13 03:10:00,26.57,26.84,2022-01-13 04:18:59.999000,True,sl,-11.66,-24.02,37.636,open->sl
12.0,DOTUSDT-2022-01-13 14:35:00,Buy,1000.0,2022-01-13 14:35:00,27.48,27.17,2022-01-13 14:47:59.999000,True,sl,-12.78,-36.8,36.39,open->sl
13.0,DOTUSDT-2022-01-13 15:30:00,Sell,1000.0,2022-01-13 15:30:00,26.2,26.47,2022-01-13 15:41:59.999000,True,sl,-11.81,-48.61,38.168,open->sl
14.0,DOTUSDT-2022-01-14 01:35:00,Buy,1000.0,2022-01-14 01:35:00,26.87,27.15,2022-01-14 02:28:59.999000,True,tp,8.92,-39.69,37.216,open->tp
15.0,DOTUSDT-2022-01-14 10:50:00,Sell,1000.0,2022-01-14 10:50:00,26.3,26.57,2022-01-14 12:45:59.999000,True,sl,-11.77,-51.46,38.023,open->sl
16.0,DOTUSDT-2022-01-14 22:50:00,Buy,1000.0,2022-01-14 22:50:00,27.69,27.4,2022-01-15 00:41:59.999000,True,sl,-11.97,-63.43,36.114,open->sl
17.0,DOTUSDT-2022-01-16 13:25:00,Sell,1000.0,2022-01-16 13:25:00,27.41,27.69,2022-01-16 14:00:59.999000,True,sl,-11.72,-75.15,36.483,open->sl
18.0,DOTUSDT-2022-01-20 13:45:00,Buy,1000.0,2022-01-20 13:45:00,24.88,25.15,2022-01-20 14:33:59.999000,True,tp,9.35,-65.8,40.193,open->tp
19.0,DOTUSDT-2022-01-20 21:10:00,Sell,1000.0,2022-01-20 21:10:00,24.52,24.27,2022-01-20 21:26:59.999000,True,tp,8.7,-57.1,40.783,open->tp
20.0,DOTUSDT-2022-01-24 18:15:00,Buy,1000.0,2022-01-24 18:15:00,17.76,17.57,2022-01-24 18:22:59.999000,True,sl,-12.2,-69.3,56.306,open->sl
21.0,DOTUSDT-2022-01-26 20:15:00,Sell,1000.0,2022-01-26 20:15:00,18.28,18.52,2022-01-26 20:29:59.999000,True,sl,-14.63,-83.93,54.705,open->sl
22.0,DOTUSDT-2022-01-27 13:45:00,Buy,1000.0,2022-01-27 13:45:00,18.14,18.42,2022-01-27 14:33:59.999000,True,tp,13.94,-69.99,55.127,open->tp
23.0,DOTUSDT-2022-01-27 21:10:00,Sell,1000.0,2022-01-27 21:10:00,17.29,17.48,2022-01-27 21:24:59.999000,True,sl,-12.49,-82.48,57.837,open->sl
24.0,DOTUSDT-2022-01-28 21:15:00,Buy,1000.0,2022-01-28 21:15:00,18.4,18.2,2022-01-28 22:54:59.999000,True,sl,-12.37,-94.85,54.348,open->sl
25.0,DOTUSDT-2022-01-30 14:20:00,Sell,1000.0,2022-01-30 14:20:00,18.37,18.58,2022-01-30 16:08:59.999000,True,sl,-12.93,-107.78,54.437,open->sl
26.0,DOTUSDT-2022-01-31 14:10:00,Buy,1000.0,2022-01-31 14:10:00,17.86,18.11,2022-01-31 15:00:59.999000,True,tp,12.5,-95.28,55.991,open->tp
27.0,DOTUSDT-2022-02-02 14:40:00,Sell,1000.0,2022-02-02 14:40:00,19.67,19.44,2022-02-02 15:33:59.999000,True,tp,10.19,-85.09,50.839,open->tp
28.0,DOTUSDT-2022-02-04 03:15:00,Buy,1000.0,2022-02-04 03:15:00,18.95,18.76,2022-02-04 04:08:59.999000,True,sl,-11.53,-96.62,52.77,open->sl
29.0,DOTUSDT-2022-02-05 17:00:00,Sell,1000.0,2022-02-05 17:00:00,21.13,21.38,2022-02-05 17:33:59.999000,True,sl,-13.33,-109.95,47.326,open->sl
30.0,DOTUSDT-2022-02-06 02:05:00,Buy,1000.0,2022-02-06 02:05:00,21.88,21.65,2022-02-06 02:33:59.999000,True,sl,-12.01,-121.96,45.704,open->sl
31.0,DOTUSDT-2022-02-06 14:45:00,Sell,1000.0,2022-02-06 14:45:00,21.09,21.3,2022-02-06 17:10:59.999000,True,sl,-11.46,-133.42,47.416,open->sl
32.0,DOTUSDT-2022-02-06 23:20:00,Buy,1000.0,2022-02-06 23:20:00,21.64,21.87,2022-02-06 23:43:59.999000,True,tp,9.13,-124.29,46.211,open->tp
33.0,DOTUSDT-2022-02-08 08:10:00,Sell,1000.0,2022-02-08 08:10:00,22.07,21.79,2022-02-08 08:42:59.999000,True,tp,11.19,-113.1,45.31,open->tp
34.0,DOTUSDT-2022-02-09 12:35:00,Buy,1000.0,2022-02-09 12:35:00,21.9,22.14,2022-02-09 13:10:59.999000,True,tp,9.46,-103.64,45.662,open->tp
35.0,DOTUSDT-2022-02-10 03:00:00,Sell,1000.0,2022-02-10 03:00:00,21.55,21.78,2022-02-10 08:00:59.999000,True,sl,-12.17,-115.81,46.404,open->sl
36.0,DOTUSDT-2022-02-10 10:20:00,Buy,1000.0,2022-02-10 10:20:00,22.19,22.48,2022-02-10 11:33:59.999000,True,tp,11.57,-104.24,45.065,open->tp
37.0,DOTUSDT-2022-02-10 13:30:00,Sell,1000.0,2022-02-10 13:30:00,21.24,20.91,2022-02-10 14:02:59.999000,True,tp,14.04,-90.2,47.081,open->tp
38.0,DOTUSDT-2022-02-12 18:10:00,Buy,1000.0,2022-02-12 18:10:00,19.38,19.16,2022-02-12 18:43:59.999000,True,sl,-12.85,-103.05,51.6,open->sl
39.0,DOTUSDT-2022-02-13 18:40:00,Sell,1000.0,2022-02-13 18:40:00,18.59,18.8,2022-02-13 20:27:59.999000,True,sl,-12.8,-115.85,53.792,open->sl
40.0,DOTUSDT-2022-02-14 13:00:00,Buy,1000.0,2022-02-14 13:00:00,18.7,18.9,2022-02-14 14:25:59.999000,True,tp,9.2,-106.65,53.476,open->tp
41.0,DOTUSDT-2022-02-16 04:25:00,Sell,1000.0,2022-02-16 04:25:00,19.43,19.66,2022-02-16 05:08:59.999000,True,sl,-13.34,-119.99,51.467,open->sl
42.0,DOTUSDT-2022-02-16 19:20:00,Buy,1000.0,2022-02-16 19:20:00,19.85,20.09,2022-02-16 19:46:59.999000,True,tp,10.59,-109.4,50.378,open->tp
43.0,DOTUSDT-2022-02-17 04:00:00,Sell,1000.0,2022-02-17 04:00:00,19.2,19.41,2022-02-17 04:37:59.999000,True,sl,-12.44,-121.84,52.083,open->sl
44.0,DOTUSDT-2022-02-21 01:05:00,Buy,1000.0,2022-02-21 01:05:00,17.36,17.54,2022-02-21 05:26:59.999000,True,tp,8.87,-112.97,57.604,open->tp
45.0,DOTUSDT-2022-02-21 10:35:00,Sell,1000.0,2022-02-21 10:35:00,17.1,16.89,2022-02-21 11:39:59.999000,True,tp,10.78,-102.19,58.48,open->tp
46.0,DOTUSDT-2022-02-22 15:25:00,Buy,1000.0,2022-02-22 15:25:00,16.68,16.5,2022-02-22 15:43:59.999000,True,sl,-12.29,-114.48,59.952,open->sl
47.0,DOTUSDT-2022-02-23 18:05:00,Sell,1000.0,2022-02-23 18:05:00,16.75,16.55,2022-02-23 18:34:59.999000,True,tp,10.44,-104.04,59.701,open->tp
48.0,DOTUSDT-2022-02-24 14:45:00,Buy,1000.0,2022-02-24 14:45:00,15.25,15.42,2022-02-24 14:51:59.999000,True,tp,9.65,-94.39,65.574,open->tp
49.0,DOTUSDT-2022-02-26 23:40:00,Sell,1000.0,2022-02-26 23:40:00,17.85,18.03,2022-02-27 00:14:59.999000,True,sl,-11.58,-105.97,56.022,open->sl
50.0,DOTUSDT-2022-02-27 10:25:00,Buy,1000.0,2022-02-27 10:25:00,18.41,18.67,2022-02-27 12:53:59.999000,True,tp,12.62,-93.35,54.318,open->tp
51.0,DOTUSDT-2022-02-27 19:20:00,Sell,1000.0,2022-02-27 19:20:00,17.72,17.52,2022-02-27 19:51:59.999000,True,tp,9.79,-83.56,56.433,open->tp
52.0,DOTUSDT-2022-02-28 14:55:00,Buy,1000.0,2022-02-28 14:55:00,17.54,17.35,2022-02-28 15:01:59.999000,True,sl,-12.33,-95.89,57.013,open->sl
53.0,DOTUSDT-2022-03-03 01:45:00,Sell,1000.0,2022-03-03 01:45:00,18.29,18.49,2022-03-03 13:09:59.999000,True,sl,-12.43,-108.32,54.675,open->sl
54.0,DOTUSDT-2022-03-05 11:15:00,Buy,1000.0,2022-03-05 11:15:00,17.02,17.23,2022-03-05 11:26:59.999000,True,tp,10.84,-97.48,58.754,open->tp
55.0,DOTUSDT-2022-03-06 03:35:00,Sell,1000.0,2022-03-06 03:35:00,16.92,17.09,2022-03-06 05:20:59.999000,True,sl,-11.55,-109.03,59.102,open->sl
56.0,DOTUSDT-2022-03-06 19:35:00,Buy,1000.0,2022-03-06 19:35:00,17.34,17.16,2022-03-06 19:46:59.999000,True,sl,-11.88,-120.91,57.67,open->sl
57.0,DOTUSDT-2022-03-06 23:25:00,Sell,1000.0,2022-03-06 23:25:00,16.94,16.76,2022-03-07 00:18:59.999000,True,tp,9.13,-111.78,59.032,open->tp
58.0,DOTUSDT-2022-03-07 13:40:00,Buy,1000.0,2022-03-07 13:40:00,16.93,17.11,2022-03-07 14:22:59.999000,True,tp,9.13,-102.65,59.067,open->tp
59.0,DOTUSDT-2022-03-07 19:30:00,Sell,1000.0,2022-03-07 19:30:00,16.25,16.08,2022-03-07 19:54:59.999000,True,tp,8.96,-93.69,61.538,open->tp
60.0,DOTUSDT-2022-03-08 17:15:00,Buy,1000.0,2022-03-08 17:15:00,17.0,17.2,2022-03-08 18:01:59.999000,True,tp,10.26,-83.43,58.824,open->tp
61.0,DOTUSDT-2022-03-10 02:05:00,Sell,1000.0,2022-03-10 02:05:00,17.44,17.26,2022-03-10 04:24:59.999000,True,tp,8.82,-74.61,57.339,open->tp
62.0,DOTUSDT-2022-03-11 06:00:00,Buy,1000.0,2022-03-11 06:00:00,17.44,17.66,2022-03-11 06:21:59.999000,True,tp,11.11,-63.5,57.339,open->tp
63.0,DOTUSDT-2022-03-13 10:15:00,Sell,1000.0,2022-03-13 10:15:00,17.9,17.69,2022-03-13 12:23:59.999000,True,tp,10.23,-53.27,55.866,open->tp
64.0,DOTUSDT-2022-03-14 04:15:00,Buy,1000.0,2022-03-14 04:15:00,17.64,17.46,2022-03-14 04:54:59.999000,True,sl,-11.7,-64.97,56.689,open->sl
65.0,DOTUSDT-2022-03-14 17:30:00,Sell,1000.0,2022-03-14 17:30:00,17.34,17.52,2022-03-14 22:19:59.999000,True,sl,-11.88,-76.85,57.67,open->sl
66.0,DOTUSDT-2022-03-15 16:20:00,Buy,1000.0,2022-03-15 16:20:00,17.65,17.84,2022-03-15 18:46:59.999000,True,tp,9.26,-67.59,56.657,open->tp
67.0,DOTUSDT-2022-03-16 18:30:00,Sell,1000.0,2022-03-16 18:30:00,17.72,17.9,2022-03-16 18:40:59.999000,True,sl,-11.66,-79.25,56.433,open->sl
68.0,DOTUSDT-2022-03-16 20:10:00,Buy,1000.0,2022-03-16 20:10:00,18.74,18.94,2022-03-16 20:28:59.999000,True,tp,9.17,-70.08,53.362,open->tp
69.0,DOTUSDT-2022-03-17 17:05:00,Sell,1000.0,2022-03-17 17:05:00,18.71,18.49,2022-03-18 00:59:59.999000,True,tp,10.26,-59.82,53.447,open->tp
70.0,DOTUSDT-2022-03-18 16:25:00,Buy,1000.0,2022-03-18 16:25:00,18.81,19.02,2022-03-18 17:09:59.999000,True,tp,9.66,-50.16,53.163,open->tp
71.0,DOTUSDT-2022-03-20 00:30:00,Sell,1000.0,2022-03-20 00:30:00,19.15,19.36,2022-03-20 06:25:59.999000,True,sl,-12.47,-62.63,52.219,open->sl
72.0,DOTUSDT-2022-03-22 02:25:00,Buy,1000.0,2022-03-22 02:25:00,19.1,19.33,2022-03-22 03:05:59.999000,True,tp,10.54,-52.09,52.356,open->tp
73.0,DOTUSDT-2022-03-24 12:40:00,Sell,1000.0,2022-03-24 12:40:00,20.44,20.65,2022-03-24 14:46:59.999000,True,sl,-11.77,-63.86,48.924,open->sl
74.0,DOTUSDT-2022-03-24 15:40:00,Buy,1000.0,2022-03-24 15:40:00,21.15,21.37,2022-03-24 16:18:59.999000,True,tp,8.9,-54.96,47.281,open->tp
75.0,DOTUSDT-2022-03-25 07:50:00,Sell,1000.0,2022-03-25 07:50:00,20.78,20.99,2022-03-25 11:13:59.999000,True,sl,-11.61,-66.57,48.123,open->sl
76.0,DOTUSDT-2022-03-26 07:30:00,Buy,1000.0,2022-03-26 07:30:00,20.88,21.11,2022-03-27 02:11:59.999000,True,tp,9.52,-57.05,47.893,open->tp
77.0,DOTUSDT-2022-03-27 12:50:00,Sell,1000.0,2022-03-27 12:50:00,20.81,21.02,2022-03-27 14:38:59.999000,True,sl,-11.59,-68.64,48.054,open->sl
78.0,DOTUSDT-2022-03-27 18:00:00,Buy,1000.0,2022-03-27 18:00:00,21.31,21.53,2022-03-27 20:35:59.999000,True,tp,8.82,-59.82,46.926,open->tp
