number,id,type,size,opendate,openprice,closeprice,closedate,isclosed,closetype,p/l,AccPL,qty,executions
1.0,ETHUSDT-2022-01-03 16:05:00,Sell,1000.0,2022-01-03 16:05:00,3770.56,3803.79,2022-01-04 10:49:59.999000,True,TC,-10.31,-10.31,0.265,open->TC
2.0,ETHUSDT-2022-01-04 10:45:00,Buy,1000.0,2022-01-04 10:45:00,3803.79,3776.03,2022-01-04 18:54:59.999000,True,TC,-8.8,-19.11,0.263,open->TC
3.0,ETHUSDT-2022-01-04 18:50:00,Sell,1000.0,2022-01-04 18:50:00,3776.03,3016.53,2022-01-08 18:10:59.999000,True,tp,199.64,180.53,0.265,open->tp
4.0,ETHUSDT-2022-01-09 19:10:00,Buy,1000.0,2022-01-09 19:10:00,3178.4,3136.78,2022-01-10 00:59:59.999000,True,TC,-14.59,165.94,0.315,open->TC
5.0,ETHUSDT-2022-01-10 00:55:00,Sell,1000.0,2022-01-10 00:55:00,3136.78,3141.44,2022-01-11 08:04:59.999000,True,TC,-2.99,162.95,0.319,open->TC
6.0,ETHUSDT-2022-01-11 08:00:00,Buy,1000.0,2022-01-11 08:00:00,3141.44,3316.85,2022-01-13 03:14:59.999000,True,TC,54.34,217.29,0.318,open->TC
7.0,ETHUSDT-2022-01-13 03:10:00,Sell,1000.0,2022-01-13 03:10:00,3316.85,3389.26,2022-01-13 14:34:59.999000,True,TC,-23.33,193.96,0.301,open->TC
8.0,ETHUSDT-2022-01-13 14:30:00,Buy,1000.0,2022-01-13 14:30:00,3389.26,3292.02,2022-01-13 15:34:59.999000,True,TC,-30.19,163.77,0.295,open->TC
9.0,ETHUSDT-2022-01-13 15:30:00,Sell,1000.0,2022-01-13 15:30:00,3292.02,3308.5,2022-01-14 19:19:59.999000,True,TC,-6.51,157.26,0.304,open->TC
10.0,ETHUSDT-2022-01-14 19:15:00,Buy,1000.0,2022-01-14 19:15:00,3308.5,3301.05,2022-01-16 02:54:59.999000,True,TC,-3.75,153.51,0.302,open->TC
11.0,ETHUSDT-2022-01-16 02:50:00,Sell,1000.0,2022-01-16 02:50:00,3301.05,3356.2,2022-01-16 14:34:59.999000,True,TC,-18.21,135.3,0.303,open->TC
12.0,ETHUSDT-2022-01-16 14:30:00,Buy,1000.0,2022-01-16 14:30:00,3356.2,3298.7,2022-01-17 03:34:59.999000,True,TC,-18.63,116.67,0.298,open->TC
13.0,ETHUSDT-2022-01-17 03:30:00,Sell,1000.0,2022-01-17 03:30:00,3298.7,3158.23,2022-01-19 14:59:59.999000,True,TC,41.08,157.75,0.303,open->TC
14.0,ETHUSDT-2022-01-19 14:55:00,Buy,1000.0,2022-01-19 14:55:00,3158.23,3156.68,2022-01-20 21:39:59.999000,True,TC,-1.99,155.76,0.317,open->TC
15.0,ETHUSDT-2022-01-20 21:35:00,Sell,1000.0,2022-01-20 21:35:00,3156.68,2519.11,2022-01-21 22:49:59.999000,True,tp,200.47,356.23,0.317,open->tp
16.0,ETHUSDT-2022-01-23 08:55:00,Buy,1000.0,2022-01-23 08:55:00,2520.19,2413.68,2022-01-23 14:49:59.999000,True,TC,-43.76,312.47,0.397,open->TC
17.0,ETHUSDT-2022-01-23 14:45:00,Sell,1000.0,2022-01-23 14:45:00,2413.68,2534.56,2022-01-23 23:14:59.999000,True,TC,-51.58,260.89,0.414,open->TC
18.0,ETHUSDT-2022-01-23 23:10:00,Buy,1000.0,2022-01-23 23:10:00,2534.56,2371.01,2022-01-24 09:09:59.999000,True,TC,-66.03,194.86,0.395,open->TC
19.0,ETHUSDT-2022-01-24 09:05:00,Sell,1000.0,2022-01-24 09:05:00,2371.01,2403.73,2022-01-24 18:49:59.999000,True,TC,-15.3,179.56,0.422,open->TC
20.0,ETHUSDT-2022-01-24 18:45:00,Buy,1000.0,2022-01-24 18:45:00,2403.73,2512.02,2022-01-26 20:09:59.999000,True,TC,43.55,223.11,0.416,open->TC
21.0,ETHUSDT-2022-01-26 20:05:00,Sell,1000.0,2022-01-26 20:05:00,2512.02,2478.6,2022-01-27 13:09:59.999000,True,TC,11.8,234.91,0.398,open->TC
22.0,ETHUSDT-2022-01-27 13:05:00,Buy,1000.0,2022-01-27 13:05:00,2478.6,2375.17,2022-01-27 20:24:59.999000,True,TC,-43.23,191.68,0.403,open->TC
23.0,ETHUSDT-2022-01-27 20:20:00,Sell,1000.0,2022-01-27 20:20:00,2375.17,2476.69,2022-01-28 16:19:59.999000,True,TC,-44.24,147.44,0.421,open->TC
24.0,ETHUSDT-2022-01-28 16:15:00,Buy,1000.0,2022-01-28 16:15:00,2476.69,2563.9,2022-01-30 19:29:59.999000,True,TC,33.71,181.15,0.404,open->TC
25.0,ETHUSDT-2022-01-30 19:25:00,Sell,1000.0,2022-01-30 19:25:00,2563.9,2566.66,2022-01-31 13:44:59.999000,True,TC,-2.58,178.57,0.39,open->TC
26.0,ETHUSDT-2022-01-31 13:40:00,Buy,1000.0,2022-01-31 13:40:00,2566.66,2692.74,2022-02-02 14:49:59.999000,True,TC,47.62,226.19,0.39,open->TC
27.0,ETHUSDT-2022-02-02 14:45:00,Sell,1000.0,2022-02-02 14:45:00,2692.74,2695.46,2022-02-03 23:59:59.999000,True,TC,-2.51,223.68,0.371,open->TC
28.0,ETHUSDT-2022-02-03 23:55:00,Buy,1000.0,2022-02-03 23:55:00,2695.46,2769.0,2022-02-04 14:04:59.999000,True,TC,25.78,249.46,0.371,open->TC
29.0,ETHUSDT-2022-02-04 14:00:00,Sell,1000.0,2022-02-04 14:00:00,2769.0,2915.4,2022-02-04 15:34:59.999000,True,TC,-54.37,195.09,0.361,open->TC
30.0,ETHUSDT-2022-02-04 15:30:00,Buy,1000.0,2022-02-04 15:30:00,2915.4,2959.69,2022-02-06 15:04:59.999000,True,TC,13.69,208.78,0.343,open->TC
31.0,ETHUSDT-2022-02-06 15:00:00,Sell,1000.0,2022-02-06 15:00:00,2959.69,3045.4,2022-02-06 23:34:59.999000,True,TC,-30.46,178.32,0.338,open->TC
32.0,ETHUSDT-2022-02-06 23:30:00,Buy,1000.0,2022-02-06 23:30:00,3045.4,3098.47,2022-02-08 09:09:59.999000,True,TC,15.93,194.25,0.328,open->TC
33.0,ETHUSDT-2022-02-08 09:05:00,Sell,1000.0,2022-02-08 09:05:00,3098.47,3149.51,2022-02-09 11:49:59.999000,True,TC,-17.97,176.28,0.323,open->TC
34.0,ETHUSDT-2022-02-09 11:45:00,Buy,1000.0,2022-02-09 11:45:00,3149.51,3173.63,2022-02-10 04:44:59.999000,True,TC,6.16,182.44,0.318,open->TC
35.0,ETHUSDT-2022-02-10 04:40:00,Sell,1000.0,2022-02-10 04:40:00,3173.63,3244.54,2022-02-10 10:09:59.999000,True,TC,-23.84,158.6,0.315,open->TC
36.0,ETHUSDT-2022-02-10 10:05:00,Buy,1000.0,2022-02-10 10:05:00,3244.54,3139.48,2022-02-10 13:44:59.999000,True,TC,-33.88,124.72,0.308,open->TC
37.0,ETHUSDT-2022-02-10 13:40:00,Sell,1000.0,2022-02-10 13:40:00,3139.48,2915.28,2022-02-14 12:54:59.999000,True,TC,69.91,194.63,0.319,open->TC
38.0,ETHUSDT-2022-02-14 12:50:00,Buy,1000.0,2022-02-14 12:50:00,2915.28,2865.85,2022-02-14 19:24:59.999000,True,TC,-18.46,176.17,0.343,open->TC
39.0,ETHUSDT-2022-02-14 19:20:00,Sell,1000.0,2022-02-14 19:20:00,2865.85,2975.28,2022-02-15 01:34:59.999000,True,TC,-39.68,136.49,0.349,open->TC
40.0,ETHUSDT-2022-02-15 01:30:00,Buy,1000.0,2022-02-15 01:30:00,2975.28,3095.51,2022-02-16 13:34:59.999000,True,TC,38.91,175.4,0.336,open->TC
41.0,ETHUSDT-2022-02-16 13:30:00,Sell,1000.0,2022-02-16 13:30:00,3095.51,3149.64,2022-02-16 19:19:59.999000,True,TC,-18.99,156.41,0.323,open->TC
42.0,ETHUSDT-2022-02-16 19:15:00,Buy,1000.0,2022-02-16 19:15:00,3149.64,3083.85,2022-02-17 03:59:59.999000,True,TC,-22.39,134.02,0.317,open->TC
43.0,ETHUSDT-2022-02-17 03:55:00,Sell,1000.0,2022-02-17 03:55:00,3083.85,2698.5,2022-02-21 01:09:59.999000,True,TC,123.46,257.48,0.324,open->TC
44.0,ETHUSDT-2022-02-21 01:05:00,Buy,1000.0,2022-02-21 01:05:00,2698.5,2684.61,2022-02-21 10:34:59.999000,True,TC,-6.65,250.83,0.371,open->TC
45.0,ETHUSDT-2022-02-21 10:30:00,Sell,1000.0,2022-02-21 10:30:00,2684.61,2617.89,2022-02-22 12:19:59.999000,True,TC,23.35,274.18,0.372,open->TC
46.0,ETHUSDT-2022-02-22 12:15:00,Buy,1000.0,2022-02-22 12:15:00,2617.89,2643.04,2022-02-23 18:14:59.999000,True,TC,8.11,282.29,0.382,open->TC
