number,id,type,size,opendate,openprice,closeprice,closedate,isclosed,closetype,p/l,AccPL,qty,executions
1.0,LINKUSDT-2022-01-05 20:45:00,Sell,1000.0,2022-01-05 20:45:00,24.9,24.63,2022-01-05 20:57:59.999000,True,tp,9.34,9.34,40.161,open->tp
2.0,LINKUSDT-2022-01-06 19:25:00,Buy,1000.0,2022-01-06 19:25:00,25.79,25.48,2022-01-06 20:17:59.999000,True,sl,-13.52,-4.18,38.775,open->sl
3.0,LINKUSDT-2022-01-07 03:20:00,Sell,1000.0,2022-01-07 03:20:00,24.12,23.88,2022-01-07 03:35:59.999000,True,tp,8.45,4.27,41.459,open->tp
4.0,LINKUSDT-2022-01-07 11:25:00,Buy,1000.0,2022-01-07 11:25:00,25.09,25.37,2022-01-07 11:42:59.999000,True,tp,9.66,13.93,39.857,open->tp
5.0,LINKUSDT-2022-01-08 14:55:00,Sell,1000.0,2022-01-08 14:55:00,25.37,25.04,2022-01-08 15:26:59.999000,True,tp,11.51,25.44,39.417,open->tp
6.0,LINKUSDT-2022-01-09 02:15:00,Buy,1000.0,2022-01-09 02:15:00,26.81,26.52,2022-01-09 02:31:59.999000,True,sl,-12.32,13.12,37.3,open->sl
7.0,LINKUSDT-2022-01-10 11:45:00,Sell,1000.0,2022-01-10 11:45:00,26.67,26.97,2022-01-10 12:31:59.999000,True,sl,-12.75,0.37,37.495,open->sl
8.0,LINKUSDT-2022-01-11 02:30:00,Buy,1000.0,2022-01-11 02:30:00,28.33,28.65,2022-01-11 03:09:59.999000,True,tp,9.8,10.17,35.298,open->tp
9.0,LINKUSDT-2022-01-11 13:35:00,Sell,1000.0,2022-01-11 13:35:00,26.44,26.17,2022-01-11 14:20:59.999000,True,tp,8.71,18.88,37.821,open->tp
10.0,LINKUSDT-2022-01-12 13:50:00,Buy,1000.0,2022-01-12 13:50:00,27.22,26.94,2022-01-12 14:02:59.999000,True,sl,-11.79,7.09,36.738,open->sl
11.0,LINKUSDT-2022-01-13 11:50:00,Sell,1000.0,2022-01-13 11:50:00,25.81,26.1,2022-01-13 12:26:59.999000,True,sl,-12.74,-5.65,38.745,open->sl
12.0,LINKUSDT-2022-01-14 22:20:00,Buy,1000.0,2022-01-14 22:20:00,25.32,25.59,2022-01-14 23:08:59.999000,True,tp,9.16,3.51,39.494,open->tp
13.0,LINKUSDT-2022-01-16 00:00:00,Sell,1000.0,2022-01-16 00:00:00,25.08,24.83,2022-01-16 02:52:59.999000,True,tp,8.47,11.98,39.872,open->tp
14.0,LINKUSDT-2022-01-16 09:40:00,Buy,1000.0,2022-01-16 09:40:00,25.82,25.56,2022-01-16 11:01:59.999000,True,sl,-11.57,0.41,38.73,open->sl
15.0,LINKUSDT-2022-01-17 02:10:00,Sell,1000.0,2022-01-17 02:10:00,25.18,24.86,2022-01-17 04:00:59.999000,True,tp,11.21,11.62,39.714,open->tp
16.0,LINKUSDT-2022-01-18 22:35:00,Buy,1000.0,2022-01-18 22:35:00,23.11,23.34,2022-01-18 22:47:59.999000,True,tp,8.45,20.07,43.271,open->tp
17.0,LINKUSDT-2022-01-19 03:45:00,Sell,1000.0,2022-01-19 03:45:00,22.19,22.43,2022-01-19 04:02:59.999000,True,sl,-12.32,7.75,45.065,open->sl
18.0,LINKUSDT-2022-01-19 14:40:00,Buy,1000.0,2022-01-19 14:40:00,22.43,22.13,2022-01-19 15:24:59.999000,True,sl,-14.87,-7.12,44.583,open->sl
19.0,LINKUSDT-2022-01-20 21:30:00,Sell,1000.0,2022-01-20 21:30:00,21.79,21.54,2022-01-20 21:41:59.999000,True,tp,9.97,2.85,45.893,open->tp
20.0,LINKUSDT-2022-01-23 08:55:00,Buy,1000.0,2022-01-23 08:55:00,16.5,16.68,2022-01-23 09:09:59.999000,True,tp,9.41,12.26,60.606,open->tp
21.0,LINKUSDT-2022-01-23 14:45:00,Sell,1000.0,2022-01-23 14:45:00,15.54,15.71,2022-01-23 14:58:59.999000,True,sl,-12.44,-0.18,64.35,open->sl
