number,id,type,size,opendate,openprice,closeprice,closedate,isclosed,closetype,p/l,AccPL,qty,executions
1.0,XTZUSDT-2022-01-02 18:30:00,Sell,1000.0,2022-01-02 18:30:00,4.603,4.649,2022-01-02 19:16:59.999000,True,sl,-11.49,-11.49,217.25,open->sl
2.0,XTZUSDT-2022-01-03 11:00:00,Buy,1000.0,2022-01-03 11:00:00,4.654,4.707,2022-01-03 11:53:59.999000,True,tp,9.89,-1.6,214.869,open->tp
3.0,XTZUSDT-2022-01-05 17:50:00,Sell,1000.0,2022-01-05 17:50:00,5.019,4.967,2022-01-05 18:10:59.999000,True,tp,8.86,7.26,199.243,open->tp
4.0,XTZUSDT-2022-01-09 09:45:00,Buy,1000.0,2022-01-09 09:45:00,4.181,4.139,2022-01-09 10:14:59.999000,True,sl,-11.55,-4.29,239.177,open->sl
5.0,XTZUSDT-2022-01-10 11:00:00,Sell,1000.0,2022-01-10 11:00:00,4.127,4.077,2022-01-10 12:03:59.999000,True,tp,10.62,6.33,242.307,open->tp
6.0,XTZUSDT-2022-01-11 16:35:00,Buy,1000.0,2022-01-11 16:35:00,4.155,4.212,2022-01-11 16:56:59.999000,True,tp,12.22,18.55,240.674,open->tp
7.0,XTZUSDT-2022-01-13 03:10:00,Sell,1000.0,2022-01-13 03:10:00,4.265,4.312,2022-01-13 04:09:59.999000,True,sl,-12.52,6.03,234.467,open->sl
8.0,XTZUSDT-2022-01-13 08:55:00,Buy,1000.0,2022-01-13 08:55:00,4.404,4.359,2022-01-13 09:09:59.999000,True,sl,-11.72,-5.69,227.066,open->sl
9.0,XTZUSDT-2022-01-13 15:15:00,Sell,1000.0,2022-01-13 15:15:00,4.274,4.22,2022-01-13 15:51:59.999000,True,tp,11.13,5.44,233.973,open->tp
10.0,XTZUSDT-2022-01-14 05:55:00,Buy,1000.0,2022-01-14 05:55:00,4.275,4.232,2022-01-14 07:39:59.999000,True,sl,-11.56,-6.12,233.918,open->sl
11.0,XTZUSDT-2022-01-14 10:50:00,Sell,1000.0,2022-01-14 10:50:00,4.116,4.158,2022-01-14 12:24:59.999000,True,sl,-11.7,-17.82,242.954,open->sl
12.0,XTZUSDT-2022-01-14 22:00:00,Buy,1000.0,2022-01-14 22:00:00,4.308,4.262,2022-01-14 23:22:59.999000,True,sl,-12.18,-30.0,232.126,open->sl
13.0,XTZUSDT-2022-01-16 02:00:00,Sell,1000.0,2022-01-16 02:00:00,4.226,4.271,2022-01-16 06:58:59.999000,True,sl,-12.15,-42.15,236.63,open->sl
14.0,XTZUSDT-2022-01-16 12:50:00,Buy,1000.0,2022-01-16 12:50:00,4.319,4.276,2022-01-16 13:07:59.999000,True,sl,-11.46,-53.61,231.535,open->sl
15.0,XTZUSDT-2022-01-17 03:45:00,Sell,1000.0,2022-01-17 03:45:00,4.212,4.168,2022-01-17 04:27:59.999000,True,tp,8.95,-44.66,237.417,open->tp
16.0,XTZUSDT-2022-01-18 19:50:00,Buy,1000.0,2022-01-18 19:50:00,4.11,4.159,2022-01-18 20:36:59.999000,True,tp,10.42,-34.24,243.309,open->tp
17.0,XTZUSDT-2022-01-19 05:45:00,Sell,1000.0,2022-01-19 05:45:00,3.991,3.95,2022-01-19 07:04:59.999000,True,tp,8.77,-25.47,250.564,open->tp
18.0,XTZUSDT-2022-01-19 17:00:00,Buy,1000.0,2022-01-19 17:00:00,4.006,3.963,2022-01-19 17:42:59.999000,True,sl,-12.23,-37.7,249.626,open->sl
19.0,XTZUSDT-2022-01-20 01:25:00,Sell,1000.0,2022-01-20 01:25:00,3.831,3.87,2022-01-20 02:06:59.999000,True,sl,-11.68,-49.38,261.028,open->sl
20.0,XTZUSDT-2022-01-20 13:30:00,Buy,1000.0,2022-01-20 13:30:00,3.973,4.02,2022-01-20 14:26:59.999000,True,tp,10.33,-39.05,251.699,open->tp
21.0,XTZUSDT-2022-01-20 21:20:00,Sell,1000.0,2022-01-20 21:20:00,3.928,3.887,2022-01-20 21:40:59.999000,True,tp,8.94,-30.11,254.582,open->tp
22.0,XTZUSDT-2022-01-23 08:30:00,Buy,1000.0,2022-01-23 08:30:00,3.134,3.097,2022-01-23 08:48:59.999000,True,sl,-13.31,-43.42,319.081,open->sl
23.0,XTZUSDT-2022-01-23 17:55:00,Sell,1000.0,2022-01-23 17:55:00,2.96,2.926,2022-01-23 18:18:59.999000,True,tp,9.99,-33.43,337.838,open->tp
24.0,XTZUSDT-2022-01-23 23:15:00,Buy,1000.0,2022-01-23 23:15:00,3.069,3.036,2022-01-23 23:28:59.999000,True,sl,-12.25,-45.68,325.839,open->sl
25.0,XTZUSDT-2022-01-24 07:40:00,Sell,1000.0,2022-01-24 07:40:00,2.835,2.801,2022-01-24 08:46:59.999000,True,tp,10.49,-35.19,352.734,open->tp
26.0,XTZUSDT-2022-01-24 20:05:00,Buy,1000.0,2022-01-24 20:05:00,2.831,2.861,2022-01-24 20:32:59.999000,True,tp,9.1,-26.09,353.232,open->tp
27.0,XTZUSDT-2022-01-26 21:30:00,Sell,1000.0,2022-01-26 21:30:00,2.929,2.896,2022-01-26 21:46:59.999000,True,tp,9.77,-16.32,341.413,open->tp
28.0,XTZUSDT-2022-01-27 11:25:00,Buy,1000.0,2022-01-27 11:25:00,2.935,2.967,2022-01-27 12:01:59.999000,True,tp,9.4,-6.92,340.716,open->tp
29.0,XTZUSDT-2022-01-27 19:30:00,Sell,1000.0,2022-01-27 19:30:00,2.86,2.889,2022-01-27 19:46:59.999000,True,sl,-11.64,-18.56,349.65,open->sl
30.0,XTZUSDT-2022-01-28 01:10:00,Buy,1000.0,2022-01-28 01:10:00,3.004,2.959,2022-01-28 01:16:59.999000,True,sl,-16.48,-35.04,332.889,open->sl
31.0,XTZUSDT-2022-01-28 12:35:00,Sell,1000.0,2022-01-28 12:35:00,2.84,2.871,2022-01-28 13:17:59.999000,True,sl,-12.42,-47.46,352.113,open->sl
32.0,XTZUSDT-2022-01-28 21:15:00,Buy,1000.0,2022-01-28 21:15:00,3.035,3.001,2022-01-28 22:52:59.999000,True,sl,-12.7,-60.16,329.489,open->sl
