number,id,type,size,opendate,openprice,closeprice,closedate,isclosed,closetype,p/l,AccPL,qty,executions
1.0,AVAXUSDT-2022-01-03 10:30:00,Sell,1000.0,2022-01-03 10:30:00,110.28,91.2,2022-01-09 19:24:59.999000,True,TC,171.51,171.51,9.068,open->TC
2.0,AVAXUSDT-2022-01-09 19:20:00,Buy,1000.0,2022-01-09 19:20:00,91.2,83.42,2022-01-10 13:54:59.999000,True,TC,-86.81,84.7,10.965,open->TC
3.0,AVAXUSDT-2022-01-10 13:50:00,Sell,1000.0,2022-01-10 13:50:00,83.42,91.09,2022-01-12 06:04:59.999000,True,TC,-93.44,-8.74,11.988,open->TC
4.0,AVAXUSDT-2022-01-12 06:00:00,Buy,1000.0,2022-01-12 06:00:00,91.09,90.89,2022-01-13 19:39:59.999000,True,TC,-3.7,-12.44,10.978,open->TC
5.0,AVAXUSDT-2022-01-13 19:35:00,Sell,1000.0,2022-01-13 19:35:00,90.89,92.98,2022-01-15 16:04:59.999000,True,TC,-24.49,-36.93,11.002,open->TC
6.0,AVAXUSDT-2022-01-15 16:00:00,Buy,1000.0,2022-01-15 16:00:00,92.98,89.69,2022-01-17 03:59:59.999000,True,TC,-36.88,-73.81,10.755,open->TC
7.0,AVAXUSDT-2022-01-17 03:55:00,Sell,1000.0,2022-01-17 03:55:00,89.69,86.63,2022-01-20 14:34:59.999000,True,TC,32.62,-41.19,11.15,open->TC
8.0,AVAXUSDT-2022-01-20 14:30:00,Buy,1000.0,2022-01-20 14:30:00,86.63,82.06,2022-01-20 21:54:59.999000,True,TC,-54.25,-95.44,11.543,open->TC
9.0,AVAXUSDT-2022-01-20 21:50:00,Sell,1000.0,2022-01-20 21:50:00,82.06,67.3,2022-01-25 17:19:59.999000,True,TC,178.37,82.93,12.186,open->TC
10.0,AVAXUSDT-2022-01-25 17:15:00,Buy,1000.0,2022-01-25 17:15:00,67.3,63.51,2022-01-27 01:49:59.999000,True,TC,-57.82,25.11,14.859,open->TC
11.0,AVAXUSDT-2022-01-27 01:45:00,Sell,1000.0,2022-01-27 01:45:00,63.51,67.28,2022-01-27 14:19:59.999000,True,TC,-60.86,-35.75,15.746,open->TC
12.0,AVAXUSDT-2022-01-27 14:15:00,Buy,1000.0,2022-01-27 14:15:00,67.28,67.63,2022-01-30 19:09:59.999000,True,TC,3.7,-32.05,14.863,open->TC
13.0,AVAXUSDT-2022-01-30 19:05:00,Sell,1000.0,2022-01-30 19:05:00,67.63,68.94,2022-01-31 15:19:59.999000,True,TC,-20.87,-52.92,14.786,open->TC
14.0,AVAXUSDT-2022-01-31 15:15:00,Buy,1000.0,2022-01-31 15:15:00,68.94,69.31,2022-02-02 16:09:59.999000,True,TC,3.87,-49.05,14.505,open->TC
15.0,AVAXUSDT-2022-02-02 16:05:00,Sell,1000.0,2022-02-02 16:05:00,69.31,71.3,2022-02-04 08:54:59.999000,True,TC,-30.21,-79.26,14.428,open->TC
16.0,AVAXUSDT-2022-02-04 08:50:00,Buy,1000.0,2022-02-04 08:50:00,71.3,74.84,2022-02-06 14:59:59.999000,True,TC,48.15,-31.11,14.025,open->TC
17.0,AVAXUSDT-2022-02-06 14:55:00,Sell,1000.0,2022-02-06 14:55:00,74.84,80.51,2022-02-07 03:39:59.999000,True,TC,-77.26,-108.37,13.362,open->TC
18.0,AVAXUSDT-2022-02-07 03:35:00,Buy,1000.0,2022-02-07 03:35:00,80.51,84.94,2022-02-11 19:29:59.999000,True,TC,53.52,-54.85,12.421,open->TC
19.0,AVAXUSDT-2022-02-11 19:25:00,Sell,1000.0,2022-02-11 19:25:00,84.94,82.54,2022-02-14 22:29:59.999000,True,TC,26.76,-28.09,11.773,open->TC
20.0,AVAXUSDT-2022-02-14 22:25:00,Buy,1000.0,2022-02-14 22:25:00,82.54,89.66,2022-02-17 17:29:59.999000,True,TC,84.76,56.67,12.115,open->TC
21.0,AVAXUSDT-2022-02-17 17:25:00,Sell,1000.0,2022-02-17 17:25:00,89.66,75.7,2022-02-23 01:14:59.999000,True,TC,154.2,210.87,11.153,open->TC
22.0,AVAXUSDT-2022-02-23 01:10:00,Buy,1000.0,2022-02-23 01:10:00,75.7,73.59,2022-02-23 23:14:59.999000,True,TC,-29.37,181.5,13.21,open->TC
23.0,AVAXUSDT-2022-02-23 23:10:00,Sell,1000.0,2022-02-23 23:10:00,73.59,79.85,2022-02-24 20:04:59.999000,True,TC,-86.57,94.93,13.589,open->TC
24.0,AVAXUSDT-2022-02-24 20:00:00,Buy,1000.0,2022-02-24 20:00:00,79.85,77.67,2022-02-27 04:49:59.999000,True,TC,-28.8,66.13,12.523,open->TC
25.0,AVAXUSDT-2022-02-27 04:45:00,Sell,1000.0,2022-02-27 04:45:00,77.67,81.74,2022-02-28 15:19:59.999000,True,TC,-53.9,12.23,12.875,open->TC
26.0,AVAXUSDT-2022-02-28 15:15:00,Buy,1000.0,2022-02-28 15:15:00,81.74,79.58,2022-03-03 14:44:59.999000,True,TC,-27.93,-15.7,12.234,open->TC
27.0,AVAXUSDT-2022-03-03 14:40:00,Sell,1000.0,2022-03-03 14:40:00,79.58,81.93,2022-03-04 12:39:59.999000,True,TC,-31.03,-46.73,12.566,open->TC
28.0,AVAXUSDT-2022-03-04 12:35:00,Buy,1000.0,2022-03-04 12:35:00,81.93,73.19,2022-03-06 19:44:59.999000,True,TC,-108.18,-154.91,12.206,open->TC
29.0,AVAXUSDT-2022-03-06 19:40:00,Sell,1000.0,2022-03-06 19:40:00,73.19,76.64,2022-03-09 03:29:59.999000,True,TC,-48.64,-203.55,13.663,open->TC
30.0,AVAXUSDT-2022-03-09 03:25:00,Buy,1000.0,2022-03-09 03:25:00,76.64,73.14,2022-03-10 05:09:59.999000,True,TC,-47.17,-250.72,13.048,open->TC
31.0,AVAXUSDT-2022-03-10 05:05:00,Sell,1000.0,2022-03-10 05:05:00,73.14,76.84,2022-03-11 11:49:59.999000,True,TC,-52.09,-302.81,13.672,open->TC
32.0,AVAXUSDT-2022-03-11 11:45:00,Buy,1000.0,2022-03-11 11:45:00,76.84,69.72,2022-03-13 20:14:59.999000,True,TC,-94.16,-396.97,13.014,open->TC
33.0,AVAXUSDT-2022-03-13 20:10:00,Sell,1000.0,2022-03-13 20:10:00,69.72,71.28,2022-03-14 10:24:59.999000,True,TC,-23.88,-420.85,14.343,open->TC
34.0,AVAXUSDT-2022-03-14 10:20:00,Buy,1000.0,2022-03-14 10:20:00,71.28,65.9,2022-03-14 18:29:59.999000,True,TC,-76.98,-497.83,14.029,open->TC
35.0,AVAXUSDT-2022-03-14 18:25:00,Sell,1000.0,2022-03-14 18:25:00,65.9,70.13,2022-03-15 15:39:59.999000,True,TC,-65.69,-563.52,15.175,open->TC
36.0,AVAXUSDT-2022-03-15 15:35:00,Buy,1000.0,2022-03-15 15:35:00,70.13,85.24,2022-03-20 17:29:59.999000,True,TC,213.96,-349.56,14.259,open->TC
37.0,AVAXUSDT-2022-03-20 17:25:00,Sell,1000.0,2022-03-20 17:25:00,85.24,90.75,2022-03-21 09:59:59.999000,True,TC,-66.14,-415.7,11.732,open->TC
38.0,AVAXUSDT-2022-03-21 09:55:00,Buy,1000.0,2022-03-21 09:55:00,90.75,82.58,2022-03-23 01:04:59.999000,True,TC,-91.53,-507.23,11.019,open->TC
39.0,AVAXUSDT-2022-03-23 01:00:00,Sell,1000.0,2022-03-23 01:00:00,82.58,87.16,2022-03-27 20:54:59.999000,True,TC,-56.96,-564.19,12.109,open->TC
40.0,AVAXUSDT-2022-03-27 20:50:00,Buy,1000.0,2022-03-27 20:50:00,87.16,91.65,2022-04-01 02:49:59.999000,True,TC,50.01,-514.18,11.473,open->TC
41.0,AVAXUSDT-2022-04-01 02:45:00,Sell,1000.0,2022-04-01 02:45:00,91.65,98.62,2022-04-01 16:44:59.999000,True,TC,-77.55,-591.73,10.911,open->TC
42.0,AVAXUSDT-2022-04-01 16:40:00,Buy,1000.0,2022-04-01 16:40:00,98.62,93.95,2022-04-04 13:34:59.999000,True,TC,-48.85,-640.58,10.14,open->TC
43.0,AVAXUSDT-2022-04-04 13:30:00,Sell,1000.0,2022-04-04 13:30:00,93.95,90.05,2022-04-08 16:19:59.999000,True,TC,40.01,-600.57,10.644,open->TC
44.0,AVAXUSDT-2022-04-08 16:15:00,Buy,1000.0,2022-04-08 16:15:00,90.05,81.01,2022-04-10 23:59:59.999000,True,TC,-101.89,-702.46,11.105,open->TC
45.0,AVAXUSDT-2022-04-10 23:55:00,Sell,1000.0,2022-04-10 23:55:00,81.01,79.98,2022-04-13 15:14:59.999000,True,TC,11.21,-691.25,12.344,open->TC
46.0,AVAXUSDT-2022-04-13 15:10:00,Buy,1000.0,2022-04-13 15:10:00,79.98,77.13,2022-04-14 15:39:59.999000,True,TC,-37.13,-728.38,12.503,open->TC
47.0,AVAXUSDT-2022-04-14 15:35:00,Sell,1000.0,2022-04-14 15:35:00,77.13,76.74,2022-04-18 18:19:59.999000,True,TC,3.56,-724.82,12.965,open->TC
48.0,AVAXUSDT-2022-04-18 18:15:00,Buy,1000.0,2022-04-18 18:15:00,76.74,76.64,2022-04-21 19:39:59.999000,True,TC,-2.8,-727.62,13.031,open->TC
49.0,AVAXUSDT-2022-04-21 19:35:00,Sell,1000.0,2022-04-21 19:35:00,76.64,71.71,2022-04-25 18:54:59.999000,True,TC,62.83,-664.79,13.048,open->TC
50.0,AVAXUSDT-2022-04-25 18:50:00,Buy,1000.0,2022-04-25 18:50:00,71.71,69.88,2022-04-26 13:54:59.999000,True,TC,-27.02,-691.81,13.945,open->TC
51.0,AVAXUSDT-2022-04-26 13:50:00,Sell,1000.0,2022-04-26 13:50:00,69.88,62.12,2022-05-03 04:14:59.999000,True,TC,109.55,-582.26,14.31,open->TC
52.0,AVAXUSDT-2022-05-03 04:10:00,Buy,1000.0,2022-05-03 04:10:00,62.12,63.38,2022-05-05 14:14:59.999000,True,TC,18.78,-563.48,16.098,open->TC
53.0,AVAXUSDT-2022-05-05 14:10:00,Sell,1000.0,2022-05-05 14:10:00,63.38,31.1,2022-05-11 12:48:59.999000,True,tp,507.81,-55.67,15.778,open->tp
54.0,AVAXUSDT-2022-05-13 05:10:00,Buy,1000.0,2022-05-13 05:10:00,35.51,31.7,2022-05-18 13:44:59.999000,True,TC,-108.79,-164.46,28.161,open->TC
55.0,AVAXUSDT-2022-05-18 13:40:00,Sell,1000.0,2022-05-18 13:40:00,31.7,30.98,2022-05-22 12:39:59.999000,True,TC,21.21,-143.25,31.546,open->TC
56.0,AVAXUSDT-2022-05-22 12:35:00,Buy,1000.0,2022-05-22 12:35:00,30.98,28.92,2022-05-23 22:29:59.999000,True,TC,-67.99,-211.24,32.279,open->TC
57.0,AVAXUSDT-2022-05-23 22:25:00,Sell,1000.0,2022-05-23 22:25:00,28.92,24.94,2022-05-28 15:34:59.999000,True,TC,136.12,-75.12,34.578,open->TC
58.0,AVAXUSDT-2022-05-28 15:30:00,Buy,1000.0,2022-05-28 15:30:00,24.94,24.56,2022-06-01 17:09:59.999000,True,TC,-16.74,-91.86,40.096,open->TC
59.0,AVAXUSDT-2022-06-01 17:05:00,Sell,1000.0,2022-06-01 17:05:00,24.56,24.4,2022-06-04 21:39:59.999000,True,TC,5.01,-86.85,40.717,open->TC
60.0,AVAXUSDT-2022-06-04 21:35:00,Buy,1000.0,2022-06-04 21:35:00,24.4,25.34,2022-06-06 20:09:59.999000,True,TC,37.02,-49.83,40.984,open->TC
