number,id,type,size,opendate,openprice,closeprice,closedate,isclosed,closetype,p/l,AccPL,qty,executions
1.0,ZECUSDT-2022-01-03 20:20:00,Sell,1000.0,2022-01-03 20:20:00,147.5,144.0,2022-01-08 05:09:59.999000,True,TC,22.23,22.23,6.78,open->TC
2.0,ZECUSDT-2022-01-08 05:05:00,Buy,1000.0,2022-01-08 05:05:00,144.0,137.1,2022-01-08 18:59:59.999000,True,TC,-49.42,-27.19,6.944,open->TC
3.0,ZECUSDT-2022-01-08 18:55:00,Sell,1000.0,2022-01-08 18:55:00,137.1,143.0,2022-01-09 22:14:59.999000,True,TC,-44.53,-71.72,7.294,open->TC
4.0,ZECUSDT-2022-01-09 22:10:00,Buy,1000.0,2022-01-09 22:10:00,143.0,136.5,2022-01-10 17:39:59.999000,True,TC,-46.95,-118.67,6.993,open->TC
5.0,ZECUSDT-2022-01-10 17:35:00,Sell,1000.0,2022-01-10 17:35:00,136.5,145.3,2022-01-12 13:39:59.999000,True,TC,-65.97,-184.64,7.326,open->TC
6.0,ZECUSDT-2022-01-12 13:35:00,Buy,1000.0,2022-01-12 13:35:00,145.3,138.8,2022-01-14 10:59:59.999000,True,TC,-46.24,-230.88,6.882,open->TC
7.0,ZECUSDT-2022-01-14 10:55:00,Sell,1000.0,2022-01-14 10:55:00,138.8,130.9,2022-01-20 15:09:59.999000,True,TC,55.42,-175.46,7.205,open->TC
8.0,ZECUSDT-2022-01-20 15:05:00,Buy,1000.0,2022-01-20 15:05:00,130.9,124.9,2022-01-20 21:44:59.999000,True,TC,-47.34,-222.8,7.639,open->TC
9.0,ZECUSDT-2022-01-20 21:40:00,Sell,1000.0,2022-01-20 21:40:00,124.9,93.0,2022-01-22 06:36:59.999000,True,tp,253.9,31.1,8.006,open->tp
10.0,ZECUSDT-2022-01-26 19:00:00,Buy,1000.0,2022-01-26 19:00:00,96.1,86.4,2022-01-26 22:06:59.999000,True,sl,-102.44,-71.34,10.406,open->sl
11.0,ZECUSDT-2022-01-30 19:05:00,Sell,1000.0,2022-01-30 19:05:00,92.3,93.6,2022-01-31 15:19:59.999000,True,TC,-15.58,-86.92,10.834,open->TC
12.0,ZECUSDT-2022-01-31 15:15:00,Buy,1000.0,2022-01-31 15:15:00,93.6,117.2,2022-02-05 06:02:59.999000,True,tp,250.64,163.72,10.684,open->tp
13.0,ZECUSDT-2022-02-08 12:25:00,Sell,1000.0,2022-02-08 12:25:00,122.4,121.6,2022-02-14 23:04:59.999000,True,TC,5.04,168.76,8.17,open->TC
14.0,ZECUSDT-2022-02-14 23:00:00,Buy,1000.0,2022-02-14 23:00:00,121.6,121.3,2022-02-16 04:29:59.999000,True,TC,-3.97,164.79,8.224,open->TC
15.0,ZECUSDT-2022-02-16 04:25:00,Sell,1000.0,2022-02-16 04:25:00,121.3,125.3,2022-02-16 21:14:59.999000,True,TC,-34.48,130.31,8.244,open->TC
16.0,ZECUSDT-2022-02-16 21:10:00,Buy,1000.0,2022-02-16 21:10:00,125.3,120.0,2022-02-17 04:04:59.999000,True,TC,-43.8,86.51,7.981,open->TC
17.0,ZECUSDT-2022-02-17 04:00:00,Sell,1000.0,2022-02-17 04:00:00,120.0,114.8,2022-02-19 15:19:59.999000,True,TC,41.83,128.34,8.333,open->TC
18.0,ZECUSDT-2022-02-19 15:15:00,Buy,1000.0,2022-02-19 15:15:00,114.8,106.0,2022-02-20 06:14:59.999000,True,TC,-78.16,50.18,8.711,open->TC
19.0,ZECUSDT-2022-02-20 06:10:00,Sell,1000.0,2022-02-20 06:10:00,106.0,113.9,2022-02-21 01:29:59.999000,True,TC,-76.03,-25.85,9.434,open->TC
20.0,ZECUSDT-2022-02-21 01:25:00,Buy,1000.0,2022-02-21 01:25:00,113.9,107.0,2022-02-21 12:19:59.999000,True,TC,-62.08,-87.93,8.78,open->TC
21.0,ZECUSDT-2022-02-21 12:15:00,Sell,1000.0,2022-02-21 12:15:00,107.0,98.5,2022-02-24 19:39:59.999000,True,TC,77.94,-9.99,9.346,open->TC
22.0,ZECUSDT-2022-02-24 19:35:00,Buy,1000.0,2022-02-24 19:35:00,98.5,103.1,2022-02-27 19:34:59.999000,True,TC,45.2,35.21,10.152,open->TC
23.0,ZECUSDT-2022-02-27 19:30:00,Sell,1000.0,2022-02-27 19:30:00,103.1,107.6,2022-02-28 08:29:59.999000,True,TC,-45.15,-9.94,9.699,open->TC
24.0,ZECUSDT-2022-02-28 08:25:00,Buy,1000.0,2022-02-28 08:25:00,107.6,118.4,2022-03-04 19:44:59.999000,True,TC,98.87,88.93,9.294,open->TC
25.0,ZECUSDT-2022-03-04 19:40:00,Sell,1000.0,2022-03-04 19:40:00,118.4,119.1,2022-03-05 17:44:59.999000,True,TC,-7.41,81.52,8.446,open->TC
26.0,ZECUSDT-2022-03-05 17:40:00,Buy,1000.0,2022-03-05 17:40:00,119.1,111.4,2022-03-06 10:24:59.999000,True,TC,-66.15,15.37,8.396,open->TC
27.0,ZECUSDT-2022-03-06 10:20:00,Sell,1000.0,2022-03-06 10:20:00,111.4,111.3,2022-03-07 13:14:59.999000,True,TC,-0.6,14.77,8.977,open->TC
28.0,ZECUSDT-2022-03-07 13:10:00,Buy,1000.0,2022-03-07 13:10:00,111.3,139.3,2022-03-08 23:48:59.999000,True,tp,250.07,264.84,8.985,open->tp
29.0,ZECUSDT-2022-03-15 03:05:00,Sell,1000.0,2022-03-15 03:05:00,143.3,147.4,2022-03-16 17:24:59.999000,True,TC,-30.11,234.73,6.978,open->TC
30.0,ZECUSDT-2022-03-16 17:20:00,Buy,1000.0,2022-03-16 17:20:00,147.4,184.8,2022-03-21 22:19:59.999000,True,tp,252.23,486.96,6.784,open->tp
31.0,ZECUSDT-2022-03-27 12:55:00,Sell,1000.0,2022-03-27 12:55:00,198.3,208.0,2022-03-27 23:29:59.999000,True,TC,-50.42,436.54,5.043,open->TC
32.0,ZECUSDT-2022-03-27 23:25:00,Buy,1000.0,2022-03-27 23:25:00,208.0,193.8,2022-03-28 23:14:59.999000,True,TC,-69.77,366.77,4.808,open->TC
33.0,ZECUSDT-2022-03-28 23:10:00,Sell,1000.0,2022-03-28 23:10:00,193.8,185.9,2022-04-01 15:34:59.999000,True,TC,39.26,406.03,5.16,open->TC
34.0,ZECUSDT-2022-04-01 15:30:00,Buy,1000.0,2022-04-01 15:30:00,185.9,180.8,2022-04-02 15:54:59.999000,True,TC,-28.93,377.1,5.379,open->TC
35.0,ZECUSDT-2022-04-02 15:50:00,Sell,1000.0,2022-04-02 15:50:00,180.8,175.8,2022-04-06 07:19:59.999000,True,TC,26.15,403.25,5.531,open->TC
36.0,ZECUSDT-2022-04-06 07:15:00,Buy,1000.0,2022-04-06 07:15:00,175.8,165.9,2022-04-08 22:29:59.999000,True,TC,-57.81,345.44,5.688,open->TC
37.0,ZECUSDT-2022-04-08 22:25:00,Sell,1000.0,2022-04-08 22:25:00,165.9,151.3,2022-04-13 23:39:59.999000,True,TC,86.5,431.94,6.028,open->TC
38.0,ZECUSDT-2022-04-13 23:35:00,Buy,1000.0,2022-04-13 23:35:00,151.3,147.0,2022-04-14 15:44:59.999000,True,TC,-29.92,402.02,6.609,open->TC
39.0,ZECUSDT-2022-04-14 15:40:00,Sell,1000.0,2022-04-14 15:40:00,147.0,146.4,2022-04-18 14:19:59.999000,True,TC,2.58,404.6,6.803,open->TC
40.0,ZECUSDT-2022-04-18 14:15:00,Buy,1000.0,2022-04-18 14:15:00,146.4,153.4,2022-04-23 04:24:59.999000,True,TC,46.31,450.91,6.831,open->TC
41.0,ZECUSDT-2022-04-23 04:20:00,Sell,1000.0,2022-04-23 04:20:00,153.4,160.4,2022-04-24 04:19:59.999000,True,TC,-47.13,403.78,6.519,open->TC
42.0,ZECUSDT-2022-04-24 04:15:00,Buy,1000.0,2022-04-24 04:15:00,160.4,153.6,2022-04-25 00:54:59.999000,True,TC,-43.89,359.89,6.234,open->TC
43.0,ZECUSDT-2022-04-25 00:50:00,Sell,1000.0,2022-04-25 00:50:00,153.6,158.7,2022-04-25 21:39:59.999000,True,TC,-34.7,325.19,6.51,open->TC
44.0,ZECUSDT-2022-04-25 21:35:00,Buy,1000.0,2022-04-25 21:35:00,158.7,156.1,2022-04-26 16:19:59.999000,True,TC,-17.88,307.31,6.301,open->TC
45.0,ZECUSDT-2022-04-26 16:15:00,Sell,1000.0,2022-04-26 16:15:00,156.1,116.9,2022-04-30 23:06:59.999000,True,tp,249.62,556.93,6.406,open->tp
46.0,ZECUSDT-2022-05-03 08:50:00,Buy,1000.0,2022-05-03 08:50:00,126.7,130.4,2022-05-05 14:24:59.999000,True,TC,27.7,584.63,7.893,open->TC
47.0,ZECUSDT-2022-05-05 14:20:00,Sell,1000.0,2022-05-05 14:20:00,130.4,96.3,2022-05-09 16:52:59.999000,True,tp,260.0,844.63,7.669,open->tp
48.0,ZECUSDT-2022-05-13 01:50:00,Buy,1000.0,2022-05-13 01:50:00,93.3,87.5,2022-05-14 13:39:59.999000,True,TC,-63.67,780.96,10.718,open->TC
49.0,ZECUSDT-2022-05-14 13:35:00,Sell,1000.0,2022-05-14 13:35:00,87.5,96.5,2022-05-14 16:34:59.999000,True,sl,-104.36,676.6,11.429,open->sl
50.0,ZECUSDT-2022-05-14 20:20:00,Buy,1000.0,2022-05-14 20:20:00,103.5,100.4,2022-05-17 18:19:59.999000,True,TC,-31.45,645.15,9.662,open->TC
51.0,ZECUSDT-2022-05-17 18:15:00,Sell,1000.0,2022-05-17 18:15:00,100.4,110.5,2022-05-17 21:32:59.999000,True,sl,-102.1,543.05,9.96,open->sl
52.0,ZECUSDT-2022-05-19 15:20:00,Buy,1000.0,2022-05-19 15:20:00,108.6,100.9,2022-05-23 20:14:59.999000,True,TC,-72.4,470.65,9.208,open->TC
53.0,ZECUSDT-2022-05-23 20:10:00,Sell,1000.0,2022-05-23 20:10:00,100.9,90.7,2022-05-29 23:34:59.999000,True,TC,99.59,570.24,9.911,open->TC
54.0,ZECUSDT-2022-05-29 23:30:00,Buy,1000.0,2022-05-29 23:30:00,90.7,93.6,2022-05-31 06:39:59.999000,True,TC,30.47,600.71,11.025,open->TC
55.0,ZECUSDT-2022-05-31 06:35:00,Sell,1000.0,2022-05-31 06:35:00,93.6,91.6,2022-06-06 01:19:59.999000,True,TC,19.87,620.58,10.684,open->TC
56.0,ZECUSDT-2022-06-06 01:15:00,Buy,1000.0,2022-06-06 01:15:00,91.6,89.2,2022-06-07 02:04:59.999000,True,TC,-27.7,592.88,10.917,open->TC
57.0,ZECUSDT-2022-06-07 02:00:00,Sell,1000.0,2022-06-07 02:00:00,89.2,83.5,2022-06-12 18:24:59.999000,True,TC,62.4,655.28,11.211,open->TC
58.0,ZECUSDT-2022-06-12 18:20:00,Buy,1000.0,2022-06-12 18:20:00,83.5,75.1,2022-06-13 01:57:59.999000,True,sl,-102.1,553.18,11.976,open->sl
59.0,ZECUSDT-2022-06-13 02:15:00,Sell,1000.0,2022-06-13 02:15:00,74.4,68.5,2022-06-15 22:34:59.999000,True,TC,77.8,630.98,13.441,open->TC
60.0,ZECUSDT-2022-06-15 22:30:00,Buy,1000.0,2022-06-15 22:30:00,68.5,61.9,2022-06-16 10:39:59.999000,True,TC,-97.85,533.13,14.599,open->TC
61.0,ZECUSDT-2022-06-16 10:35:00,Sell,1000.0,2022-06-16 10:35:00,61.9,62.1,2022-06-19 10:24:59.999000,True,TC,-4.73,528.4,16.155,open->TC
62.0,ZECUSDT-2022-06-19 10:20:00,Buy,1000.0,2022-06-19 10:20:00,62.1,64.6,2022-06-25 15:54:59.999000,True,TC,38.76,567.16,16.103,open->TC
63.0,ZECUSDT-2022-06-25 15:50:00,Sell,1000.0,2022-06-25 15:50:00,64.6,70.4,2022-06-26 12:09:59.999000,True,TC,-91.28,475.88,15.48,open->TC
64.0,ZECUSDT-2022-06-26 12:05:00,Buy,1000.0,2022-06-26 12:05:00,70.4,63.3,2022-06-27 14:00:59.999000,True,sl,-102.35,373.53,14.205,open->sl
65.0,ZECUSDT-2022-06-27 14:25:00,Sell,1000.0,2022-06-27 14:25:00,63.5,56.1,2022-07-04 11:59:59.999000,True,TC,115.04,488.57,15.748,open->TC
66.0,ZECUSDT-2022-07-04 11:55:00,Buy,1000.0,2022-07-04 11:55:00,56.1,55.1,2022-07-05 13:14:59.999000,True,TC,-19.33,469.24,17.825,open->TC
67.0,ZECUSDT-2022-07-05 13:10:00,Sell,1000.0,2022-07-05 13:10:00,55.1,60.4,2022-07-07 19:49:59.999000,True,TC,-97.69,371.55,18.149,open->TC
68.0,ZECUSDT-2022-07-07 19:45:00,Buy,1000.0,2022-07-07 19:45:00,60.4,59.8,2022-07-10 02:29:59.999000,True,TC,-11.43,360.12,16.556,open->TC
69.0,ZECUSDT-2022-07-10 02:25:00,Sell,1000.0,2022-07-10 02:25:00,59.8,54.6,2022-07-13 23:24:59.999000,True,TC,85.46,445.58,16.722,open->TC
70.0,ZECUSDT-2022-07-13 23:20:00,Buy,1000.0,2022-07-13 23:20:00,54.6,61.4,2022-07-20 20:14:59.999000,True,TC,123.04,568.62,18.315,open->TC
71.0,ZECUSDT-2022-07-20 20:10:00,Sell,1000.0,2022-07-20 20:10:00,61.4,56.7,2022-07-27 08:19:59.999000,True,TC,75.05,643.67,16.287,open->TC
72.0,ZECUSDT-2022-07-27 08:15:00,Buy,1000.0,2022-07-27 08:15:00,56.7,62.7,2022-08-01 17:29:59.999000,True,TC,104.32,747.99,17.637,open->TC
73.0,ZECUSDT-2022-08-01 17:25:00,Sell,1000.0,2022-08-01 17:25:00,62.7,64.5,2022-08-04 16:04:59.999000,True,TC,-30.21,717.78,15.949,open->TC
74.0,ZECUSDT-2022-08-04 16:00:00,Buy,1000.0,2022-08-04 16:00:00,64.5,80.7,2022-08-09 02:52:59.999000,True,tp,249.66,967.44,15.504,open->tp
75.0,ZECUSDT-2022-08-13 20:00:00,Sell,1000.0,2022-08-13 20:00:00,75.4,77.5,2022-08-17 03:09:59.999000,True,TC,-29.35,938.09,13.263,open->TC
